sample_id,interface,temperature_C,Gc_J_per_m2,distribution_model,source_type,assumption_tag,seed
MC_00001,YSZ|GDC,25,1.98532,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00002,YSZ|GDC,25,2.765202,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00003,YSZ|GDC,25,1.836007,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00004,YSZ|GDC,25,1.614767,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00005,YSZ|GDC,25,2.367687,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00006,YSZ|GDC,25,2.916988,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00007,YSZ|GDC,25,1.153069,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00008,YSZ|GDC,25,2.233213,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00009,YSZ|GDC,25,1.766503,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00010,YSZ|GDC,25,3.025508,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00011,YSZ|GDC,25,1.964653,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00012,YSZ|GDC,25,1.897041,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00013,YSZ|GDC,25,2.084807,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00014,YSZ|GDC,25,2.374496,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00015,YSZ|GDC,25,1.917123,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00016,YSZ|GDC,25,2.3509,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00017,YSZ|GDC,25,2.328891,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00018,YSZ|GDC,25,1.912838,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00019,YSZ|GDC,25,1.315752,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00020,YSZ|GDC,25,1.935433,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00021,YSZ|GDC,25,1.972342,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00022,YSZ|GDC,25,2.539186,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00023,YSZ|GDC,25,2.001142,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00024,YSZ|GDC,25,2.252566,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00025,YSZ|GDC,25,1.811443,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00026,YSZ|GDC,25,2.444077,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00027,YSZ|GDC,25,2.364711,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00028,YSZ|GDC,25,1.653294,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00029,YSZ|GDC,25,2.0069,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00030,YSZ|GDC,25,2.936393,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00031,YSZ|GDC,25,1.809208,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00032,YSZ|GDC,25,2.522156,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00033,YSZ|GDC,25,1.67117,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00034,YSZ|GDC,25,1.678069,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00035,YSZ|GDC,25,2.292794,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00036,YSZ|GDC,25,2.285854,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00037,YSZ|GDC,25,2.07516,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00038,YSZ|GDC,25,2.222325,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00039,YSZ|GDC,25,2.227312,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00040,YSZ|GDC,25,2.161963,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00041,YSZ|GDC,25,1.698267,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00042,YSZ|GDC,25,2.675888,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00043,YSZ|GDC,25,2.159824,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00044,YSZ|GDC,25,2.786978,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
MC_00045,YSZ|GDC,25,1.670922,normal_truncated_positive,synthetic_fabricated,RT_proxy_distribution,20260211
