Time_s,PG01,PG02,PG03,PG04,PG05,PG06,PG07,PG08,PG09,PG10,PG11,PG12,PG13,PG14
0.00006000,0.87853026,1.15104463,0.94971008,1.20621850,0.80435161,1.05019999,0.97459377,0.97340507,1.06415214,0.98609442,1.01684894,0.98343261,1.00530691,1.00554618
0.00016000,0.87153396,1.10096051,0.99944801,1.21818206,0.81247960,1.00686649,1.00790776,0.96673752,1.04519370,0.96757921,1.00714851,0.98988132,0.99515769,1.00697570
0.00026000,0.86157946,1.29469542,0.71920343,1.14689921,0.91443036,1.04478210,1.12313434,0.98159904,1.02820345,0.96825697,1.00179410,1.00834708,0.99780083,1.00748422
0.00036000,0.87140518,1.17179546,0.78766082,1.01323957,1.06881538,0.86574517,1.11805718,0.92273756,1.01509170,0.96905203,0.99518613,1.01505551,0.99522170,1.00642579
0.00046000,0.94811084,0.97535620,0.65378862,1.00000030,1.18549382,0.88655035,1.08764462,0.92474850,1.01375499,1.01105421,0.99926007,1.01015795,0.99176602,1.00115715
0.00056000,1.14500340,1.09074727,0.86545515,0.85998457,1.24677321,0.82671725,1.06914072,0.94311678,0.99034333,1.03915947,0.97874357,1.01623146,0.99474919,1.00419352
0.00066000,1.21841971,0.99783689,0.98058858,0.84377767,1.19439589,0.94849224,0.97891354,1.01460899,0.98909531,1.03422035,0.98966697,1.00301681,0.99272931,0.99615744
0.00076000,1.21171844,0.94341595,1.13745139,0.52935033,1.07356562,0.95432429,0.95268775,1.08452689,0.93576620,1.03470282,0.97810550,1.00374453,1.00339880,0.99509416
0.00086000,1.14057921,0.85352060,1.28872170,0.71867837,1.02235518,1.11929510,0.91949312,1.05762921,0.93425131,1.01607504,0.98588478,0.99330165,1.01130713,0.99638574
0.00096000,1.00228751,0.66794416,1.45540107,0.81715820,0.91127205,1.09476954,0.89207078,1.06699677,0.96738082,1.01242887,1.01333097,1.00584068,1.00754936,0.99159279
0.00106000,0.92078044,0.86253814,1.09435455,1.25955603,0.88843100,1.11152116,0.92297762,1.02445912,0.99127786,0.97212148,1.01726847,0.99019834,1.00713165,0.99256199
0.00116000,0.89281832,1.03342733,0.95267649,1.21455955,0.92029789,1.10013040,0.96894793,1.01194858,1.04083426,0.99375131,1.02134722,0.97780587,1.00478613,0.99080882
0.00126000,0.88784233,1.16282145,1.12033862,1.39138217,0.85906170,1.00419291,0.93852007,0.99903629,1.03701113,0.97965961,1.02390404,0.99036253,1.00131549,1.00456229
0.00136000,0.85055362,1.18802304,1.06562846,1.26276688,0.70739003,0.97569965,1.06687298,0.99159630,1.05239113,0.96094378,1.00614183,0.99610943,0.99814006,1.00849022
0.00146000,0.86136509,1.14127166,0.62662568,1.11715517,0.85353451,0.97785666,1.12548600,0.97023343,1.02920416,0.95459868,1.01244817,0.99827806,0.99635505,1.00716123
0.00156001,0.84960833,1.14084083,0.71446890,1.12866857,1.16316888,0.97055803,1.06027581,0.89971598,1.01887686,0.99545108,0.99397097,1.00638703,0.99003769,1.00724117
0.00166001,1.07373694,0.95159440,0.52397688,0.93949563,1.21835978,0.95567874,1.04817354,0.94680808,1.00181071,1.01996954,0.99024782,1.01636977,0.98946039,1.00609551
0.00176001,1.13900245,1.10656009,0.82622717,0.87725077,1.21639648,0.82129596,1.04110123,0.93147927,0.99565296,1.03951348,0.98077932,1.01366735,0.98699344,1.00204467
0.00186001,1.13819670,0.97760752,1.12062842,0.63395704,1.17079362,0.86133179,1.03482389,1.04626519,0.98716918,1.02663955,0.97532342,1.00488603,0.99378505,0.99597872
0.00196001,1.14989431,0.77337142,1.32588787,0.76712487,1.03879395,0.97474659,1.00098305,1.09067742,0.96233813,1.02952953,0.96894994,1.00735393,1.01498196,0.99055077
0.00206001,1.07293991,0.83219452,1.44629357,0.64923202,1.04371747,1.07896520,0.96723581,1.03382489,0.95822119,1.00019221,0.99364110,0.98970986,1.01433618,0.99329251
0.00216001,1.06750134,0.81112414,1.29056597,0.99576852,0.97504750,1.16162634,0.90847430,1.04834182,0.93627762,1.01230276,1.01060712,0.99175510,1.00735391,1.00013058
0.00226001,1.07198623,0.76989993,1.03904219,0.99970361,0.78424483,1.04899365,0.88845769,1.04494916,0.99024442,1.00099890,1.02167766,0.99334950,1.00310789,0.98763373
0.00236001,0.88977172,1.00829849,1.23858578,1.22455345,0.83319862,1.11819557,0.87383188,0.98102631,1.01658505,0.98106107,1.02332840,0.98948147,1.00524994,0.99971551
0.00246001,0.92126207,1.13955538,0.84528253,1.19477757,0.75998173,1.09384741,0.99979655,1.00052608,1.06895133,0.97204563,1.02087696,0.99570202,1.00253552,1.00828712
0.00256001,0.85635042,1.24296329,0.71682309,1.31014552,0.83076444,0.99033171,1.05542830,0.96932139,1.04494185,0.96020716,1.01133816,0.99577247,0.99953432,1.00878058
0.00266001,0.85128480,1.30235445,0.94980593,1.13652322,1.07769313,1.04855104,1.09074210,0.92589875,1.01263505,0.97890076,0.99139050,1.01092507,0.99270363,1.00577212
0.00276001,0.83550163,1.10474206,0.48780005,1.28689208,1.12037467,0.90078934,1.12438495,0.97288947,1.01279006,0.99099494,0.99518539,1.00798697,0.99365155,0.99944351
0.00286001,1.00240878,1.08185078,0.72246725,0.96883193,1.28952668,0.84460384,1.03947110,0.93865887,0.99625972,1.01981017,0.99346836,1.00852956,0.98995500,1.00162618
0.00296001,1.11999222,0.94211212,0.79494029,0.77069788,1.27829420,0.85942689,1.03623307,0.97269983,0.99160609,1.02719036,0.98496564,1.00444069,0.98711389,0.99807444
