Time_s,PG01,PG02,PG03,PG04,PG05,PG06,PG07,PG08,PG09,PG10,PG11,PG12,PG13,PG14
16.000053,101262.340609,101192.155255,100979.043713,101395.187057,101197.954943,100779.576416,101126.421400,102011.752557,102435.627807,103923.758957,102903.149060,100435.695325,101923.568742,101156.867906
16.000153,101249.458430,101166.911014,101363.669717,101425.439755,101067.132927,101434.125562,101869.810487,101793.474242,100730.011816,102488.595309,103581.376594,100810.522032,101500.396564,101537.582686
16.000253,100980.824216,101250.345941,101183.300716,101075.292606,101210.056260,101092.772126,101620.132343,101970.077262,102603.610997,99765.242547,99948.990740,102057.435240,101776.651854,101275.840933
16.000353,101228.216313,101241.683164,101417.671770,101273.211309,101337.406991,101358.815957,101451.170407,101564.365654,101678.061366,99736.038055,100250.260082,101093.463435,101144.568494,101247.483504
16.000453,101166.597654,100967.041884,101353.070409,101339.966767,101280.076420,101955.615978,101599.465563,102307.081199,99975.351349,100437.036828,102667.557094,100851.718475,101638.924927,101643.200662
16.000553,101513.825061,101427.365550,101271.283759,101399.036195,101003.724558,101838.506300,101651.727826,100469.415093,101843.069369,97928.055047,101225.646348,101051.365886,101540.010895,101048.434919
16.000653,101359.986337,101545.725580,101629.185325,101064.958273,101799.096566,101015.615874,100697.771586,100992.246229,101554.964857,98821.099180,101718.247409,100684.914659,101556.171563,101167.514987
16.000753,101437.325437,101269.111790,100979.075065,101214.298614,101388.362125,101185.275860,101556.978884,101479.963603,99940.475560,102519.467250,99070.581713,100186.257705,101311.336276,101378.495845
16.000853,101200.199943,101060.963308,101500.285832,101082.219150,101200.532340,101779.018999,101227.799131,101483.974848,101674.331780,102655.485737,102374.536516,102286.097773,101274.311510,101042.734124
16.000953,101169.093515,101072.279750,101338.405301,100975.006053,101380.184220,101684.857888,101209.847668,100850.059706,100378.021106,98320.606300,99868.185648,100499.802850,101514.340691,101298.210127
16.001053,101459.740498,101352.731948,101147.744762,101319.834847,100970.718393,101081.292410,100753.568805,102341.739793,99736.311170,103647.556707,99436.810000,101601.006929,101382.295155,101307.014453
16.001153,101412.648730,101226.760503,101116.234629,101171.448455,101077.973923,101385.712547,101116.815755,101121.475865,101895.287526,97608.933257,101256.627504,101854.995010,101383.608803,101261.181529
16.001253,101531.394330,100980.852360,101040.819799,101431.626968,101590.533962,101443.377741,100721.362124,101933.345795,101188.216167,103095.584258,102038.996162,101194.406607,101931.585761,101903.021966
16.001353,101444.244885,101341.545895,101095.359800,101173.250582,101197.659315,101745.218722,101540.181955,101723.971837,99689.257622,102986.115130,102211.831199,101982.209000,100811.138170,101383.845489
16.001453,101079.059001,101255.931918,101232.005715,101429.872583,101638.220474,101404.747139,101032.138225,100966.957633,101846.082074,105573.989941,100740.511230,100486.715169,101558.582514,101256.064315
16.001553,101377.069475,101308.752529,101530.013533,101482.315709,101301.813074,101301.101248,100602.326394,101921.937162,101153.613232,99003.865287,101034.786590,101725.815342,101291.297248,101405.446138
16.001653,101417.225619,101492.535306,101384.543001,101486.011762,101317.575255,101088.911357,100808.496329,101663.784236,100982.759336,97381.730411,101672.974698,101532.101230,101616.446025,101355.677106
