Time_s,PG01,PG02,PG03,PG04,PG05,PG06,PG07,PG08,PG09,PG10,PG11,PG12,PG13,PG14
13.000043,101392.249925,101241.610912,101262.529675,101301.140901,101119.437576,101366.642481,101267.293631,101558.893933,101770.357967,101893.865363,101944.363746,102922.054661,102354.447628,101147.870749
13.000143,101221.420746,101292.018586,101184.514864,101512.123748,101210.698963,101473.335790,101597.134320,101050.117005,101717.208544,101999.047306,101023.807488,102664.295141,100718.453428,100999.838730
13.000243,101172.613160,101228.622411,101312.623271,101232.307620,101178.527744,101447.675911,101284.156048,101207.881821,101403.434596,101453.835314,101103.393110,100139.333570,102390.862879,101441.724483
13.000343,101235.540035,101367.332813,101192.292164,101213.626913,101305.825435,101157.446949,101401.130580,101164.121515,101685.509521,100854.693027,101962.325240,101608.150459,102332.489573,101841.540922
13.000443,101288.715153,101215.655418,101201.373461,101387.697283,101203.044655,101197.738179,101415.858643,101414.395907,101411.812963,101692.385600,101993.209304,99018.208858,102570.500768,102193.700364
13.000543,101378.601425,101366.416208,101168.889140,101175.214217,101251.513549,101276.921592,101347.054970,101350.955965,101071.057190,101094.191754,101572.023681,101628.360813,99665.011854,100543.815735
13.000643,101145.750434,101291.339371,101273.076216,101307.841054,101310.069646,101360.885569,101285.393889,101400.879644,101556.768509,102004.383075,100763.401117,102328.291377,104419.864227,101122.741114
13.000743,101287.431309,101245.130807,101415.598370,101239.633811,101409.382090,101398.885229,101226.935695,101319.833239,101419.986018,100763.155823,101519.397509,103328.775490,103302.894725,100971.841148
13.000843,101173.709204,101240.081493,101343.537910,101422.645860,101296.065573,101303.970513,101410.593045,101114.184271,101233.885737,101075.723547,100816.938990,103884.078450,101109.694708,101545.913388
13.000943,101332.864566,101174.242821,101150.497759,101228.606084,101306.669398,101262.225556,101296.161411,101424.783924,101812.838841,101655.752409,101769.609562,99947.945892,102420.627603,100677.914752
13.001043,101196.249050,101178.438056,101187.576861,101386.259537,101159.282910,101351.112069,101205.843931,101214.775905,101462.791649,102002.790832,101412.409934,101911.787044,100575.802801,102413.158383
13.001143,101307.463415,101275.442182,101266.611309,101281.628392,101413.790359,101450.803331,101364.680154,101153.545359,101027.500198,101999.558759,101346.857617,99537.262301,99105.616414,101741.023197
13.001243,101249.179029,101123.771729,101389.075726,101130.054424,101582.051663,101268.002508,101486.107818,101102.857147,101046.101027,101569.513578,101304.285809,101815.541638,103044.736596,101363.558805
13.001343,101164.747896,101303.503096,101290.590151,101265.865179,101380.759285,101117.340109,101468.771692,101589.852931,101397.382024,101580.241362,101305.907212,100542.918005,101259.101360,100620.337111
13.001443,101288.898550,101334.758724,101480.722451,101478.748786,101243.077214,101279.897131,101289.717696,101358.834972,101748.296544,100994.471460,101103.461509,102939.591809,102643.310954,101771.595726
13.001543,101352.818782,101341.267576,101319.976313,101343.567550,101374.615403,101443.425439,101096.784185,101332.095881,101545.303664,101943.597118,100834.909522,101457.915098,102529.043313,101888.861161
13.001643,101199.146097,101290.367576,101253.181422,101257.700343,101224.533752,101573.162885,101328.538853,100980.001748,101083.525404,101854.685343,101245.761553,103531.566359,98693.708205,101741.073500
13.001743,101291.781490,101294.271641,101346.313990,101309.678078,101255.032930,101413.486175,101473.426913,101453.289059,101206.527518,101586.531010,101093.554036,101292.935892,102022.028207,101134.724046
13.001843,101343.016587,101484.461278,101370.831562,101301.260140,101371.216685,101482.274398,101212.177891,101281.691434,101456.755515,101489.872909,101572.934756,100551.081181,102776.279278,102432.232815
13.001943,101225.616388,101288.898601,101394.761427,101300.403004,101239.582496,101201.144343,101414.990147,101044.436069,101727.434754,101872.730057,101519.459666,102512.289073,103543.517005,101313.779818
13.002043,101253.153439,101137.815742,101487.576615,101339.701197,101237.118356,101485.258743,101255.003427,101443.708916,101384.805125,101241.332311,101792.489139,103112.141212,103618.781745,100419.261811
13.002143,101338.727844,101126.110531,101311.997387,101308.535467,101205.393741,101217.284314,101250.629612,101707.970130,101234.603126,100960.549807,101085.856981,100436.513792,103020.563821,101866.754343
13.002243,101180.331556,101111.732764,101290.881919,101135.591266,101104.513364,101507.777741,101531.324858,101280.449473,101664.033696,101111.512636,101856.627735,101247.935122,98832.489069,100394.345966
13.002343,101266.671255,101437.749292,101278.399260,101212.427917,101488.076513,101446.417671,101543.163830,101457.452734,101710.334550,101485.292448,100907.728226,102869.186008,101774.627120,101278.543575
13.002443,101338.668767,101266.334638,101232.074918,101517.090772,101250.921187,101618.369543,101118.163867,101269.568759,101718.221437,100955.240452,101238.675873,99583.998624,101987.481065,101507.167129
13.002543,101223.276057,101329.293546,101371.825069,101250.313013,101302.317594,101305.817587,101587.344889,101352.487690,101749.167282,101316.320386,101150.241800,102157.141751,103367.500147,102536.450597
13.002643,101157.682457,101332.608064,101385.315812,101225.639436,101307.592407,101448.920159,101032.227926,101540.840789,101647.306034,101733.805535,101530.481148,100797.736113,104024.366411,102290.780664
13.002743,101332.569105,101354.987638,101136.730034,101391.999419,101208.215092,101449.450677,101205.993311,101302.592289,101295.543568,100839.972722,100374.417360,99940.574796,100052.767097,101368.054411
13.002843,101287.283156,101211.954542,101342.679138,101292.378914,101189.554391,101233.022576,101379.598613,101339.210038,101347.300171,101268.095736,101565.410147,99005.737380,98136.466948,102354.395064
13.002943,101296.928140,101235.420626,101323.558131,101467.957261,101179.859835,101514.655171,101634.549096,101153.686648,101484.187706,101348.987518,100900.891128,100763.895162,102907.685984,100477.247137
13.003043,101271.625643,101261.893946,101267.565940,101276.616806,101227.869577,101152.002680,101501.042604,101208.167963,100954.311171,101317.877355,100340.804121,103684.008354,100335.339975,101291.943123
13.003143,101283.187147,101285.021249,101250.815975,101201.326400,101171.841716,101310.149076,101052.751355,101077.978324,101766.532592,100846.139659,101634.369322,102317.646559,101966.214584,101110.318755
13.003243,101151.199154,101225.578430,101224.617298,101294.957270,101264.641718,101306.390595,101433.402687,101322.713997,101811.006496,101447.503345,100383.078283,102061.093085,103363.354554,101141.035379
13.003343,101237.801702,101344.165639,101405.613069,101445.272599,101512.709690,101178.491927,101492.044022,101133.147667,101377.101121,101735.467599,102236.136788,101270.482799,104178.522077,102458.854082
13.003443,101346.213719,101258.639507,101555.720026,101371.321935,101240.581158,101628.301104,101361.015768,101658.882605,101706.651889,101089.062249,100558.408599,103285.864332,103153.235445,101449.775224
13.003543,101420.987685,101438.056129,101448.540795,101106.246936,101281.380784,101504.165399,101252.299748,101178.056156,100969.362764,101434.453891,101780.031948,100939.201980,102817.724556,101673.566773
13.003643,101362.988690,101295.120039,101409.333993,101365.609891,101547.383110,101222.097202,101343.265399,101269.232175,101200.413864,101564.423013,102062.500238,101287.603979,99211.533313,100910.858141
13.003743,101361.901283,101276.661409,101242.452766,101374.091419,101362.233542,101557.333536,101599.844822,101472.750116,101554.086351,101195.505278,101746.676229,102104.322807,103548.787679,100586.029111
13.003843,101304.355802,101425.867227,101209.247176,101380.249983,101220.365365,101184.621975,101566.939033,101330.725988,101238.749694,101676.176789,102282.916657,103012.269282,103528.516986,101609.184112
13.003943,101294.655689,101377.638245,101131.737304,101402.527182,101258.989764,101243.233152,101281.493309,101300.531989,101308.888474,101408.945539,101262.787722,102065.934116,104030.744319,100584.628535
13.004043,101328.703653,101299.993039,101405.215999,101350.588766,101228.845996,101275.748599,101244.308579,101620.645344,101537.572890,101063.358043,101732.115520,101965.646982,102676.902275,102416.115685
13.004143,101329.279304,101413.586847,101476.139323,101333.401549,101389.409003,101594.084516,101368.648953,101741.746045,101393.533719,101552.601976,100475.423217,103350.544570,102959.973547,102177.290632
13.004243,101242.758006,101158.752312,101250.371957,101218.268502,101387.512529,101534.978113,101507.401174,101369.770294,101163.716903,101056.184230,101900.016065,102130.832190,102189.547054,101569.204399
13.004343,101311.705527,101308.137780,101097.650524,101220.700013,101447.868839,101118.294114,101173.761971,101348.423245,100943.599571,101229.066407,101942.782122,102072.868607,101709.323857,101322.384560
13.004443,101381.287030,101112.145035,101176.433270,101354.477770,101468.127864,101181.374753,101203.404583,101447.479775,101249.926962,101503.694267,102498.975488,102651.715635,101191.297605,101966.177955
13.004543,101248.534294,101184.098150,101280.018016,101415.584996,101276.822658,101213.081308,101118.744555,101165.947620,101586.336470,101019.178141,102438.400933,103418.428349,98747.947073,100821.853423
13.004643,101352.007990,101286.779225,101244.554724,101424.856928,101358.293497,101313.721633,101380.538001,101419.965035,101546.923278,100948.463904,100690.135132,103139.643876,102229.610801,101761.688004
13.004743,101375.219206,101177.521682,101280.693129,101480.994305,101347.010803,101130.301639,101345.292620,101053.270420,101646.392632,101980.751743,100993.084834,103468.309381,102704.120817,101082.159889
13.004843,101198.913180,101337.295180,101302.339849,101189.774495,101224.602243,101363.428408,101226.400698,101555.916762,101478.086772,100708.141454,102092.784006,99464.371308,99398.429840,102369.511886
13.004943,101320.068954,101465.574165,101338.212402,101275.050292,101378.755268,101303.893466,101541.171217,101462.806328,101009.426857,101525.535679,100871.948798,101561.522469,99551.432822,101474.301906
13.005043,101239.746259,101273.373292,101250.344439,101239.116182,101302.791321,101437.361095,101556.444256,101514.384931,101293.465298,101342.562721,101774.213427,101299.084941,102135.897931,101430.091632
13.005143,101228.555931,101381.406176,101245.049868,101200.991797,101245.791244,101491.126272,101400.097701,101614.429436,101529.300949,101562.825394,101631.427752,103250.772739,99528.971539,101677.586219
