Time_s,PG01,PG02,PG03,PG04,PG05,PG06,PG07,PG08,PG09,PG10,PG11,PG12,PG13,PG14
17.000057,101325.703974,100812.604894,101894.363744,99314.317036,99358.981274,100861.123194,101547.270373,101629.392868,101869.983688,101725.440360,101292.563165,101482.665186,101461.384878,101439.007158
17.000157,101308.529267,102666.288547,99769.529328,100996.624954,101600.384240,99936.809533,100900.622234,101933.048942,100758.816376,101072.386853,101128.719006,101257.881452,101262.190362,101317.306249
17.000257,101314.775387,100320.126758,100038.903017,100739.555323,104044.637833,101267.765816,102015.852367,100579.783966,101724.051830,101474.575400,101205.289606,101693.609018,101419.449968,101353.241316
17.000357,101096.892126,100280.238179,100431.563764,100250.537191,97983.080888,100512.061517,100085.427851,101501.360727,101810.676611,101293.322592,101759.300227,101591.808952,101372.540653,101390.246867
17.000457,100662.708026,100616.985446,100523.979861,101650.250404,101496.528666,100689.716995,101351.557407,101635.464321,101803.287584,101236.725301,101097.567892,101284.511098,101302.803233,101296.760576
17.000557,101336.625180,101402.512154,102481.744801,103004.827654,110768.423438,102049.328836,101767.145713,101880.776230,101651.418214,101691.981084,101214.248417,101338.865157,101462.740407,101321.425624
17.000657,100967.651618,101807.013214,100715.200827,102533.821667,97542.940685,100865.154123,101930.479527,102119.115135,101406.251361,101531.957140,101126.250991,101496.304725,101520.840809,101406.046666
17.000757,100434.238957,101792.184615,100874.832871,101659.707324,97231.491647,100927.280840,101950.940649,101422.706277,101479.805792,101207.365561,101302.514369,101498.343635,101450.477565,101482.922598
17.000857,100465.491804,102470.467604,100830.138174,102222.106298,93759.210975,100550.140063,100006.805332,100736.220801,101613.439027,101413.145528,101150.895070,101286.596271,101571.250164,101446.289704
17.000957,100749.945335,101998.683927,101454.385782,99605.880806,104889.750603,101291.160578,102543.140497,101779.999858,101397.219458,101003.153682,101475.640162,101243.349145,101506.500564,101397.986711
17.001057,100457.415867,102027.213069,101478.578145,103320.660919,107948.209977,101828.744559,100055.623184,100560.573015,101066.911683,101219.976941,101065.176079,101483.863152,101350.554097,101488.271056
17.001157,101991.953879,102221.085571,101052.373280,103490.270306,97091.439567,100672.342877,100361.875906,102310.142735,100892.513751,100902.483769,101282.807819,101392.595606,101316.098720,101558.112457
17.001257,100580.557100,101966.731543,100641.088164,101278.492872,102721.203511,101237.003663,101979.419406,100928.096232,101489.061403,101251.634060,101260.340611,101272.151931,101293.014927,101559.935219
17.001357,101250.398209,101733.610342,102962.666667,103437.699637,103327.768236,99754.535413,102076.702429,102253.965796,100783.660909,101854.950551,101472.500124,101172.953376,101547.551735,101331.383018
17.001457,101031.627049,100655.803636,101828.421186,101102.206719,99118.407781,100876.865786,100473.848723,101032.032491,101334.691543,101025.822447,101262.940634,101295.932341,101485.649972,101326.801855
17.001557,102064.323123,101335.202936,101950.588739,102656.235791,104133.276007,103587.253128,100173.935837,101742.323212,101457.761028,101694.966533,101297.752389,101503.093895,101346.412970,101446.691709
17.001657,102357.512174,99845.368046,100764.919836,100610.566347,99697.387021,103670.668214,102837.522872,101382.005961,100868.594718,101789.366174,101116.478289,101422.764922,101426.557406,101396.141853
17.001757,100991.140058,101082.437725,101690.531981,100408.250363,104655.558847,102244.913311,100873.911242,101997.429374,101673.854503,101288.652256,101450.979635,101691.577054,101218.444635,101431.462561
17.001857,101261.627724,101185.799116,99427.720311,102195.872712,100169.292524,98529.407431,100375.228753,101721.320805,101291.870406,101710.450633,100958.148011,101358.281594,101402.606290,101397.127642
17.001957,101982.354400,102548.175900,102034.871364,99973.251649,102591.721216,101046.486294,102693.107592,101162.528367,100683.037723,100929.216707,101507.681799,101450.446867,101329.872923,101435.699657
17.002057,100912.219823,100961.995553,100307.089629,98165.571154,100236.797195,99599.287317,100445.318573,101464.458030,101848.780267,101026.168221,101676.296057,101529.860606,101339.556085,101380.269816
17.002157,101639.292774,100226.518463,102830.592677,104096.570793,99671.484643,101555.426044,101220.949420,101671.603553,101723.762192,101038.412318,101170.636106,101503.387239,101461.217009,101494.597958
17.002257,101758.229794,101008.882946,99822.447446,102215.295356,96881.578251,102251.468277,100736.439765,101553.939698,100787.687189,101466.518204,101711.116386,101366.794569,101574.361613,101323.468469
17.002357,101188.762591,100690.382433,100632.296391,99690.387688,95349.712320,102484.747840,101755.192717,101837.958936,101493.184964,101645.427869,101225.617657,101562.593356,101434.780590,101337.166745
17.002457,100658.597523,100755.127068,100986.553627,102104.897721,105662.762301,103410.865878,102425.654171,101318.413309,100801.400433,101654.162819,101226.982999,101566.510892,101485.840294,101264.983738
17.002557,99885.603645,101450.798696,101997.519712,100730.019825,106926.801367,98986.293010,101540.968551,100905.622400,101679.521362,100948.643029,101383.658251,101493.058573,101397.182195,101442.677242
17.002657,102241.941124,102624.099566,101667.480152,99579.467690,107842.560111,101627.109774,101699.484372,101071.209468,100913.980001,101303.668094,101145.229822,101276.227448,101354.815542,101301.616253
17.002757,101234.468214,101836.359503,100761.534815,99175.701293,104496.755400,102192.783963,102048.585599,101071.529487,100809.432175,101053.565650,101139.976996,101263.631153,101201.886489,101386.353882
17.002857,102100.880636,100335.906543,101976.307092,101960.473268,105487.266564,98890.201813,102253.963184,101509.869123,101841.723862,101055.926653,101652.883779,101160.286765,101338.873187,101427.699296
17.002957,101135.711502,100183.842345,102284.313555,98167.619424,95204.324866,101194.961119,101022.795481,101759.664249,101533.946157,101231.378686,101663.648218,101425.275647,101408.892553,101368.630028
17.003057,101161.406548,101065.047111,100045.815668,103513.719064,105142.638997,102304.189202,100970.433290,100679.601563,101674.816066,101345.354038,101407.894334,101251.572717,101475.685905,101344.183982
17.003157,101042.209196,101721.467571,99831.618472,102034.427379,105063.611303,99457.175940,101869.119975,100819.233053,101964.732639,101035.324368,101265.317309,101407.802977,101413.860334,101473.633989
17.003257,102528.446522,100736.658176,102011.894945,102550.033592,106285.228855,103487.122810,102179.208575,100749.740640,101062.382915,101644.244423,101446.092626,101295.577170,101518.046989,101461.414301
17.003357,101380.453506,101324.460678,102952.967647,102580.720552,96806.279570,102879.647272,102027.008525,101864.840657,101688.467846,101390.092410,101254.085821,101373.674698,101348.179223,101485.681443
17.003457,101346.244935,100280.683618,100881.635100,100196.299463,102059.940311,102585.235186,102148.438660,100805.047068,101841.713095,101042.190116,101545.499242,101407.913672,101422.769827,101324.277766
17.003557,99973.885425,100042.646463,99887.652464,100405.285542,108008.003829,104232.890627,101878.066576,101710.255098,101125.048969,100809.504669,101412.369307,101365.733436,101380.898154,101387.321692
17.003657,101402.291461,100333.404716,100739.164261,100965.977960,106663.743268,103465.246937,102005.906408,101817.975938,101554.758940,101565.459665,101099.825589,101378.270754,101397.900116,101472.636127
17.003757,101131.626007,102876.847767,100231.750283,101980.656718,99389.067934,102973.764791,102503.857476,101538.205673,101547.382960,101567.962172,101542.307757,101463.116394,101306.480184,101361.851827
17.003857,100478.370746,100570.981798,102586.651005,102771.010971,103075.727202,103172.170724,101706.332619,100350.033901,100981.222911,101288.602892,101305.255087,101534.140087,101398.762057,101346.006738
17.003957,101648.386255,100909.050606,100848.120494,100682.648347,103759.826672,99647.174501,101019.677129,100560.580408,100966.326797,101215.010943,101437.922915,101527.284030,101360.866446,101503.883290
17.004057,100014.589139,101845.875707,102420.640055,103726.221937,96230.140001,101750.735391,102254.926693,101467.521893,101311.473417,101698.339945,101416.133386,101300.464903,101290.349132,101352.228196
17.004157,100788.671805,100774.651431,100660.953399,100404.415517,98159.801433,103595.358392,100946.167838,101719.249744,101802.143200,101885.898044,101581.581718,101548.152223,101377.271314,101589.782573
17.004257,100608.434663,101527.612292,100402.631352,101171.650798,107731.488910,101960.401605,101815.988625,101644.660050,101216.944892,101084.233691,101334.812877,101406.453031,101401.588403,101349.282699
17.004357,100684.123212,100410.310791,100721.128103,99500.984773,98072.154345,103436.073170,101486.779175,101921.439238,101230.953750,101721.570287,101448.055933,101272.152301,101237.435144,101449.930903
17.004457,102406.459134,100960.195324,102900.191812,102839.195935,104965.615593,104110.033540,101678.599890,101373.852954,101365.695757,101040.217224,101585.973408,101370.652701,101610.911336,101415.792195
17.004557,101585.223845,100786.570819,100998.799417,101618.589087,104733.559487,102164.005049,101723.949624,101614.922533,101632.102403,101141.362208,101104.964033,101193.681055,101495.438743,101427.870586
17.004657,100999.655522,102296.824258,100997.760979,103377.969444,108489.429172,99380.889871,101551.874764,100720.222600,101331.642973,101081.667560,101746.945151,101463.053259,101323.451007,101429.685116
17.004757,101581.503157,100262.680717,99726.908471,102373.575708,98520.744416,103659.645180,101284.277944,101684.511078,101076.684495,101481.206034,101395.167836,101416.058486,101294.192689,101497.363428
17.004857,100548.218947,100495.609870,101569.905633,98591.978904,105432.331990,101637.518861,101942.334345,100730.214212,101332.941640,101557.593889,100993.913279,101536.219957,101361.451953,101525.953695
17.004957,100392.336375,101732.063816,100763.711863,98102.835691,102067.898473,102010.212261,102790.274005,100681.187377,100899.416212,101012.113800,101593.772624,101574.401210,101256.289016,101454.202431
17.005057,100494.335414,101146.365182,102885.056415,103462.155544,107856.365115,98905.309277,100631.944674,102112.892567,101163.670651,101689.693988,101239.163677,101255.143424,101409.877904,101407.223785
17.005157,101792.959091,101114.524268,100146.333409,100683.407702,93751.160218,101165.679190,102398.577030,101595.490138,101077.725431,101336.435331,101262.786600,101521.947818,101334.030461,101449.787216
17.005257,100978.655574,101029.248697,101686.186085,102404.868431,98142.454813,100065.437132,100251.820127,101721.331786,101693.616930,101683.510292,101289.201435,101204.206290,101524.710399,101356.325208
17.005357,101384.838944,102193.588217,101562.631222,102470.001404,99587.071627,103508.521195,101097.551447,100828.808698,101542.609217,100954.299598,101157.282210,101548.399176,101417.469287,101297.907599
17.005457,101690.379496,102264.689347,100678.194173,102277.016488,94025.747400,103721.836081,101665.465637,101057.637256,101643.677301,101375.885830,101378.054863,101397.272565,101286.731276,101449.243243
17.005557,100997.802880,100740.065050,99867.021787,104332.334876,94838.950489,102688.605900,102516.117497,101382.803378,101342.500061,101504.915990,101696.097958,101266.614262,101545.679410,101460.944567
17.005657,102302.705005,100613.859875,100361.896669,102020.694456,101332.183561,99282.551093,101203.716437,102399.221694,101551.455254,101620.096981,101463.304914,101246.114105,101232.396472,101408.253990
17.005757,101644.016137,101159.626650,101374.356268,100643.024494,97263.420357,102999.657112,102499.857534,101696.179132,100984.640942,101297.538146,101489.299995,101330.710325,101516.791006,101490.470854
17.005857,101030.879044,101903.038215,100638.503572,100579.563661,100770.245742,100194.125851,100667.737829,102044.288522,101696.816769,101511.910272,101665.195000,101186.949186,101435.682294,101515.295188
17.005957,100273.303409,101695.178721,101704.093681,103310.057719,99361.324297,99178.811312,100932.438762,101013.121638,101350.888154,101281.763051,101243.313056,101100.356740,101353.360154,101331.001146
17.006057,100478.079025,101404.863636,100844.480302,100891.086918,102819.262733,102728.323775,100543.255809,101942.244143,101803.828448,101128.588545,101330.730482,101300.363652,101298.765127,101461.343159
17.006157,101002.108706,102367.603735,100748.413429,100875.155744,100411.910014,101468.559418,101566.459719,101584.308963,101117.467915,101662.139034,101260.227902,101516.696399,101390.826022,101295.450003
17.006257,102129.515880,102095.870150,101715.530276,103341.745000,103283.264292,101947.170598,100917.758479,101182.902278,101461.643956,101347.363298,101282.751903,101637.986678,101366.321282,101366.120625
17.006357,102333.791196,100788.403339,101067.465249,104256.673129,95217.637262,100425.570262,101705.056234,101321.555300,101961.329571,100973.785600,101243.194517,101294.466135,101234.843213,101327.098146
17.006457,102378.953230,100791.510371,102295.363910,99047.886101,99723.492084,102448.180208,101591.224664,102247.456154,101435.856496,101257.658418,101282.275743,101416.671320,101419.971742,101442.513378
17.006557,101961.546233,101810.916116,101079.471175,101852.232990,99182.533434,102744.763317,102122.887390,100882.557789,101747.588547,101427.930789,101458.476071,101641.878903,101468.516059,101310.260753
17.006657,102324.581311,101436.578372,100060.832532,102300.476435,96964.932167,99098.970040,100642.023753,102247.210081,101880.914657,101683.974232,101608.152628,101316.226124,101368.568228,101427.910118
17.006757,100653.374179,102635.131580,101575.216821,102248.872834,100685.565131,103440.761907,100848.994627,101172.642201,101136.134652,101234.458938,101506.607018,101403.278914,101419.912963,101438.138713
17.006857,100284.218168,101706.768742,100996.901104,101803.800689,105095.394710,100418.524210,102808.260804,101589.631892,101224.189201,101550.537324,101283.543084,101296.562213,101383.895209,101381.200747
17.006957,102075.248474,100538.383697,102570.219728,99978.991111,107777.650670,102348.511800,100489.772955,102028.876366,101624.548153,101242.901315,101488.938143,101711.177557,101412.973636,101299.370795
17.007057,100517.978059,101436.416314,101846.495253,100419.070046,100551.679237,101582.180094,101680.909878,101415.185851,101344.404791,101319.742824,101425.811814,101219.109045,101438.518773,101365.418177
17.007157,101451.993037,102548.267579,100178.728844,101896.181195,105337.374966,101986.062394,100901.579196,102125.250540,100958.396810,101920.835579,101386.730026,101672.463429,101542.643564,101453.707522
17.007257,101575.143192,101675.159951,101268.223963,102539.753430,95674.236794,99808.421169,102019.650729,100793.414952,101089.565475,101124.784554,101482.133779,101153.779698,101167.583666,101395.124886
17.007357,100686.624984,101836.608689,100871.793276,101885.582537,104939.838136,99109.925018,102808.740878,101739.802964,100932.296485,100955.842133,101392.899637,101376.531660,101457.737719,101348.363211
17.007457,101675.537059,101165.178767,101582.090132,102338.203973,106796.104158,102745.011059,101041.970322,100764.989522,101044.727441,100866.929345,101468.589790,101398.418181,101485.119375,101468.840452
17.007557,101887.960460,100017.979702,102175.763211,103858.423662,98463.949687,98417.971400,100386.315945,101620.754913,100991.797773,101610.049337,101741.059247,101381.218988,101435.874263,101388.776179
17.007657,102059.668223,100534.104999,102529.506938,99900.036436,92772.944037,100540.754498,100350.159007,101516.798717,101569.796405,100967.726697,101378.434090,101375.317804,101466.086251,101378.399471
17.007757,102305.070502,100766.765928,102469.621505,99956.402543,104643.633475,101160.632311,101762.289914,100535.561690,101282.747776,101393.602816,101300.961225,101563.529428,101442.357456,101456.098610
17.007857,101127.877478,100951.901891,99632.576043,99241.346669,98883.136134,100492.462330,100966.811136,101831.861672,101597.374494,101529.446125,101323.576314,101565.269180,101378.710661,101445.158285
17.007957,101088.431627,102704.480201,100069.974883,103088.550677,101094.834553,100707.353391,102284.410632,100896.657501,101326.379328,101149.218944,101603.671634,101146.095136,101397.209389,101459.473183
17.008057,102181.850868,100418.148872,100885.211817,103902.236765,98570.259770,100536.837127,102509.561922,100458.888933,100692.584616,101568.150992,101355.293543,101517.400764,101411.127130,101365.814192
17.008157,101731.267894,100241.774978,101932.701002,100852.024514,106291.125627,101482.115542,100953.989719,101091.697456,101543.167403,101499.352805,101576.922658,101317.908442,101415.683393,101359.689478
17.008257,100127.062237,101614.142881,102223.184779,100102.039265,99134.546384,101013.616289,101392.653288,102226.618672,101310.537058,101427.396192,101687.341806,101252.881070,101383.438395,101313.815321
17.008357,102088.691651,100792.055124,101697.645151,102747.215304,104672.318699,101651.302660,101466.952132,101578.511563,101054.857851,100981.919332,101344.857378,101274.481843,101333.528761,101408.428149
17.008457,101382.942182,102382.645083,102721.782477,100797.591164,99445.503125,103785.331320,101673.550499,100647.313888,100732.744788,101734.514286,101000.643240,101295.820227,101209.953594,101444.719286
17.008557,100996.667487,102623.809266,100692.109332,100934.875370,95665.772359,102153.781373,101216.911392,101021.586199,100818.592318,101419.903209,101151.042012,101478.333074,101445.671601,101419.335929
17.008657,102179.594215,101670.642816,102332.600660,98796.622194,95887.171073,103307.152272,100619.019171,101544.598974,101634.060914,101611.110163,101492.650706,101300.404500,101271.309604,101406.609464
17.008757,101418.827048,102383.674184,101883.484492,99594.040858,100605.577667,103943.235221,102427.143058,100917.337671,101644.671124,101454.820429,101347.823621,101471.900670,101472.033037,101409.163098
17.008857,100560.969941,100983.973105,102262.736379,99434.391619,94209.225524,102173.234524,101613.089663,101516.956105,101079.566162,101600.000015,101254.706484,101203.066443,101388.949895,101447.915177
17.008957,100979.979096,100564.986170,100014.760202,102116.565942,104712.324238,103507.833586,102191.114561,100698.342023,101031.973068,101543.724346,101048.234907,101486.615356,101332.186237,101409.117841
17.009057,101602.893183,101783.745757,102453.332355,98681.291019,96728.944160,101567.277789,101851.461287,101526.138646,101775.516562,101143.032653,101553.051093,101299.916885,101530.788256,101430.512952
17.009157,101194.901171,102580.075135,102251.148376,103144.974107,94744.606171,101787.716481,101620.440544,101185.065988,101165.325800,101104.891966,101637.710462,101406.758753,101458.704400,101502.581786
17.009257,102066.029984,102493.831664,102287.434863,103673.578021,103047.131742,103649.767764,100345.623730,101643.106407,100742.425320,101239.283238,101524.751548,101546.523702,101240.720689,101354.616543
