system_fuel_utilization,system_oxidant_utilization,system_current_density,system_cell_voltage,system_temperature,system_pressure,system_fuel_type,system_steam_to_carbon
0.6,0.15,0.1,0.6,650.0,1.0,H2,0.0
0.6,0.15,0.1,0.6,650.0,3.0,H2,0.0
0.6,0.15,0.1,0.6,650.0,5.0,H2,0.0
0.6,0.15,0.1,0.6,750.0,1.0,H2,0.0
0.6,0.15,0.1,0.6,750.0,3.0,H2,0.0
0.6,0.15,0.1,0.6,750.0,5.0,H2,0.0
0.6,0.15,0.1,0.6,850.0,1.0,H2,0.0
0.6,0.15,0.1,0.6,850.0,3.0,H2,0.0
0.6,0.15,0.1,0.6,850.0,5.0,H2,0.0
0.6,0.15,0.1,0.75,650.0,1.0,H2,0.0
0.6,0.15,0.1,0.75,650.0,3.0,H2,0.0
0.6,0.15,0.1,0.75,650.0,5.0,H2,0.0
0.6,0.15,0.1,0.75,750.0,1.0,H2,0.0
0.6,0.15,0.1,0.75,750.0,3.0,H2,0.0
0.6,0.15,0.1,0.75,750.0,5.0,H2,0.0
0.6,0.15,0.1,0.75,850.0,1.0,H2,0.0
0.6,0.15,0.1,0.75,850.0,3.0,H2,0.0
0.6,0.15,0.1,0.75,850.0,5.0,H2,0.0
0.6,0.15,0.1,0.9,650.0,1.0,H2,0.0
0.6,0.15,0.1,0.9,650.0,3.0,H2,0.0
0.6,0.15,0.1,0.9,650.0,5.0,H2,0.0
0.6,0.15,0.1,0.9,750.0,1.0,H2,0.0
0.6,0.15,0.1,0.9,750.0,3.0,H2,0.0
0.6,0.15,0.1,0.9,750.0,5.0,H2,0.0
0.6,0.15,0.1,0.9,850.0,1.0,H2,0.0
0.6,0.15,0.1,0.9,850.0,3.0,H2,0.0
0.6,0.15,0.1,0.9,850.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,650.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,650.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,650.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,750.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,750.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,750.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,850.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,850.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.6,850.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,650.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,650.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,650.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,750.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,750.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,750.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,850.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,850.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.75,850.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,650.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,650.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,650.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,750.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,750.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,750.0,5.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,850.0,1.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,850.0,3.0,H2,0.0
0.6,0.15,0.7999999999999999,0.9,850.0,5.0,H2,0.0
0.6,0.15,1.5,0.6,650.0,1.0,H2,0.0
0.6,0.15,1.5,0.6,650.0,3.0,H2,0.0
0.6,0.15,1.5,0.6,650.0,5.0,H2,0.0
0.6,0.15,1.5,0.6,750.0,1.0,H2,0.0
0.6,0.15,1.5,0.6,750.0,3.0,H2,0.0
0.6,0.15,1.5,0.6,750.0,5.0,H2,0.0
0.6,0.15,1.5,0.6,850.0,1.0,H2,0.0
0.6,0.15,1.5,0.6,850.0,3.0,H2,0.0
0.6,0.15,1.5,0.6,850.0,5.0,H2,0.0
0.6,0.15,1.5,0.75,650.0,1.0,H2,0.0
0.6,0.15,1.5,0.75,650.0,3.0,H2,0.0
0.6,0.15,1.5,0.75,650.0,5.0,H2,0.0
0.6,0.15,1.5,0.75,750.0,1.0,H2,0.0
