material,gb_type,misorientation_deg,gb_energy_J_m2,gb_width_nm,grain_size_um,segregation_energy_eV,diffusivity_enhancement
Steel-316,symmetric_tilt,19.34,0.7621,1.276,31.26,0.1951,118.66
Ni,twist,8.26,0.9216,1.915,53.32,-0.3068,478.31
Cu,asymmetric_tilt,43.74,0.3178,0.556,74.41,-0.3088,1181.63
Cu,asymmetric_tilt,55.36,1.0188,0.601,30.64,0.1839,19.88
Steel-316,symmetric_tilt,51.23,0.6581,1.345,41.19,-0.2021,8920.66
Al,tilt,59.79,0.8084,1.766,76.17,0.0591,39.79
Steel-316,mixed,50.05,0.5887,1.521,31.6,-0.2915,251.84
Steel-316,tilt,18.02,0.7455,1.215,38.61,-0.08,7831.34
Inconel-718,asymmetric_tilt,55.98,0.7605,0.824,58.62,-0.3073,773.92
Inconel-718,symmetric_tilt,29.7,0.4983,1.935,40.71,-0.0007,152.46
Inconel-718,tilt,7.79,0.8553,0.504,94.38,0.47,8944.94
Ni,tilt,59.01,1.0413,1.617,30.14,0.0372,4741.4
Inconel-718,tilt,33.77,0.3041,1.928,22.45,0.476,98.79
Cr,symmetric_tilt,53.14,0.7837,0.794,60.57,0.3368,53.66
Ti,mixed,20.67,0.4043,0.977,49.2,-0.0678,3232.53
Ni,tilt,40.95,0.3867,1.862,37.62,0.0002,111.27
Ni,tilt,13.64,0.8084,1.152,29.57,-0.1071,14.49
Al,mixed,17.57,0.6699,0.613,64.12,0.149,38.01
Cr,asymmetric_tilt,28.43,0.4038,0.602,83.22,0.311,11.57
Cu,mixed,42.48,0.4109,0.795,66.99,0.3712,592.4
Fe,symmetric_tilt,48.33,0.643,1.981,49.33,0.0572,3530.82
Ni,tilt,38.82,0.2997,1.675,20.03,-0.1347,4554.21
Ni,tilt,32.12,0.2733,1.723,45.82,0.1516,103.98
Ti,twist,28.04,0.303,0.941,80.69,-0.3698,71.79
Ti,tilt,18.6,0.631,1.356,72.0,0.1576,49.53
Cu,asymmetric_tilt,53.91,0.767,1.809,52.46,-0.2776,27.57
Cu,mixed,37.4,0.3464,1.765,30.77,0.3843,233.81
Al,twist,39.72,0.3256,1.294,19.37,-0.3419,65.69
Steel-316,mixed,57.83,0.9035,1.391,45.22,0.2889,414.9
Ti,mixed,32.83,0.268,1.105,70.0,-0.3332,101.63
Inconel-718,tilt,21.28,0.6357,0.951,2.01,-0.322,57.69
Cr,twist,12.36,0.8079,1.343,85.92,0.3472,3064.26
Fe,twist,58.16,1.189,1.841,69.67,-0.2679,6318.73
Ti,symmetric_tilt,15.79,0.7182,1.973,65.33,0.018,3067.95
Ti,symmetric_tilt,29.02,0.4584,1.451,32.14,0.4037,90.67
Inconel-718,twist,29.03,0.383,1.048,73.44,0.0222,1465.23
Cr,symmetric_tilt,22.0,0.5627,0.572,59.35,-0.4749,668.94
Cu,mixed,24.41,0.3856,1.266,38.2,0.1087,1491.48
Ni,twist,26.68,0.3272,1.689,99.02,-0.2449,119.03
Ni,twist,54.29,0.8032,1.507,81.42,0.4409,34.79
Inconel-718,symmetric_tilt,57.5,0.8682,1.037,15.78,0.2247,5428.3
Ti,mixed,50.11,0.5775,1.561,74.33,0.3712,916.9
Ni,tilt,37.65,0.2,0.957,7.67,-0.0258,13.12
Ti,twist,48.21,0.6619,0.526,64.66,0.1142,13.04
Cr,symmetric_tilt,9.62,0.8869,1.666,22.49,-0.2622,48.01
Al,symmetric_tilt,50.68,0.6252,1.372,43.38,-0.4061,71.47
Inconel-718,asymmetric_tilt,53.55,0.8056,1.652,64.1,0.174,70.18
Inconel-718,symmetric_tilt,37.42,0.4184,1.502,77.89,-0.1548,114.86
Inconel-718,tilt,49.36,0.6581,1.862,39.39,-0.1626,159.52
Fe,tilt,40.99,0.2754,1.489,76.38,0.3819,1641.3
Cr,symmetric_tilt,15.36,0.816,1.54,61.61,0.447,16.19
Ni,asymmetric_tilt,33.96,0.3921,0.938,90.21,0.1222,1272.77
Ni,tilt,28.79,0.2012,1.345,28.42,-0.1607,963.92
Steel-316,symmetric_tilt,41.11,0.3094,1.288,65.15,0.3255,6749.93
Steel-316,tilt,53.83,0.8234,1.383,23.91,-0.3493,44.56
Cr,symmetric_tilt,44.19,0.2499,1.902,14.88,-0.4476,854.5
Steel-316,mixed,44.98,0.6284,1.844,30.93,-0.1516,153.13
Steel-316,twist,34.57,0.4225,1.117,98.67,0.4547,86.98
Cr,asymmetric_tilt,26.56,0.2852,1.341,89.49,0.3179,10.23
Ni,tilt,44.17,0.4944,0.694,69.91,0.3084,149.44
Inconel-718,twist,11.44,0.794,1.313,77.55,-0.433,287.27
Steel-316,symmetric_tilt,40.8,0.4186,1.169,97.47,0.4981,748.64
Steel-316,mixed,20.43,0.4351,0.721,16.56,-0.124,2103.22
Al,mixed,29.14,0.2902,1.443,64.86,-0.3769,380.37
Cr,symmetric_tilt,6.37,1.0849,0.604,74.22,0.3089,52.24
Inconel-718,mixed,28.35,0.3864,0.592,26.5,-0.4556,4212.6
Al,twist,29.42,0.4602,1.774,24.39,0.4308,40.62
Ni,tilt,5.22,0.9694,1.259,25.33,-0.1551,1949.69
Fe,asymmetric_tilt,40.78,0.3837,1.124,52.49,-0.277,6535.71
Al,symmetric_tilt,43.42,0.4304,1.8,92.93,0.0361,199.37
Al,symmetric_tilt,32.94,0.2924,0.52,90.03,-0.331,26.49
Inconel-718,twist,40.91,0.3383,0.819,90.13,-0.101,48.66
Al,twist,17.81,0.8464,0.714,8.77,-0.2039,396.93
Cr,symmetric_tilt,5.77,1.1035,1.088,30.41,0.0144,517.88
Ti,asymmetric_tilt,19.87,0.8265,1.859,86.98,0.0211,342.49
Cu,symmetric_tilt,30.14,0.2,1.547,54.14,-0.2967,4341.53
Al,asymmetric_tilt,25.45,0.6744,0.916,33.15,-0.242,908.25
Ti,tilt,18.35,0.6524,1.218,73.92,0.0713,97.1
Steel-316,tilt,52.05,0.8333,1.69,94.35,0.0041,845.87
Ni,symmetric_tilt,13.28,0.9427,1.628,98.72,-0.4393,5596.35
Cu,twist,20.55,0.5533,1.124,78.47,-0.2702,29.39
Steel-316,symmetric_tilt,17.34,0.8093,1.422,94.86,0.2053,52.62
Cu,twist,59.73,0.7696,0.984,27.58,-0.476,194.93
Ti,symmetric_tilt,12.16,0.962,1.316,63.82,-0.3594,65.93
Ni,mixed,24.37,0.5451,1.856,71.72,-0.0518,4297.57
Steel-316,symmetric_tilt,21.72,0.4061,0.85,5.76,0.0708,8248.76
Al,mixed,21.8,0.6702,1.439,13.63,-0.1288,123.64
Ni,twist,47.19,0.6403,0.995,91.23,0.3005,45.52
Cr,asymmetric_tilt,12.71,0.8209,1.707,78.72,-0.4457,1415.67
Inconel-718,twist,8.66,0.8643,1.574,7.13,-0.293,11.24
Ti,tilt,45.45,0.4315,1.12,26.95,-0.2733,187.72
Fe,symmetric_tilt,21.35,0.7426,0.717,98.55,0.3288,23.07
Steel-316,tilt,49.27,0.4774,1.142,28.3,0.0478,1403.46
Ni,tilt,18.01,0.7763,1.311,32.12,0.3679,119.27
Steel-316,mixed,32.15,0.3,1.282,10.12,-0.2019,4040.6
Fe,tilt,29.11,0.2457,1.804,18.91,-0.0031,19.59
Cr,mixed,19.84,0.6967,1.486,95.46,0.3667,4696.48
Cu,twist,50.45,0.5839,1.068,71.8,0.3189,228.39
Cu,twist,14.71,0.8456,1.374,57.27,-0.4473,127.58
Al,twist,47.8,0.6504,1.421,84.77,-0.0235,7932.62
Inconel-718,tilt,10.02,0.8256,0.947,15.42,-0.132,59.81
Ti,twist,26.93,0.4985,0.827,50.66,0.3615,76.95
Inconel-718,symmetric_tilt,37.52,0.3666,1.502,76.29,-0.1292,2160.15
Ni,asymmetric_tilt,36.01,0.3426,0.517,76.15,-0.4103,6883.83
Inconel-718,asymmetric_tilt,18.63,0.6158,0.91,15.54,-0.048,939.8
Al,mixed,36.34,0.4108,1.354,51.4,0.2822,17.42
Cr,symmetric_tilt,21.84,0.4625,1.376,59.16,-0.3287,6332.93
Cr,symmetric_tilt,25.44,0.3905,0.603,1.22,0.1637,22.71
Cr,asymmetric_tilt,13.5,0.8439,0.648,3.7,-0.4002,35.68
Cu,tilt,58.69,0.8795,1.234,71.7,0.4274,243.31
Cr,asymmetric_tilt,31.13,0.4261,0.613,14.94,-0.2881,962.17
Al,twist,59.72,1.0105,0.51,43.47,-0.4637,31.02
Cu,symmetric_tilt,10.65,0.6737,1.688,82.96,-0.2872,18.02
Ni,mixed,11.4,1.0348,1.839,46.54,-0.2033,1188.9
Cu,tilt,53.3,0.7031,0.778,67.86,0.155,1204.73
Inconel-718,twist,5.53,1.1378,1.96,23.56,-0.275,234.05
Ni,tilt,38.8,0.2018,1.988,57.02,0.4912,1224.45
Ti,twist,26.54,0.4904,0.788,87.21,-0.4884,71.79
Steel-316,symmetric_tilt,20.54,0.6829,1.762,91.32,-0.2209,361.88
Al,twist,43.37,0.4228,1.437,18.7,0.2401,12.3
Inconel-718,symmetric_tilt,29.98,0.4236,0.829,22.94,0.0756,109.78
Al,asymmetric_tilt,33.9,0.3076,1.76,80.1,-0.0985,77.84
Fe,mixed,48.53,0.4208,1.447,90.43,0.0145,3760.07
Ti,symmetric_tilt,41.19,0.2223,0.834,63.52,-0.4423,118.94
Cu,tilt,26.83,0.4747,1.972,14.57,-0.104,3625.57
Cu,mixed,35.5,0.2,1.465,20.89,-0.2918,75.62
Steel-316,tilt,20.97,0.6486,1.528,64.28,0.12,1088.95
Al,asymmetric_tilt,31.09,0.3243,0.874,61.43,0.4664,83.25
Al,mixed,25.17,0.5238,1.925,39.74,0.19,1006.13
Cr,symmetric_tilt,27.05,0.41,1.199,85.98,0.3372,1842.12
Ni,tilt,52.09,0.8534,0.552,46.59,-0.0026,191.36
Fe,asymmetric_tilt,40.24,0.355,1.195,33.91,-0.1204,44.06
Cr,symmetric_tilt,23.75,0.574,0.977,56.08,-0.057,4186.65
Steel-316,mixed,58.52,1.0543,1.059,20.86,-0.192,26.2
Ni,tilt,6.9,1.0956,0.584,87.76,-0.4761,4936.3
Cr,twist,13.38,0.8234,1.173,37.01,-0.2025,804.59
Ti,twist,5.97,0.8547,1.608,76.43,-0.0039,24.29
Inconel-718,twist,8.15,0.8683,1.244,68.99,-0.3592,3900.48
Inconel-718,asymmetric_tilt,39.65,0.2435,0.768,96.91,0.0377,162.23
Fe,tilt,23.28,0.4577,1.871,38.55,0.4141,250.34
Cu,tilt,11.84,0.7468,1.897,91.31,-0.3555,351.0
Inconel-718,mixed,15.13,0.7845,1.273,67.28,-0.3804,157.91
Al,symmetric_tilt,11.15,0.6475,1.207,37.43,-0.0939,3629.62
Cr,mixed,19.12,0.6613,0.558,19.92,0.0164,16.78
Ni,twist,43.61,0.2183,1.517,46.0,-0.4064,843.12
Cr,tilt,45.94,0.5809,0.838,29.09,-0.3263,402.78
Fe,asymmetric_tilt,34.14,0.2306,1.445,95.65,0.4029,194.21
Fe,mixed,54.79,0.6641,1.503,90.36,0.0939,1478.08
Fe,tilt,39.75,0.2377,1.22,99.66,0.0022,42.1
Ti,symmetric_tilt,39.34,0.452,0.694,99.29,0.0803,985.54
Ni,twist,41.5,0.2343,0.539,84.33,-0.4449,11.71
Ti,twist,27.87,0.5934,1.546,27.47,0.3791,1037.06
Cr,symmetric_tilt,56.14,0.9125,1.163,22.14,0.279,112.39
Ni,asymmetric_tilt,18.21,0.6886,1.783,40.86,0.2677,11.28
Fe,tilt,38.62,0.2648,1.141,4.94,-0.0637,6195.65
Ni,tilt,26.35,0.4182,1.534,86.94,0.3547,8641.25
Al,symmetric_tilt,8.53,0.9822,1.946,90.7,0.2387,13.11
Inconel-718,symmetric_tilt,54.76,0.7595,1.56,45.58,-0.1138,47.56
Inconel-718,symmetric_tilt,48.61,0.5017,1.224,24.92,-0.4076,87.49
Ni,mixed,9.14,0.857,1.499,53.37,0.2405,4088.51
Al,asymmetric_tilt,33.2,0.2754,1.953,14.2,-0.0205,8983.28
Steel-316,asymmetric_tilt,45.73,0.4565,0.707,72.77,-0.4527,99.32
Cr,symmetric_tilt,6.78,1.0436,1.683,56.08,-0.0085,904.01
Cu,tilt,45.1,0.4597,0.956,48.77,-0.1872,120.51
Ni,mixed,35.21,0.2,1.118,50.36,0.1394,809.14
Cu,tilt,35.68,0.2,1.954,38.35,0.3848,14.24
Cr,asymmetric_tilt,48.39,0.4389,1.729,2.93,0.0368,17.09
Cr,tilt,55.96,0.8803,0.783,10.3,0.4412,4737.73
Cr,twist,42.77,0.3841,1.502,10.2,-0.1901,5127.42
Inconel-718,mixed,46.05,0.5131,1.771,96.47,-0.1872,8021.07
Inconel-718,mixed,56.2,0.8425,1.655,49.13,-0.1655,22.34
Inconel-718,mixed,37.43,0.3939,0.955,54.24,-0.3806,7332.46
Steel-316,tilt,53.86,0.7647,1.441,23.93,-0.2354,35.22
Ni,twist,20.87,0.6955,1.893,27.84,0.4236,59.08
Fe,symmetric_tilt,48.83,0.4737,0.662,61.9,0.0413,44.55
Ti,tilt,7.3,0.9979,1.323,57.06,0.159,139.05
Cr,tilt,52.18,0.6843,1.91,45.22,-0.2907,78.77
Al,tilt,19.58,0.6864,0.653,89.32,0.3724,10.84
Cu,tilt,38.17,0.3158,0.691,74.07,0.014,122.05
Fe,asymmetric_tilt,42.02,0.472,1.097,25.84,0.1651,54.53
Inconel-718,symmetric_tilt,16.84,0.7148,0.558,80.42,0.3315,10.77
Ni,tilt,41.12,0.4629,1.406,48.03,0.3475,27.26
Inconel-718,twist,19.2,0.5887,0.855,96.03,-0.1647,1631.0
Inconel-718,twist,37.94,0.2923,0.726,85.98,-0.2795,6073.11
Fe,asymmetric_tilt,23.59,0.5266,1.897,82.57,-0.3053,301.46
Ti,symmetric_tilt,54.05,0.9221,1.949,31.02,-0.26,2773.75
