simulation_id,material,parameters_temperature,parameters_pressure,parameters_crystal_structure,parameters_lattice_parameter,parameters_supercell_size,parameters_k_point_density,parameters_cutoff_energy,parameters_exchange_correlation,results_formation_energy,results_activation_barrier,results_surface_energy,results_bulk_modulus,results_elastic_constants,results_band_gap,results_magnetic_moment,metadata_convergence_criteria,metadata_total_energy,metadata_forces_converged,metadata_stress_converged
DFT_Ni_0000,Ni,749.448142616835,9.50714306409916,FCC,3.52,"[4, 4, 4]",0.021646759543664195,593.9819704323988,LDA,-0.07443633722158588,2.0591942248157977,2.1226821062822774,198.43908695367213,"[507.6237763498091, 227.50455096638927, 107.24561171988893]",0.12312500617045903,0.0,1e-06,-893.830444660862,True,True
DFT_Ni_0001,Ni,518.1899606485208,1.8340450985343382,FCC,3.52,"[4, 4, 4]",0.05648559873736288,557.0351922786027,PBE0,-0.12177106831729602,1.0713726101851018,1.9487595862068128,196.25141647172686,"[610.7055384409105, 167.95148027421064, 81.8089453773866]",0.04562772182208471,0.0,1e-06,-808.7690043664186,True,True
DFT_Ni_0002,Ni,1479.8770629681458,4.667628932479799,FCC,3.52,"[4, 4, 4]",0.038471506049771925,448.20509320520233,PBE0,-0.10134870387262956,1.8554595816892054,2.115770099591489,199.80107620426836,"[687.7556152980555, 204.8590978189039, 90.74297565902464]",0.0016095085993823401,0.0,1e-06,-695.0016711086896,True,True
DFT_Ni_0003,Ni,1299.8338940833974,1.7336465350777208,FCC,3.52,"[4, 4, 4]",0.05598033066958126,479.0300472003629,LDA,-0.2892017934403941,1.4473414231461013,2.0978801617197997,210.16161088570138,"[569.1053820528834, 215.8528148665572, 65.68082405954851]",0.18469642430342736,0.0,1e-06,-636.3640020717896,True,True
DFT_Ni_0004,Ni,691.8489225670024,5.704439744053994,FCC,3.52,"[4, 4, 4]",0.04207993456180347,459.25470114081645,PBE,-0.08414583883523416,1.6319814376391448,2.2052058791036693,204.39460398952656,"[621.2966696497455, 211.48719205012338, 140.23557170767486]",0.09340328151510838,0.0,1e-06,-962.7246781601145,True,True
DFT_Ni_0005,Ni,1484.2643239206207,7.722447692966574,FCC,3.52,"[4, 4, 4]",0.06986385014620464,466.17960497052985,PBE0,-0.08208567395014543,1.8769030280330743,2.254338771846022,205.03331864829823,"[527.7649172939437, 193.42562209668347, 71.01280271572729]",0.1988529571658223,0.0,1e-06,-844.5088391421689,True,True
DFT_Ni_0006,Ni,690.2199864320964,7.29606178338064,FCC,3.52,"[4, 4, 4]",0.05950364770915126,504.5465658763988,PBE0,-0.05260720108978337,1.71824356523294,2.0289198477398602,199.4946416998121,"[641.0251175208402, 220.3047296336105, 104.63710987930413]",0.14738899667213645,0.0,1e-06,-944.5545895940843,True,True
DFT_Ni_0007,Ni,827.2038022389241,2.017192023353962,FCC,3.52,"[4, 4, 4]",0.09542828564463848,519.7730932977072,PBE0,-0.15697868076052807,1.8752389629237087,2.359332765017668,203.8712636115335,"[538.0838386993925, 212.38634483408282, 105.18461325670057]",0.022697742213232477,0.0,1e-06,-919.3893563729978,True,True
DFT_Ni_0008,Ni,1415.6371828110878,8.08120379564417,FCC,3.52,"[4, 4, 4]",0.04544027799774911,422.0103849055354,PBE,-0.043203086268091356,1.7301852218564833,2.0881946428938454,203.42178288742238,"[690.1204000235995, 206.62301048473037, 126.72690124157495]",0.22642426492862314,0.0,1e-06,-676.1549397293188,True,True
DFT_Ni_0009,Ni,300.624452394379,3.5256885633416903,FCC,3.52,"[4, 4, 4]",0.037501137565845624,511.62040040346824,PBE,-0.2515355780321253,1.4309904143614305,1.9971724198252112,219.6244227765419,"[701.136920974559, 199.36734954098605, 87.33369759643826]",0.01842727096628281,0.0,1e-06,-967.5538764455092,True,True
DFT_Ni_0010,Ni,604.6984967212136,2.468760628386012,FCC,3.52,"[4, 4, 4]",0.055822653165847336,510.5786178142656,PBE0,-0.023215180645418054,1.9277817286721202,2.0984606306236318,199.43889943212548,"[567.4178785124254, 210.15685316191193, 114.13532826784993]",0.07570130390623203,0.0,1e-06,-663.9322262970607,True,True
DFT_Ni_0011,Ni,1213.943538394461,2.3763754399239967,FCC,3.52,"[4, 4, 4]",0.03492148083198834,408.1550283109528,PBE0,-0.24354658172413093,1.969073812513686,2.313940619019122,209.282171689946,"[635.3335186445253, 174.9841530153058, 132.7102196249627]",0.038681029366739665,0.0,1e-06,-889.8794762172258,True,True
DFT_Ni_0012,Ni,1153.3794389256213,8.095010461397154,FCC,3.52,"[4, 4, 4]",0.036725729659017096,508.28959476551313,LDA,-0.23403476583352817,1.5033083356784958,2.1332627398764195,204.11335850476755,"[615.963363288462, 231.68581607186573, 116.40095919037707]",0.1328841330037892,0.0,1e-06,-871.0291861424222,True,True
DFT_Ni_0013,Ni,1091.980855241015,8.172222002012159,FCC,3.52,"[4, 4, 4]",0.047936765969012876,545.1911357740479,PBE0,0.009120094515328941,2.3721654646309096,2.112142721586629,198.6275552193633,"[674.7806605549656, 230.44117912337913, 109.88882443141117]",0.04140465098113239,0.0,1e-06,-571.8378540609538,True,True
DFT_Ni_0014,Ni,785.4097525466282,8.877700987609598,FCC,3.52,"[4, 4, 4]",0.05884910028689813,489.68482859724946,PBE,-0.07381103037752791,1.9402848061011766,1.9341896573308395,207.7908749563369,"[714.8283379748569, 247.16008418616204, 85.93573759056267]",0.03643671105761715,0.0,1e-06,-887.8653452697201,True,True
DFT_Ni_0015,Ni,1154.615065617043,2.3724908749680007,FCC,3.52,"[4, 4, 4]",0.041216189414538036,448.7979286758167,LDA,-0.014830515782469522,1.413024188398941,2.262393881745171,202.75187284624332,"[640.2119276373378, 208.29175174935455, 68.4226557001061]",0.045841630720702006,0.0,1e-06,-510.55357086249546,True,True
DFT_Ni_0016,Ni,884.0905835513462,9.06098787718554,FCC,3.52,"[4, 4, 4]",0.08148432114450473,408.72075435088675,LDA,-0.3759105578315367,1.2971421996852899,2.3091839021873706,207.81352602536268,"[699.119523837751, 185.38506571323876, 103.8397123845563]",0.08486418946848799,0.0,1e-06,-523.0357114987063,True,True
DFT_Ni_0017,Ni,1397.8372682645381,3.7015870025544437,FCC,3.52,"[4, 4, 4]",0.09489238193286248,539.2059593349945,LDA,-0.09478894379975311,1.60092845827396,2.051207399558686,189.90101850209425,"[636.3842670607692, 175.99433942763665, 69.84504364039084]",0.08137369920602278,0.0,1e-06,-951.4117531146157,True,True
DFT_Ni_0018,Ni,1038.0086720390036,9.900538501042632,FCC,3.52,"[4, 4, 4]",0.0847488924382811,562.0226789358362,PBE,-0.14320898284796668,1.2831957207602667,2.1917418587072994,203.73856350912158,"[651.3553945864259, 220.24009007111914, 90.4184533502378]",0.03475620842670952,0.0,1e-06,-694.2431445671598,True,True
DFT_Ni_0019,Ni,397.91301648028843,0.05184862773986776,FCC,3.52,"[4, 4, 4]",0.055077929841446965,534.4052270590398,PBE0,-0.28804765583634884,1.7038344719367422,2.1307138783020845,195.41883216444992,"[498.46820745754843, 225.63974086152479, 60.78438457241953]",0.08648015834977012,0.0,1e-06,-767.20099093377,True,True
DFT_Ni_0020,Ni,951.173561649092,2.865412521282844,FCC,3.52,"[4, 4, 4]",0.02682779719950144,410.33634423372155,LDA,-0.198362043962154,1.6132143553645846,2.045802634743257,197.76788501736843,"[597.7026575490353, 219.12630660322316, 76.40335276534093]",0.09752196186564929,0.0,1e-06,-729.6824391949467,True,True
DFT_Ni_0021,Ni,1064.9158817978478,7.260913337226615,FCC,3.52,"[4, 4, 4]",0.09701187317423401,567.1960241024411,PBE,-0.14823328420301582,1.7307843195180024,2.2722689701327443,195.80953501682862,"[542.5553747292591, 191.0295439230818, 64.88786352494141]",0.0025677609541474382,0.0,1e-06,-655.7500496173168,True,True
DFT_Ni_0022,Ni,369.83231461013236,9.152137276264805,FCC,3.52,"[4, 4, 4]",0.023817290215331903,513.2074420988152,PBE0,-0.3306966793128107,1.4535710947099956,2.1714498100144484,203.85264756732556,"[614.9615189828479, 216.6636716783571, 96.68102381772536]",0.1309478947482556,0.0,1e-06,-621.0769447678155,True,True
DFT_Ni_0023,Ni,317.27218635570705,1.1607264050691624,FCC,3.52,"[4, 4, 4]",0.05188037875178987,523.1700196104433,PBE,-0.09822106671627334,1.8400133284567635,2.0418581116492236,199.60316429292132,"[597.1359950222567, 197.4851168948065, 73.70960580607237]",0.05688991313023239,0.0,1e-06,-556.6598063509762,True,True
