material,diffusion_mechanism,activation_barrier_eV,attempt_frequency_Hz,applied_stress_MPa,grain_size_nm,temperature_K,migration_path_length_A,coordination_number,elastic_modulus_GPa
Ni,grain_boundary_diffusion,0.9250132288000708,97232847512795.72,224.74098259271403,249.25451371287502,301.27639812052394,3.445913336377102,8,145.42207643724896
Zn,grain_boundary_diffusion,0.1,26187628628357.9,426.41728659273866,227.8940898715276,462.2214335800288,2.2890966801647994,8,265.3910710624891
Mg,vacancy_migration,0.12373762768456614,32208624211701.09,486.12990087085535,562.9309916292168,635.935558826342,5.764878114982629,11,63.060915923991004
Zn,interstitial_migration,0.1,45404035180365.76,150.63169892668128,292.1185830798732,650.6903232328643,3.4542251754706914,10,92.1422860980282
Cu,interstitial_migration,0.20628479145344847,47998050741777.86,64.56820203316715,946.5421714056573,940.7133681971746,2.4400849719659066,10,272.5785520801628
Mg,vacancy_migration,0.529312452106973,31838047048032.594,247.13718070306228,937.5679913823466,301.0157602742845,2.9123554590797576,11,189.2226595682736
Fe,surface_diffusion,0.5128241952967499,21986170559126.875,232.26923176220959,750.6291387483361,499.4974587786495,3.360900966089568,8,189.61749143251728
Mg,grain_boundary_diffusion,0.32594505226183007,15728272395177.65,103.14590753618175,144.58850155847952,682.1736657513156,4.627230086095557,10,70.21743645802651
Ti,pipe_diffusion,0.7952726500149135,8799425029387.518,159.42590446829118,992.8863176329833,910.5840003078632,3.1076067589637506,6,240.8747688579263
Fe,interstitial_migration,0.42116459715038307,82107831786216.23,72.92956700457515,955.2908175797942,368.75299541883555,5.0980164254213065,8,63.9595552191186
Al,vacancy_migration,0.646349094875984,81606878939903.92,43.29367908967513,596.5209863825102,982.8873756316898,5.072991110585265,7,110.06616890304429
Fe,interstitial_migration,0.13072061016340178,30405002652270.82,169.05399562985136,116.28043489963864,927.4976947277305,5.074152388045664,10,105.63244562472144
Zn,vacancy_migration,0.17940710104969565,87772075695649.19,346.71292100813673,258.29609117588745,527.5504048486451,5.408558255417903,5,115.62741022814974
Mg,interstitial_migration,0.1,80020115967909.45,404.2566366302054,895.7209480708734,310.46394115682995,2.5088164773511235,9,125.49547827143344
Fe,interstitial_migration,0.22384566024551328,13105012419413.598,232.26679232904857,429.9140530278268,1064.7777440408993,2.7311541334595986,5,80.3261761412909
Mg,surface_diffusion,0.2400380856828487,49555492990591.305,123.5873722972588,974.0107319767809,657.4372499486283,2.296476697543832,9,272.88479743289486
Ni,vacancy_migration,1.186090362229042,22882479183461.207,335.8839802281812,437.13054238493027,404.0506993731733,2.112406734470577,7,178.0259638659498
Al,interstitial_migration,0.14347766399778772,53583318623901.72,80.58184394808055,432.0180971919895,417.913098990253,2.585503754672628,10,247.6887091685374
Fe,interstitial_migration,0.41711259409771173,81615157415407.7,80.14673691041435,218.4964677061832,554.5974648616995,5.012040802750502,8,126.4506456123697
Fe,pipe_diffusion,0.8497839337272657,57348304328444.26,250.21162181626687,24.128423218008148,1113.5118056553492,4.071365554427463,9,270.5531029543284
Fe,pipe_diffusion,0.7749314696181109,65803895218954.56,172.98624390351296,675.5031267417032,1155.9296322737455,2.4139900143742707,8,227.8635604660573
Ni,vacancy_migration,0.8740307777922022,29925503534822.44,6.722021991708127,212.57921783342965,914.5535394260091,5.7241143851102505,5,240.17062838475968
Fe,grain_boundary_diffusion,0.7375863214852739,92262704455230.7,406.81394011149007,622.4109918860904,1054.3342488387211,2.1450092700591794,11,61.98129398900602
Al,grain_boundary_diffusion,0.4765231454343687,80662490167700.28,69.5983067084428,584.4167740536351,1099.2971271103247,4.945976834867117,8,283.5366037615281
Zn,grain_boundary_diffusion,0.16260451551891997,74718512941550.78,313.03864552806596,421.6374849758735,1168.2772795486476,2.0961542236234334,10,273.55701068506175
Zn,interstitial_migration,0.1,43504935553706.67,490.16103636391296,620.1288723519164,465.1178285719636,5.446530424982189,6,110.82571908615078
Cu,grain_boundary_diffusion,0.2856735508202208,85220071381121.31,371.4266155571982,32.67313985026318,1163.0706115415214,4.811597131293658,6,292.69774764225735
Ti,pipe_diffusion,0.9428264415338867,51143113524206.04,37.39162797954199,918.0036807728244,967.3861232528699,3.4438776545941607,7,283.3754691756087
Ni,surface_diffusion,0.21267770410411466,76220883802931.67,326.7167096239001,688.7210931972431,916.6715463129274,4.602219915248958,5,199.92157855701484
Al,pipe_diffusion,0.34112491697634695,29185098919867.996,4.602833695321495,208.2187264307794,401.89858494010434,5.839746287195537,4,220.64554246065325
Zn,vacancy_migration,0.28524612710255787,40484824869135.82,180.6213970205052,863.3975389687166,681.9043258166481,5.001555708362806,9,175.70421228088134
Fe,grain_boundary_diffusion,0.9550521818584908,98110855089704.36,299.2308791240331,209.65472051882065,366.9561171877664,5.726514813653758,5,113.58502189440105
Mg,vacancy_migration,0.1,28316332753742.207,472.1330798277754,29.111372550687978,1168.8498332970867,3.4028093097229095,6,185.02917734070502
Cu,pipe_diffusion,0.15988957204883308,49379933317488.586,256.7114668242374,172.34809223928178,717.129958107601,2.310070839171943,9,111.20268501522519
Al,vacancy_migration,0.34500698590257023,8288207891834.485,261.987101342857,143.52609794396722,323.3840643532023,2.7587854594005132,10,283.4988416691684
Mg,surface_diffusion,0.1,55319010639790.29,317.2852542671181,675.6822306596199,911.8897385007793,2.7983499832003935,9,261.80237189334713
Zn,pipe_diffusion,0.1,75789927123200.53,492.34277695761955,772.7844649162834,1169.355184601316,5.521165052053721,11,95.45674906028788
Zn,vacancy_migration,0.5314835419523117,15462979277535.523,105.32279881776834,550.1186032779908,461.86333356827924,4.529603580540786,7,130.05199603873928
Ni,grain_boundary_diffusion,0.3762591907247891,72692820899402.81,314.3177732848512,155.31291441943443,1173.1480180716771,4.300101825046557,8,54.9699771743201
Al,pipe_diffusion,0.1,97486311875460.92,478.30028388365383,397.3640868528761,678.1210987647903,4.755465937702224,7,151.50855164859232
Ti,interstitial_migration,0.1,11939633771541.31,391.4923247880146,303.7392262782006,806.4930637213785,5.317786559046658,7,155.50589149242177
Mg,vacancy_migration,0.5563184844403295,14968681846463.604,22.146360291046385,752.2453288585898,364.2804939820417,2.5035919061669003,6,211.50257273667472
Zn,surface_diffusion,0.1,47250239201892.2,345.2763201998224,122.82236154457075,891.2039111892161,4.8192966615628645,9,142.49162360146738
Mg,surface_diffusion,0.1,52562487438309.664,443.3862542712134,734.5851570229015,804.8345214398353,4.361614902615624,6,122.23945478517929
Cu,vacancy_migration,0.3512602374386949,66912398550853.734,384.8080886773858,326.9237990987641,1056.4432575741723,4.80063876829254,7,73.1440167630247
Cu,grain_boundary_diffusion,0.6715654816502172,17872886986119.6,34.79089177178951,501.400728741644,725.4362087726602,3.4098511375969593,10,253.85737350289207
Zn,grain_boundary_diffusion,0.1,37143081690143.92,414.518807371309,49.4406999296791,1196.0090948998936,3.832095282134357,10,158.3452120287352
Fe,surface_diffusion,0.6472861926998711,81520989575465.72,148.07723413192898,631.0512248279397,678.0564026215023,2.3950118747267535,6,211.21382667428165
Ni,vacancy_migration,0.954555668595158,64628998319810.24,234.1132020463162,889.4425565555958,990.0280414501343,3.8320584972637834,9,151.04803354667018
Ti,vacancy_migration,1.761289577197352,56949451085137.44,19.402262015472573,957.5529537287046,341.65189154032277,4.514528639611399,6,172.12958848270654
Al,pipe_diffusion,0.1637478998489963,1170757388874.23,259.0924711715549,526.5975443694231,785.4909199391425,2.3906652725044917,6,193.91534906792808
Zn,grain_boundary_diffusion,0.24483451453116598,83926061879604.36,157.535813356616,356.35384402662703,986.0220885150433,5.532457148297279,10,251.5524137931083
Zn,surface_diffusion,0.1,99559377209217.34,379.3369423433905,106.60337788050674,336.22029355732565,2.3890168634221296,10,157.39165820178215
Ti,surface_diffusion,0.6871120259036999,83003973895542.42,408.56364108507245,916.8320813484565,568.0650101574925,3.8936845225337824,7,229.7035666735597
Fe,grain_boundary_diffusion,0.8527246227912727,21184761070591.863,250.07404158219964,428.12835397372714,454.6511012252246,2.7482273441055214,11,235.65793670328586
Cu,vacancy_migration,0.64238670326158,74045649031136.5,115.758534123028,950.4255756749141,324.92089808289785,4.1515643319400475,10,264.9628679789158
Zn,vacancy_migration,0.5398986739588564,81549966356381.23,6.321300700009247,225.07410675607161,358.62351480380636,2.0179267733021153,4,243.50523074127025
Ti,grain_boundary_diffusion,1.1946724328077856,89390232000060.7,213.99308610629558,130.98946774951366,688.0803478002047,5.220382010496358,9,101.11159176641576
Al,surface_diffusion,0.11644854617611447,71680265902848.66,262.60912581545034,726.8562703446609,317.720380778176,2.147174897188874,8,87.08479517992828
Mg,pipe_diffusion,0.1,37786998250340.96,314.16818264932687,586.546857526765,1188.2132997917302,3.1874081371199403,10,184.74052983910525
Cu,pipe_diffusion,0.1,49733384231515.5,444.1554110745662,811.4034373459457,1006.8789833830738,5.593782136576731,11,95.72191272413818
Fe,grain_boundary_diffusion,0.8613882991305666,84683522693992.84,354.9148961410324,680.3883583430976,828.3232937403864,4.785383824381123,5,164.12793918044756
