simulation_id,material,gb_type,temperature_K,applied_stress_MPa,gb_angle_deg,gb_energy_J_m2,sliding_resistance_Pa_s,stress_exponent,max_displacement_A,avg_sliding_rate_A_ps,simulation_time_ps,timestep_fs,ensemble,box_size_A,n_atoms
GB_slide_0000,Zn,twin,1155.6428757689246,368.6770314875885,109.76523473448141,0.8900466011060912,1.1918504948648418e-08,4.124217733388137,0.0001851476021912597,1.8496697484635549e-06,100,1.0,NPT,141.8386978821737,36630
GB_slide_0001,Fe,twin,797.7013073327626,302.7631726896457,142.17069684830085,1.7022595786224621,3.28146993902462e-07,3.7798359449305363,0.0011023425596895545,1.1012577555130598e-05,100,1.0,NVE,185.91665031987455,33782
GB_slide_0002,Ti,mixed,503.42609803439973,323.83326066616354,176.32169515559156,2.0087327401084467,6.759079196901594e-06,2.3687620353961627,0.003513822782944064,3.510302071862488e-05,100,1.0,NVE,126.84505203306209,63822
GB_slide_0003,Fe,mixed,895.5999592244747,47.63349367406655,67.0665858723895,1.8766584486021287,6.895043444803649e-07,4.444013014129967,1.4129093608912255e-06,1.4116075133101983e-08,100,1.0,NPT,58.433644227645836,44695
GB_slide_0004,Cu,tilt,792.5922159055375,90.65364411279161,16.178959300407996,1.293472125069713,1.901697197802219e-07,2.307101253749628,6.833763435990298e-06,6.826796936623999e-08,100,1.0,NPT,65.4357632513001,46495
GB_slide_0005,Al,twin,743.6066570261424,98.62851696841481,133.58331698718527,1.1303598895973588,6.172109821276476e-08,3.85359996323611,2.986094031005424e-06,2.983277826274351e-08,100,1.0,NVE,133.12718831731982,47763
GB_slide_0006,Mg,mixed,314.2681908362103,55.072410228691965,62.170578943055965,1.592930123900443,6.50735956051767e-06,2.166049367654286,3.0509861582762463e-05,3.047870268673874e-07,100,1.0,NVE,130.0282146471476,43746
GB_slide_0007,Cu,mixed,643.762217140742,286.5075216882168,25.04325195711094,2.992476257031378,2.5182517527333093e-07,4.130629544948794,0.0008134246045915113,8.125681133483518e-06,100,1.0,NVT,162.32411954059813,42152
GB_slide_0008,Ti,tilt,397.31101722938644,219.65606227796567,22.265040928241586,2.047732738177799,1.2460392031078369e-05,2.0216598410111533,0.0015397292996637893,1.5381056778342896e-05,100,1.0,NVT,95.23949111688853,42664
GB_slide_0009,Ti,mixed,409.5897398396089,433.94349744213366,104.10453376584329,2.280136334228068,1.2861970741692599e-05,4.283181151902428,0.22894184559165548,0.002287305828109117,100,1.0,NVT,61.7074292599838,98940
GB_slide_0010,Zn,twin,570.5320105028266,331.7447552418333,165.7991089703092,1.5014884352631808,5.840559595967138e-08,4.562002470489107,0.0005292506975950908,5.287581760826798e-06,100,1.0,NVE,176.07387626236203,89118
GB_slide_0011,Fe,twist,1074.6557034492762,17.553329639719763,23.766265309666615,0.7314401676302469,4.1757441007775033e-07,3.4890931173989213,6.166449755164085e-08,6.16088383208038e-10,100,1.0,NVT,108.11624260328522,71046
GB_slide_0012,Al,twist,950.0738963965847,409.38625543447887,154.37128989270542,0.6931793156679427,1.5508865663874915e-07,3.4957588621736364,0.0011273008966113248,1.126161056587811e-05,100,1.0,NPT,151.97645994986777,18308
GB_slide_0013,Cu,mixed,1070.3782743556292,448.3334214099176,118.52835942794466,2.313478115397361,6.617431865569908e-08,3.944353769062504,0.001684189627922846,1.6825204339419475e-05,100,1.0,NPT,124.19169693853162,47962
GB_slide_0014,Mg,twist,1041.10820802336,375.41315691018735,41.40816449659712,2.690349461710018,9.822472341696819e-08,2.989483488274638,0.0003193046721545849,3.18986162336376e-06,100,1.0,NVT,59.52850962589627,91096
