material,crystal_structure,miller_indices,surface_energy_J_m2,temperature_K,atmosphere,surface_area_A2,relaxation_layers,slab_thickness_A,vacuum_thickness_A
Ti,fcc,(211),4.009485036695938,587.3702882940814,vacuum,968.1964126465025,4,36.66642310072266,20.091633086060767
Fe,fcc,(110),1.997043534527817,1198.2184633384707,reducing,974.6623488527097,7,18.382526805850503,24.840115633568033
Zn,bcc,(100),0.39596288298762755,812.6093258197511,air,923.1024499193423,7,30.31299588392173,29.988691378260384
Fe,hcp,(110),1.8056933273408948,598.5718425129562,air,972.5171765912489,3,17.985080806313512,19.652283184522894
Al,bcc,(110),0.8735781731568342,1060.7266161814632,inert,297.7947255383592,5,24.03888739675654,26.069220124249807
Ni,fcc,(211),4.702063229529148,562.3203216876034,vacuum,162.83142176350327,9,22.04734426498331,18.286002327893993
Ni,bcc,(111),2.5209574707050786,420.17607598092604,air,637.2562566356343,8,33.448964297733305,27.825910945758313
Mg,fcc,(210),1.2888047133648042,924.8020402644529,air,901.7336326254266,7,26.985545852818746,18.91861996337435
Zn,bcc,(111),1.050853735704345,947.8003141402229,air,273.73486716439976,4,20.859715505432163,16.559066438833888
Al,bcc,(211),2.5318399135160754,379.8670498726027,air,761.8308847592741,6,22.976743871717144,20.000499571142946
Ti,bcc,(111),2.2163725581826244,1198.1080674787952,air,521.4303179385793,9,16.46267878623591,23.190101273003812
Ti,hcp,(100),0.562463673446791,1106.728105872987,vacuum,193.00652330876073,5,16.959710674256463,15.311461345866915
Zn,bcc,(100),0.33344990500067023,677.1495455301803,reducing,572.350162421239,8,35.23610109696587,17.791508429088623
Zn,hcp,(211),1.9144873791640562,906.7891443488829,reducing,672.4387048941396,9,37.77923961287553,22.615964460183573
Ti,fcc,(111),1.7416148298461387,1182.5671126318923,inert,903.2603390006765,7,36.92577151273732,20.57649076239909
Mg,fcc,(111),0.753693779262808,400.9787080235077,air,730.8468451159774,9,24.818978363867316,29.860638593428618
Ti,bcc,(310),6.926843983582841,1039.1287474008882,vacuum,666.2801417046948,3,18.122082831016154,17.557462826818412
Mg,bcc,(111),0.6511338485852874,487.1571064480296,reducing,282.6332971317894,3,15.08233072159712,15.701498523792505
Cu,fcc,(310),5.749752704658132,854.8130416496665,vacuum,126.5975118474567,6,25.25512513208831,27.533829133393873
Fe,fcc,(210),4.798796417899257,452.94824196748533,vacuum,283.35021573746394,6,15.896103808114018,24.91125832369947
Zn,bcc,(110),0.6533624104864264,603.0449375520856,reducing,263.63994518340814,9,35.73076573688879,24.00006702763922
Ti,bcc,(210),4.214568326142124,409.27991009813627,air,774.7016518947611,6,15.607317584994508,27.367125693667532
Zn,bcc,(211),2.5583790967462354,596.2690259830631,reducing,730.354221671768,3,19.312623674622323,18.62519723560759
Ni,hcp,(111),2.1114329242593572,958.4179298655002,vacuum,453.6030662480612,5,25.558133111990088,22.298912632305434
Al,fcc,(100),0.28513725848041743,636.3274527626007,reducing,207.07809348944673,4,37.466409593861144,25.637054873391385
Al,hcp,(100),0.28999705525391284,1185.1158318459625,inert,475.8447225721571,6,22.775503680397094,20.52871335098132
Mg,fcc,(211),1.4222236769839622,594.0513148301385,reducing,330.23782287364116,4,24.13348159026751,28.197299650581783
Cu,hcp,(310),5.5850400353355765,1189.6527629353855,reducing,630.1341024537854,5,23.11561809946111,24.340317205448223
Al,fcc,(310),4.631727783060641,683.9121042403824,reducing,797.7999039302913,3,27.773264414853692,22.458814739227073
Cu,hcp,(111),1.8301792258855971,971.1066378214005,vacuum,408.2879490934158,6,16.793699105642844,22.29313032779764
Fe,bcc,(100),0.7777509532383521,1053.4889192603414,inert,276.42628153315695,7,37.42905487069037,19.387615425435953
Cu,hcp,(111),2.1253552722565727,1072.4220286108425,air,548.5667884418845,9,26.818715359721676,28.41373382252507
