Mix_ID,Mix_Name,Rubber_Content_Percent,Specimen_Type,Diameter_mm,Length_mm,Age_Days,Test_Standard,Specimen_ID,Static_Modulus_GPa,Average_Modulus_GPa,Std_Dev_GPa,COV_Percent,Secant_Modulus_0_40_Percent_GPa,Poisson_Ratio,Strain_at_40_Percent_Peak_microstrain,Ultimate_Strain_microstrain
RC-00,Control Mix,0,Cylinder,150,300,28,ASTM C469,RC00-28D-E1,32.5,32.2,0.85,2.6,31.8,0.19,1350,2850
RC-00,Control Mix,0,Cylinder,150,300,28,ASTM C469,RC00-28D-E2,31.2,32.2,0.85,2.6,30.5,0.18,1380,2920
RC-00,Control Mix,0,Cylinder,150,300,28,ASTM C469,RC00-28D-E3,33.1,32.2,0.85,2.6,32.6,0.20,1320,2780
RC-00,Control Mix,0,Cylinder,150,300,28,ASTM C469,RC00-28D-E4,32.5,32.2,0.85,2.6,31.9,0.19,1345,2865
RC-00,Control Mix,0,Cylinder,150,300,28,ASTM C469,RC00-28D-E5,31.8,32.2,0.85,2.6,31.2,0.18,1370,2890
RC-05,5% Rubber,5,Cylinder,150,300,28,ASTM C469,RC05-28D-E1,28.5,28.2,1.12,4.0,27.8,0.22,1520,3580
RC-05,5% Rubber,5,Cylinder,150,300,28,ASTM C469,RC05-28D-E2,27.2,28.2,1.12,4.0,26.5,0.21,1580,3720
RC-05,5% Rubber,5,Cylinder,150,300,28,ASTM C469,RC05-28D-E3,29.1,28.2,1.12,4.0,28.6,0.23,1485,3520
RC-05,5% Rubber,5,Cylinder,150,300,28,ASTM C469,RC05-28D-E4,28.8,28.2,1.12,4.0,28.1,0.22,1505,3610
RC-05,5% Rubber,5,Cylinder,150,300,28,ASTM C469,RC05-28D-E5,27.5,28.2,1.12,4.0,26.9,0.21,1565,3680
RC-10,10% Rubber,10,Cylinder,150,300,28,ASTM C469,RC10-28D-E1,23.2,22.8,1.35,5.9,22.5,0.26,1820,4850
RC-10,10% Rubber,10,Cylinder,150,300,28,ASTM C469,RC10-28D-E2,21.5,22.8,1.35,5.9,20.8,0.25,1950,5120
RC-10,10% Rubber,10,Cylinder,150,300,28,ASTM C469,RC10-28D-E3,23.8,22.8,1.35,5.9,23.2,0.27,1785,4720
RC-10,10% Rubber,10,Cylinder,150,300,28,ASTM C469,RC10-28D-E4,22.9,22.8,1.35,5.9,22.2,0.26,1845,4920
RC-10,10% Rubber,10,Cylinder,150,300,28,ASTM C469,RC10-28D-E5,22.6,22.8,1.35,5.9,21.9,0.25,1880,5010
RC-15,15% Rubber,15,Cylinder,150,300,28,ASTM C469,RC15-28D-E1,17.8,17.2,1.58,9.2,17.1,0.31,2280,6850
RC-15,15% Rubber,15,Cylinder,150,300,28,ASTM C469,RC15-28D-E2,15.5,17.2,1.58,9.2,14.9,0.29,2520,7320
RC-15,15% Rubber,15,Cylinder,150,300,28,ASTM C469,RC15-28D-E3,18.2,17.2,1.58,9.2,17.8,0.32,2220,6720
RC-15,15% Rubber,15,Cylinder,150,300,28,ASTM C469,RC15-28D-E4,17.5,17.2,1.58,9.2,16.8,0.30,2310,6950
RC-15,15% Rubber,15,Cylinder,150,300,28,ASTM C469,RC15-28D-E5,16.8,17.2,1.58,9.2,16.2,0.30,2410,7180
