Component,Content_Percent,Method,Description
Natural_Rubber_SBR_Blend,48.5,TGA/FTIR,Styrene-butadiene rubber (SBR) and natural rubber blend
Carbon_Black,28.2,TGA (residue analysis),Reinforcing filler and pigment
Zinc_Oxide,3.8,XRF/TGA,Vulcanization activator
Sulfur_Compounds,1.5,XRF,Cross-linking agent (vulcanization)
Stearic_Acid,1.2,FTIR,Processing aid and activator
Processing_Oils_Plasticizers,8.5,Solvent extraction,Extender oils for rubber processing
Aromatic_Hydrocarbons,2.8,GC-MS,From processing oils
Antioxidants_Stabilizers,1.5,HPLC,Age resistors (e.g., IPPD, TMQ)
Accelerators,0.8,HPLC,Vulcanization accelerators (e.g., CBS, TBBS)
Textile_Fiber_Residue,1.8,Manual separation,Nylon/polyester cord remnants
Steel_Fiber_Residue,0.9,Magnetic separation,Fine steel wire fragments
Ash_Content,0.5,TGA at 800°C,Inorganic residue
