Temperature_C,Weight_Loss_Percent,DTG_Peak_Percent_per_C,Heat_Flow_mW,Phase_Transition,Degradation_Product,Significance_for_Fire_Resistance
25,0.0,0.000,0.0,Baseline,None,Initial reference state
100,1.2,0.015,-2.5,Moisture evaporation,Water vapor,Minimal impact
150,1.5,0.008,-1.2,Plasticizer volatilization,Light oils,Start of thermal degradation
200,2.8,0.025,-3.8,Additive decomposition,Processing oils,Volatiles release begins
250,5.2,0.048,-8.5,Initial polymer chain scission,Light hydrocarbons,Early pyrolysis stage
300,12.5,0.145,-18.2,Main rubber decomposition begins,Styrene monomers butadiene,Primary decomposition zone
350,28.7,0.320,-35.6,Peak rubber degradation,Aromatic hydrocarbons volatile oils,Maximum mass loss rate
400,52.3,0.380,-42.8,Continued polymer breakdown,Benzene toluene limonene,Severe structural degradation
450,68.5,0.255,-28.4,Secondary degradation,Heavy aromatic compounds,Charring begins
500,76.2,0.120,-15.3,Char oxidation begins,CO CO2,Carbon residue oxidation
550,81.5,0.085,-12.8,Continued oxidation,CO2,Char burnout phase
600,84.8,0.052,-8.5,Final oxidation,CO2,Near-complete combustion
700,86.2,0.018,-3.2,Residual decomposition,CO2,Approaching ash content
800,86.8,0.005,-0.8,Stable ash,Minimal,Final residue (ZnO carbon black ash)
