building_id,peer_group,peer_group_size,your_eui_kwh_m2,peer_median_eui,peer_25th_percentile_eui,peer_75th_percentile_eui,your_percentile,performance_class,potential_savings_pct,benchmark_date
BLD_00001,industrial_30k_m2,203,287.0,196.9,167.3,237.1,97.0,poor,41.7,2024-01-01
BLD_00002,mixed_use_13k_m2,104,241.4,208.2,184.2,226.7,84.6,poor,23.7,2024-01-01
BLD_00003,mixed_use_25k_m2,162,22.3,197.8,158.7,234.2,0.0,excellent,0.0,2024-01-01
BLD_00004,healthcare_34k_m2,380,246.1,197.3,167.5,230.1,82.6,poor,31.9,2024-01-01
BLD_00005,industrial_17k_m2,109,349.9,197.6,166.8,241.4,100.0,poor,52.3,2024-01-01
BLD_00006,mixed_use_5k_m2,322,57.2,201.4,167.5,234.0,0.0,excellent,0.0,2024-01-01
BLD_00007,office_9k_m2,87,17.9,202.4,170.5,240.3,0.0,excellent,0.0,2024-01-01
BLD_00008,industrial_11k_m2,99,81.9,202.6,173.5,230.2,1.0,excellent,0.0,2024-01-01
BLD_00009,office_26k_m2,173,59.7,200.1,163.4,233.6,0.0,excellent,0.0,2024-01-01
BLD_00010,office_10k_m2,132,203.3,203.4,167.7,238.9,50.0,average,17.5,2024-01-01
BLD_00011,retail_11k_m2,261,126.1,196.2,165.8,224.0,8.8,excellent,0.0,2024-01-01
BLD_00012,residential_3k_m2,283,183.1,192.3,163.7,238.9,43.5,good,10.6,2024-01-01
BLD_00013,office_13k_m2,354,265.2,198.4,164.8,231.1,92.1,poor,37.9,2024-01-01
BLD_00014,retail_19k_m2,370,267.6,201.7,166.9,231.7,90.8,poor,37.6,2024-01-01
BLD_00015,educational_11k_m2,457,173.0,200.4,164.0,236.2,30.9,good,5.2,2024-01-01
BLD_00016,healthcare_38k_m2,210,325.9,203.4,168.3,235.7,100.0,poor,48.4,2024-01-01
BLD_00017,retail_3k_m2,122,138.1,207.2,164.9,236.5,9.0,excellent,0.0,2024-01-01
BLD_00018,residential_1k_m2,421,236.0,192.6,162.7,231.4,76.7,poor,31.0,2024-01-01
BLD_00019,office_16k_m2,223,275.4,191.8,159.1,230.0,94.6,poor,42.2,2024-01-01
BLD_00020,industrial_31k_m2,136,175.8,201.2,168.9,241.7,27.9,good,3.9,2024-01-01
BLD_00021,industrial_11k_m2,181,88.2,196.3,160.4,231.2,2.2,excellent,0.0,2024-01-01
BLD_00022,mixed_use_27k_m2,424,204.1,200.0,167.7,235.9,53.1,average,17.9,2024-01-01
BLD_00023,mixed_use_28k_m2,134,223.7,200.3,176.7,239.5,65.7,average,21.0,2024-01-01
BLD_00024,educational_26k_m2,261,430.8,204.8,167.6,238.8,100.0,poor,61.1,2024-01-01
BLD_00025,mixed_use_6k_m2,160,67.4,200.4,164.7,231.0,0.6,excellent,0.0,2024-01-01
BLD_00026,industrial_13k_m2,335,80.8,196.5,159.4,228.3,0.3,excellent,0.0,2024-01-01
BLD_00027,retail_6k_m2,66,97.1,207.7,166.0,248.8,1.5,excellent,0.0,2024-01-01
BLD_00028,industrial_13k_m2,262,440.0,200.9,164.7,233.5,100.0,poor,62.6,2024-01-01
BLD_00029,retail_7k_m2,343,327.6,194.4,163.2,231.3,99.4,poor,50.2,2024-01-01
BLD_00030,office_14k_m2,442,386.6,203.5,167.4,237.6,100.0,poor,56.7,2024-01-01
BLD_00031,mixed_use_7k_m2,440,146.6,203.4,167.4,231.2,13.6,excellent,0.0,2024-01-01
BLD_00032,healthcare_9k_m2,263,270.2,200.7,175.3,228.3,93.9,poor,35.1,2024-01-01
BLD_00033,educational_27k_m2,50,138.5,212.3,182.2,242.0,8.0,excellent,0.0,2024-01-01
BLD_00034,retail_9k_m2,331,2.5,196.9,168.4,226.5,0.0,excellent,0.0,2024-01-01
BLD_00035,retail_16k_m2,340,271.7,198.9,167.5,231.9,93.8,poor,38.4,2024-01-01
BLD_00036,residential_0k_m2,174,140.0,190.7,161.1,229.5,13.8,excellent,0.0,2024-01-01
BLD_00037,retail_10k_m2,142,99.3,199.4,165.8,230.4,0.7,excellent,0.0,2024-01-01
BLD_00038,healthcare_35k_m2,254,259.0,200.4,166.1,233.5,89.0,poor,35.9,2024-01-01
BLD_00039,retail_2k_m2,484,26.8,199.5,165.6,234.2,0.0,excellent,0.0,2024-01-01
BLD_00040,industrial_29k_m2,339,343.1,199.7,169.6,231.9,100.0,poor,50.6,2024-01-01
BLD_00041,healthcare_41k_m2,178,188.5,194.0,161.3,225.3,44.9,good,14.4,2024-01-01
BLD_00042,mixed_use_26k_m2,271,48.9,196.5,169.5,233.7,0.0,excellent,0.0,2024-01-01
BLD_00043,residential_2k_m2,214,270.0,199.2,161.8,233.6,93.0,poor,40.1,2024-01-01
BLD_00044,mixed_use_22k_m2,202,335.1,204.8,170.8,235.1,100.0,poor,49.0,2024-01-01
BLD_00045,retail_11k_m2,333,370.6,196.5,163.4,232.9,100.0,poor,55.9,2024-01-01
BLD_00046,residential_2k_m2,93,417.4,201.0,167.5,245.4,100.0,poor,59.9,2024-01-01
BLD_00047,healthcare_19k_m2,126,107.7,202.4,163.0,243.5,4.0,excellent,0.0,2024-01-01
BLD_00048,healthcare_23k_m2,299,64.3,194.1,161.1,225.8,0.3,excellent,0.0,2024-01-01
BLD_00049,educational_29k_m2,121,268.7,195.7,162.0,229.7,92.6,poor,39.7,2024-01-01
BLD_00050,industrial_17k_m2,178,57.0,195.0,159.3,229.2,0.0,excellent,0.0,2024-01-01
BLD_00051,industrial_3k_m2,393,98.4,197.4,165.5,230.4,2.5,excellent,0.0,2024-01-01
BLD_00052,educational_8k_m2,61,317.7,203.8,176.0,240.4,98.4,poor,44.6,2024-01-01
BLD_00053,residential_3k_m2,349,357.9,202.8,168.0,239.2,100.0,poor,53.1,2024-01-01
BLD_00054,educational_26k_m2,427,272.1,199.1,169.3,235.9,94.1,poor,37.8,2024-01-01
BLD_00055,office_2k_m2,327,81.3,199.3,161.5,238.9,0.6,excellent,0.0,2024-01-01
BLD_00056,healthcare_17k_m2,279,137.3,204.8,167.0,229.9,10.8,excellent,0.0,2024-01-01
BLD_00057,retail_13k_m2,115,143.1,197.3,162.7,236.1,14.8,excellent,0.0,2024-01-01
BLD_00058,office_13k_m2,277,270.2,201.9,157.2,234.6,91.3,poor,41.8,2024-01-01
BLD_00059,office_42k_m2,305,85.8,197.7,165.7,230.2,1.3,excellent,0.0,2024-01-01
BLD_00060,retail_17k_m2,362,192.2,192.0,159.2,227.6,50.0,average,17.1,2024-01-01
BLD_00061,office_22k_m2,405,285.5,201.6,168.6,236.8,97.8,poor,41.0,2024-01-01
BLD_00062,office_13k_m2,242,429.9,193.9,165.5,237.3,100.0,poor,61.5,2024-01-01
BLD_00063,retail_3k_m2,396,353.8,201.2,167.2,233.2,100.0,poor,52.7,2024-01-01
BLD_00064,industrial_16k_m2,267,436.8,201.5,166.2,231.5,100.0,poor,62.0,2024-01-01
BLD_00065,office_16k_m2,404,225.0,197.9,166.2,230.4,71.3,average,26.1,2024-01-01
BLD_00066,healthcare_49k_m2,399,141.5,198.7,165.1,230.0,12.5,excellent,0.0,2024-01-01
BLD_00067,educational_19k_m2,403,341.9,199.2,165.8,230.6,99.3,poor,51.5,2024-01-01
BLD_00068,retail_10k_m2,233,314.1,202.4,165.6,233.8,98.7,poor,47.3,2024-01-01
BLD_00069,mixed_use_14k_m2,332,424.6,200.1,163.8,229.0,100.0,poor,61.4,2024-01-01
BLD_00070,residential_3k_m2,463,438.4,199.0,163.4,233.7,100.0,poor,62.7,2024-01-01
BLD_00071,educational_17k_m2,50,260.8,209.2,164.5,233.0,86.0,poor,36.9,2024-01-01
BLD_00072,educational_6k_m2,307,216.3,198.3,165.0,229.0,63.8,average,23.7,2024-01-01
BLD_00073,office_42k_m2,97,352.3,192.7,156.2,222.4,100.0,poor,55.7,2024-01-01
BLD_00074,industrial_28k_m2,482,287.2,201.7,165.2,236.3,96.1,poor,42.5,2024-01-01
BLD_00075,office_2k_m2,366,86.7,198.3,166.0,227.9,1.6,excellent,0.0,2024-01-01
BLD_00076,mixed_use_27k_m2,288,136.7,196.4,163.5,228.5,11.1,excellent,0.0,2024-01-01
BLD_00077,healthcare_30k_m2,314,206.1,203.0,171.1,237.7,52.2,average,17.0,2024-01-01
BLD_00078,industrial_26k_m2,376,53.0,203.3,161.7,239.2,0.3,excellent,0.0,2024-01-01
BLD_00079,healthcare_49k_m2,58,71.2,211.5,169.3,241.8,0.0,excellent,0.0,2024-01-01
BLD_00080,healthcare_23k_m2,113,240.0,195.9,167.7,236.6,75.2,poor,30.1,2024-01-01
BLD_00081,healthcare_10k_m2,487,404.1,203.6,166.4,236.5,100.0,poor,58.8,2024-01-01
BLD_00082,residential_0k_m2,431,4.4,202.2,164.9,237.8,0.0,excellent,0.0,2024-01-01
BLD_00083,office_26k_m2,345,74.7,199.2,164.8,234.5,1.2,excellent,0.0,2024-01-01
BLD_00084,educational_18k_m2,342,329.1,199.0,168.0,233.6,99.1,poor,48.9,2024-01-01
BLD_00085,healthcare_26k_m2,423,337.0,200.6,163.4,235.7,99.5,poor,51.5,2024-01-01
BLD_00086,healthcare_38k_m2,144,377.1,204.5,173.1,224.5,100.0,poor,54.1,2024-01-01
BLD_00087,healthcare_32k_m2,397,88.9,198.8,167.8,227.1,0.8,excellent,0.0,2024-01-01
BLD_00088,retail_13k_m2,361,441.4,201.6,173.3,236.4,100.0,poor,60.7,2024-01-01
BLD_00089,mixed_use_17k_m2,397,59.0,200.9,168.9,235.4,0.3,excellent,0.0,2024-01-01
BLD_00090,educational_14k_m2,482,403.6,199.8,165.7,233.3,100.0,poor,59.0,2024-01-01
BLD_00091,office_18k_m2,339,332.5,188.2,152.5,231.9,100.0,poor,54.1,2024-01-01
BLD_00092,healthcare_11k_m2,325,341.8,204.4,172.6,236.2,99.4,poor,49.5,2024-01-01
BLD_00093,healthcare_13k_m2,77,303.5,194.1,159.8,224.1,98.7,poor,47.3,2024-01-01
BLD_00094,healthcare_26k_m2,397,73.0,205.1,168.9,234.2,0.5,excellent,0.0,2024-01-01
BLD_00095,mixed_use_3k_m2,256,186.8,201.3,164.6,227.2,40.6,good,11.9,2024-01-01
BLD_00096,office_10k_m2,124,401.2,192.1,161.8,230.0,100.0,poor,59.7,2024-01-01
