building_id,building_type,construction_year,floor_area_m2,total_gwp_kg_co2e,total_energy_mj,total_water_l,gwp_per_m2_kg_co2e,energy_per_m2_mj,water_per_m2_l,raw_material_extraction_gwp,raw_material_extraction_energy,raw_material_extraction_water,material_processing_gwp,material_processing_energy,material_processing_water,transportation_gwp,transportation_energy,transportation_water,construction_gwp,construction_energy,construction_water,use_phase_gwp,use_phase_energy,use_phase_water,maintenance_gwp,maintenance_energy,maintenance_water,end_of_life_gwp,end_of_life_energy,end_of_life_water,renewable_energy_percent,recycled_materials_percent,waste_generation_kg,hazardous_waste_kg
B001,residential,1985,120,57673.63,429583.66,97894.17,480.61,3579.86,815.78,8651.04,64437.55,14684.13,14418.41,107395.91,24473.54,2883.68,21479.18,4894.71,5767.36,42958.37,9789.42,20185.77,150354.28,34262.96,2883.68,21479.18,4894.71,2883.68,21479.18,4894.71,36.7,12.5,342.32,57.15
B002,office,1995,2500,1032007.84,14905657.58,1551567.88,412.8,5962.26,620.63,154801.18,2235848.64,232735.18,258001.96,3726414.4,387891.97,51600.39,745282.88,77578.39,103200.78,1490565.76,155156.79,361202.74,5216980.15,543048.76,51600.39,745282.88,77578.39,51600.39,745282.88,77578.39,22.5,20.7,635.88,29.8
B003,retail,2005,800,396345.47,3922411.15,509776.02,495.43,4903.01,637.22,59451.82,588361.67,76466.4,99086.37,980602.79,127444.0,19817.27,196120.56,25488.8,39634.55,392241.11,50977.6,138720.92,1372843.9,178421.61,19817.27,196120.56,25488.8,19817.27,196120.56,25488.8,37.7,7.4,155.37,17.7
B004,educational,1970,3000,1520294.04,15393084.7,3180209.59,506.76,5131.03,1060.07,228044.11,2308962.7,477031.44,380073.51,3848271.17,795052.4,76014.7,769654.23,159010.48,152029.4,1539308.47,318020.96,532102.91,5387579.64,1113073.36,76014.7,769654.23,159010.48,76014.7,769654.23,159010.48,32.3,22.9,912.18,29.8
B005,residential,2010,150,48670.83,448392.83,68092.73,324.47,2989.29,453.95,7300.62,67258.92,10213.91,12167.71,112098.21,17023.18,2433.54,22419.64,3404.64,4867.08,44839.28,6809.27,17034.79,156937.49,23832.46,2433.54,22419.64,3404.64,2433.54,22419.64,3404.64,32.3,8.1,746.32,48.66
B006,office,1980,1800,926364.91,9489410.77,1666628.42,514.65,5271.89,925.9,138954.74,1423411.62,249994.26,231591.23,2372352.69,416657.11,46318.25,474470.54,83331.42,92636.49,948941.08,166662.84,324227.72,3321293.77,583319.95,46318.25,474470.54,83331.42,46318.25,474470.54,83331.42,13.1,13.9,357.36,25.98
B007,retail,1990,1200,654779.52,5881695.51,995497.5,545.65,4901.41,829.58,98216.93,882254.33,149324.62,163694.88,1470423.88,248874.37,32738.98,294084.78,49774.87,65477.95,588169.55,99549.75,229172.83,2058593.43,348424.12,32738.98,294084.78,49774.87,32738.98,294084.78,49774.87,27.8,19.8,872.17,57.03
B008,educational,2000,4000,1691551.86,22005839.09,2661670.27,422.89,5501.46,665.42,253732.78,3300875.86,399250.54,422887.97,5501459.77,665417.57,84577.59,1100291.95,133083.51,169155.19,2200583.91,266167.03,592043.15,7702043.68,931584.59,84577.59,1100291.95,133083.51,84577.59,1100291.95,133083.51,11.4,7.7,630.54,69.35
B009,residential,1965,100,49226.1,437906.57,81352.52,492.26,4379.07,813.53,7383.91,65685.99,12202.88,12306.52,109476.64,20338.13,2461.3,21895.33,4067.63,4922.61,43790.66,8135.25,17229.13,153267.3,28473.38,2461.3,21895.33,4067.63,2461.3,21895.33,4067.63,37.9,8.4,400.73,50.88
B010,office,2015,3200,1378452.23,12026568.7,1821013.88,430.77,3758.3,569.07,206767.83,1803985.31,273152.08,344613.06,3006642.18,455253.47,68922.61,601328.44,91050.69,137845.22,1202656.87,182101.39,482458.28,4209299.05,637354.86,68922.61,601328.44,91050.69,68922.61,601328.44,91050.69,24.3,20.3,949.49,72.74
