Property,Value,Standard,Notes
Type,OPC 52.5N,EN 197-1,Chosen for high early strength in HPCRC
Specific_Gravity,3.15,ASTM C188,
Chemical_Composition_CaO,64.5,%,XRF analysis
Chemical_Composition_SiO2,21.2,%,XRF analysis
Chemical_Composition_Al2O3,4.8,%,XRF analysis
Chemical_Composition_Fe2O3,3.1,%,XRF analysis
Chemical_Composition_MgO,1.2,%,XRF analysis
Chemical_Composition_SO3,2.9,%,XRF analysis
Chemical_Composition_Na2Oeq,0.58,%,XRF analysis
Bogue_C3S,58.5,%,High for strength
Bogue_C2S,16.2,%,Bogue calculation
Bogue_C3A,7.1,%,Bogue calculation
Bogue_C4AF,9.4,%,Bogue calculation
