sample_id,generation_timestamp,plate_length_mm,plate_width_mm,anode_thickness_um,electrolyte_thickness_um,cathode_thickness_um,green_density_fraction,green_shrinkage_factor,anode_youngs_modulus_25C_GPa,anode_youngs_modulus_1000C_GPa,anode_CTE_25C_ppm_K,anode_CTE_1000C_ppm_K,anode_poisson_ratio,anode_sintering_onset_C,anode_max_shrinkage_rate_per_min,anode_total_shrinkage_fraction,anode_creep_activation_energy_kJ_mol,anode_creep_stress_exponent,electrolyte_youngs_modulus_25C_GPa,electrolyte_youngs_modulus_1000C_GPa,electrolyte_CTE_25C_ppm_K,electrolyte_CTE_1000C_ppm_K,electrolyte_poisson_ratio,electrolyte_sintering_onset_C,electrolyte_max_shrinkage_rate_per_min,electrolyte_total_shrinkage_fraction,electrolyte_creep_activation_energy_kJ_mol,electrolyte_creep_stress_exponent,cathode_youngs_modulus_25C_GPa,cathode_youngs_modulus_1000C_GPa,cathode_CTE_25C_ppm_K,cathode_CTE_1000C_ppm_K,cathode_poisson_ratio,cathode_sintering_onset_C,cathode_max_shrinkage_rate_per_min,cathode_total_shrinkage_fraction,cathode_creep_activation_energy_kJ_mol,cathode_creep_stress_exponent,heating_ramp_rate_C_per_min,sintering_peak_temp_C,sintering_hold_time_min,cooling_ramp_rate_C_per_min,intermediate_hold_temp_C,intermediate_hold_time_min,oxygen_partial_pressure_atm,humidity_percent,atmosphere_type,total_green_thickness_um,total_sintered_thickness_um,CTE_mismatch_anode_electrolyte_25C,CTE_mismatch_cathode_electrolyte_25C,CTE_mismatch_anode_cathode_25C,avg_CTE_mismatch_magnitude,stiffness_ratio_electrolyte_anode,stiffness_ratio_electrolyte_cathode,thickness_ratio_anode_electrolyte,thickness_ratio_cathode_electrolyte,total_process_time_min,cooling_heating_rate_ratio,temperature_profile_json,flag_extreme_CTE_mismatch,flag_thin_electrolyte,flag_fast_cooling,flag_asymmetric_structure
SAMPLE_000000,2025-10-15T22:47:07.175280,61.22604395144404,68.56112156024795,433.9898145606203,17.286184386923285,75.92465812168987,0.5120487552967266,1.3484777205960194,68.88557427788922,46.06156591019733,12.856488421863133,14.328876059273021,0.2910732350111514,1111.0342023198791,0.006595951454805626,0.21555658580117265,317.6591419173228,1.4489083042596833,198.77447309755834,158.06894753120298,10.527366712017558,11.644838245198292,0.3208227370159351,1261.5439529634077,0.0006398095495405011,0.190577293202341,586.2080419382221,1.3679991849440944,99.97809811710638,54.338284203172975,11.489508531402727,15.133933324543227,0.30452274318729605,1101.3483492837238,0.0011140678205775593,0.16783653302646903,322.97263436909884,3.4974015698932908,6.537186556639665,1439.5461813018983,91.99244641276198,7.899399365678937,1088.5019654118264,14.759681877597302,0.05677715371951153,0.7083870099302398,Air,710.9183403414436,527.2006570692334,2.329121709845575,0.9621418193851685,1.3669798904604065,1.6456317646153718,2.8855747401580514,1.9881801798702927,25.1061659905078,4.392216143380122,509.1958458161829,1.2083790629557152,"{""time_points_min"": [0.0, 162.68496488472593, 177.44464676232323, 231.14423340384636, 323.1366798166083, 502.2067731008869], ""temperature_C"": [25.0, 1088.5019654118264, 1088.5019654118264, 1439.5461813018983, 1439.5461813018983, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,1,1
SAMPLE_000001,2025-10-15T22:47:07.175280,99.1952356425032,53.61252162096982,682.9817032724883,23.592877023211262,32.688198013112554,0.5856001835950497,1.233985275460498,60.085230248999146,39.6005447430224,10.71884503864121,14.256578129069341,0.2955410842244617,1199.6468882060706,0.0071074182701685125,0.18688546992646402,360.4973955573143,2.1305780758771373,210.97390555740753,122.4940004570336,10.767305633599989,11.76892841198684,0.3297203964196273,1250.544074852906,0.001983613197444443,0.1364506260886141,536.6781229907707,2.2538720703441304,99.07329846336592,66.70642420565386,13.128250917749329,15.88515156377923,0.3462944843695633,1032.6761669705463,0.006141007749336111,0.1266593221490723,357.2028237516071,2.371872262771199,7.496738165380057,1321.6660541601846,179.9454910244787,4.3536966497457055,1067.8329219482107,100.24574732369834,0.19085294198181976,4.474947761244832,Vacuum,912.2393831290927,739.2627783088121,-0.048460594958779524,2.3609452841493397,-2.409405879108119,1.2047029395540596,3.5112440225844317,2.1294729137883586,28.9486399899662,1.3855113126285146,760.0633520976638,0.5807454593854005,"{""time_points_min"": [0.0, 139.10488787830607, 239.3506352020044, 273.20977855373246, 453.1552695782112, 750.9863217797745], ""temperature_C"": [25.0, 1067.8329219482107, 1067.8329219482107, 1321.6660541601846, 1321.6660541601846, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,0,1
SAMPLE_000002,2025-10-15T22:47:07.175280,50.84768789728683,144.30367962492227,464.8769060709818,41.72854044825658,27.758790328681698,0.6087394348137622,1.2092763747788933,59.16494003227356,44.86459822936385,13.441143070063514,12.692742579278772,0.28030029286618924,1236.1011950578106,0.008832774126038705,0.2092212490960342,379.92466471626153,1.4110127699571242,183.89110337526193,156.7614436151386,10.281947952069123,12.270884474203328,0.3198988183176024,1238.541065063774,0.004253935119397615,0.14545858177364862,525.2150785738614,1.8736222070524717,65.14026852202453,55.42716278408996,12.661180734778927,14.929556571088055,0.3348451073789116,1135.8311113577201,0.0016008934818480575,0.11435006299136573,383.8072110169066,2.0534027757533444,6.656992823002056,1339.7931940645549,190.5896530267735,2.528058492202418,830.2246396448696,115.70272663235953,0.10686504210852217,4.42045422542593,Nitrogen,646.1940471469427,534.3642368479201,3.1591951179943916,2.3792327827098045,0.779962335284587,2.769213950352098,3.1081093511622284,2.823001924118361,11.1405024253707,0.6652231309911886,1037.5226266261996,0.37975983442060524,"{""time_points_min"": [0.0, 120.95921703003178, 236.6619436623913, 313.20830145009415, 503.79795447686763, 1023.8781654846125], ""temperature_C"": [25.0, 830.2246396448696, 830.2246396448696, 1339.7931940645549, 1339.7931940645549, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,0,0
SAMPLE_000003,2025-10-15T22:47:07.175280,78.9771961289703,96.04144078675856,954.6238759413997,9.59776914773737,45.533816000062046,0.5810266833383237,1.299018586011291,44.424869418010005,40.52848158428718,12.375795317968292,13.401990730107244,0.30166843100265744,1168.2189913962927,0.0012304979685725458,0.23897838792011966,427.7605621137085,2.7820767845632046,211.94390036440055,152.57838554258439,10.377828485177291,11.046555198139204,0.2968593831080805,1299.510866047962,0.0014122852423570902,0.1961850820064659,490.33838858106617,1.8262598223229358,51.88489300455256,35.185034977529526,13.263354425918255,15.847017720064814,0.29621914717980735,1058.3834970558714,0.0025878002775024103,0.1252565207259163,304.85089859423186,2.7296988574153658,9.256963141848916,1364.1279128599022,278.0049412378031,4.916856256642537,954.6947088199909,102.00914932313299,0.024216394513527226,2.7625695990271524,Argon,1311.6911112812707,1009.7554610891991,1.9979668327910005,2.8855259407409637,-0.8875591079499632,2.441746386765982,4.770839017446334,4.084886526523315,99.46310035665401,4.74420829456983,804.8154949195773,0.5311521911991195,"{""time_points_min"": [0.0, 100.4319337318114, 202.4410830549444, 246.67083721578186, 524.6757784535849, 797.0302755066109], ""temperature_C"": [25.0, 954.6947088199909, 954.6947088199909, 1364.1279128599022, 1364.1279128599022, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,1,0,1
SAMPLE_000004,2025-10-15T22:47:07.175280,85.10920750912148,140.10655336030214,947.3679914772948,5.307831926676143,33.78239005431121,0.5666766774736645,1.1532526845422526,74.76221333277539,42.27596311659529,10.912126184522315,14.431895605483987,0.3367590294249943,1186.8158631013828,0.004615199859508759,0.1778467156833755,440.7310975377634,1.568012344169583,186.85017518366502,129.92142613371416,9.773793526541999,11.304451903235176,0.3260140867869695,1206.7488882206965,0.0012585246123851938,0.13358885096983344,584.6555159550018,1.1930226667332022,57.66117066319357,42.35126699814859,11.914810102051382,14.260700814752498,0.3376932183735454,1037.60044869668,0.005633711283167242,0.10394151144446104,370.3132191953014,2.1573788449688536,2.158862157671469,1488.144874897987,200.64581233482014,5.108933591575335,948.5342478639454,85.60456294468369,0.16620274739277185,0.6356776886558974,Air,1137.6355828595183,986.4582134582822,1.1383326579803157,2.141016575509383,-1.0026839175290672,1.6396746167448493,2.4992595437480287,3.240485287318936,178.48492653205642,6.364630704398798,1266.8523315849518,2.3664936519549675,"{""time_points_min"": [0.0, 427.78750119927156, 513.3920641439553, 763.3434679964648, 963.9892803312849, 1250.378768210071], ""temperature_C"": [25.0, 948.5342478639454, 948.5342478639454, 1488.144874897987, 1488.144874897987, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,1,0,1
SAMPLE_000005,2025-10-15T22:47:07.175280,122.07519157068798,113.97514050861373,660.1136137037122,45.21471119974351,88.7152820769994,0.5837193208058722,1.1891617713613674,42.81350723514273,36.02118723402969,11.312009303351994,12.78586917253161,0.3145326183984447,1101.8228548261218,0.006758394689442072,0.17489085600323426,303.2558570776759,1.1840636582334967,185.90694370321341,134.98769216376039,10.027879683586,11.90264522092448,0.30519844642133065,1257.8811426460895,0.003003161718046677,0.1708592943309012,570.5221034616301,1.526987640523715,52.77305155896185,63.500864174819455,13.212900129110073,13.03388950019148,0.31722840186560325,1113.7894438402918,0.0034453408800131377,0.17608667960349225,291.82459210696874,1.7035067161908732,7.992069879346833,1473.7122561340577,165.78967086603012,1.2684127794085305,1099.1458397529861,104.21566392576953,0.1554186257669394,2.4489425991831784,Air,944.2463022150474,794.0436069804551,1.2841296197659933,3.1850204455240725,-1.9008908257580792,2.234575032645033,4.34224981107399,3.5227628157053754,14.599531793702063,1.9620888804328502,1616.2575678748879,0.15870892003664436,"{""time_points_min"": [0.0, 134.40145744080664, 238.61712136657616, 285.48438129244704, 451.27405215847716, 1593.419794973842], ""temperature_C"": [25.0, 1099.1458397529861, 1099.1458397529861, 1473.7122561340577, 1473.7122561340577, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,0,0
SAMPLE_000006,2025-10-15T22:47:07.175280,66.94460459083574,76.82535852906415,320.6263264716098,47.033985282750066,77.85542837856039,0.45121273908633597,1.2613640178060959,51.398189505191105,28.43749851732962,11.074466051195333,14.578695748139616,0.33881850159040344,1101.1448826933433,0.003497555118175101,0.21042876734825722,366.8756063614452,2.419014917601448,218.65055434461618,151.39049882051293,11.217966561941925,11.22333082892423,0.30797401906676747,1324.6127371964728,0.0007205399086289056,0.1521251400387218,453.1460202841086,1.1053064397912011,65.5989870598632,69.28820898369148,13.440725501720134,15.062735127589766,0.3107058134541108,1096.9278639281047,0.007964004399086672,0.18057091342705295,296.24464076128777,2.992298210077993,3.28243930558866,1369.4670733649982,172.4645558137105,1.0365485908183378,885.7493318942154,12.920916071365351,0.06502190031685938,1.5816803775086876,Air,561.9575239699168,445.5157401329202,-0.1435005107465912,2.2227589397782097,-2.366259450524801,1.1831297252624005,4.2540516786594775,3.3331391862054787,6.8169074881519975,1.6553015422895545,1923.7754587265317,0.3157860646664561,"{""time_points_min"": [0.0, 262.2285598483753, 275.14947591974067, 422.5148028725371, 594.9793586862476, 1892.0406689559031], ""temperature_C"": [25.0, 885.7493318942154, 885.7493318942154, 1369.4670733649982, 1369.4670733649982, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,0,0
SAMPLE_000007,2025-10-15T22:47:07.175280,136.67250443558746,110.62053592027306,379.1997965818084,34.56640558644292,40.84091365862773,0.5621673039609236,1.2870381791433998,65.06865551799812,22.839369563051,10.86454318533679,14.230422379783196,0.3231956081720529,1159.2009165859015,0.006253037413365915,0.24771184438581756,321.39766025653455,1.4759519081374857,216.1220807484726,127.65571237266964,11.27735794325397,11.527712405189162,0.28195245212588504,1242.411426557593,0.0035111978051529415,0.1496512481418395,467.7938881049433,2.3656167963113637,75.09955791195745,68.16252719821345,11.846521276861113,13.347170980635592,0.3143377810560279,1155.4932332923217,0.002358694687324918,0.19468594096292272,346.460601159971,2.5565741739181442,4.639154444967481,1492.8551389719323,193.28163563284505,7.333415775714081,863.7082298299803,93.84090634018551,0.02714139977944735,3.1700203279238695,Reducing (H2/N2),585.0967145794591,454.60711582687907,-0.4128147579171788,0.5691633336071433,-0.9819780915243221,0.49098904576216107,3.3214468476099492,2.877807629731218,10.970183047627378,1.1815204087822686,812.4860712518202,1.5807656034537314,"{""time_points_min"": [0.0, 180.7890295051083, 274.6299358452938, 410.2466557896892, 603.5282914225343, 803.688105602578], ""temperature_C"": [25.0, 863.7082298299803, 863.7082298299803, 1492.8551389719323, 1492.8551389719323, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,1,0
SAMPLE_000008,2025-10-15T22:47:07.175280,108.06876376430989,132.8802664114989,971.1802750386993,26.560530944640156,67.47370937196757,0.5391627833984193,1.2564513571677163,56.93150743467656,46.899908672501525,12.993049003579154,12.00712403558788,0.3067294650590898,1222.453711973342,0.0061017004017816165,0.150842388351375,331.2783249411867,1.6012774507324852,219.4248383851205,137.84667207088904,11.225406285826452,10.528940138694942,0.3190319300065808,1294.829547759136,0.001738428369614396,0.19969891242121535,564.0200526826135,1.4392335964599454,82.02440266999808,39.55260856911318,11.034483989624276,13.982702414060308,0.28831465482516544,1050.8234840000616,0.004591973254442619,0.21518523677693369,317.85481844578993,3.2234920097760735,8.893417687719033,1419.082903836403,267.73844609503703,5.528865082599026,959.2446743134533,49.46244715748218,0.08436887022101813,3.5501482671081215,Argon,1338.390223492927,1065.214515355307,1.767642717752702,-0.19092229620217616,1.9585650139548783,0.9792825069774391,3.8541898550093623,2.6751165658336347,36.56479145928673,2.5403750215913354,733.4344520000059,0.6216805818345701,"{""time_points_min"": [0.0, 105.04900445680816, 154.51145161429034, 206.21690902892888, 473.9553551239659, 726.1016605608618], ""temperature_C"": [25.0, 959.2446743134533, 959.2446743134533, 1419.082903836403, 1419.082903836403, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,0,1
SAMPLE_000009,2025-10-15T22:47:07.175280,131.12079997569225,85.71609156213596,539.1417239423735,22.95211121065788,41.60071621562061,0.4886686305277869,1.1506997499688822,61.563823709206346,29.03088998033101,12.449130014903865,12.262775158258766,0.28485697812483335,1214.3348480889617,0.00620216161955084,0.22808936177286912,393.51559644100877,1.139276745790106,190.39782806634852,154.37933683319426,10.947881496447046,11.943970363782812,0.3008807235896863,1272.2258867356154,0.002927424562693104,0.15615922891708667,559.6083068547416,1.5884183740134343,53.15093960801068,31.664807912537846,12.798795461013588,13.787937626124833,0.322612553424486,1180.990938019614,0.00787783683101698,0.1484439857865083,289.77864268028566,3.156895740151178,8.043884101725835,1335.613917018262,128.95017899683728,1.1603066711903087,875.059385645304,35.26614767282752,0.15763609434166817,3.619184551503624,Nitrogen,694.6711693174843,603.694551368652,1.5012485184568192,1.8509139645665424,-0.3496654461097233,1.6760812415116808,3.0926900993947872,3.582210013040909,23.489853242433814,1.812500638124444,1481.344239649714,0.1442470647906727,"{""time_points_min"": [0.0, 105.67772669212398, 140.9438743649515, 198.1991164281912, 327.14929542502847, 1456.6902603785088], ""temperature_C"": [25.0, 875.059385645304, 875.059385645304, 1335.613917018262, 1335.613917018262, 25.0], ""segment_names"": [""Initial"", ""Heating_to_intermediate"", ""Intermediate_hold"", ""Heating_to_peak"", ""Peak_hold"", ""Cooling""]}",0,0,0,1
