Temperature_K,CTE_per_K,Uncertainty_CTE_per_K
300.0,1.1e-05,5.5e-07
350.0,1.1054999999999998e-05,5.527499999999999e-07
400.0,1.111e-05,5.555e-07
450.0,1.1164999999999999e-05,5.5825e-07
500.0,1.122e-05,5.61e-07
550.0,1.1274999999999998e-05,5.637499999999999e-07
600.0,1.133e-05,5.665e-07
650.0,1.1384999999999999e-05,5.6925e-07
700.0,1.144e-05,5.720000000000001e-07
750.0,1.1495e-05,5.7475e-07
800.0,1.155e-05,5.775e-07
850.0,1.1605e-05,5.802500000000001e-07
900.0,1.166e-05,5.830000000000001e-07
950.0,1.1714999999999999e-05,5.8575e-07
1000.0,1.177e-05,5.885000000000001e-07
1050.0,1.1825e-05,5.912500000000001e-07
1100.0,1.188e-05,5.94e-07
1150.0,1.1935e-05,5.9675e-07
1200.0,1.199e-05,5.995e-07
