tau_s,R_x1x2
-0.029999,1.933689539631208e-13
-0.029998,5.358907704552015e-12
-0.029997,1.5979063593679004e-11
-0.029996,3.256212506029341e-11
-0.029995,5.563924089074135e-11
-0.029994,8.576302478710812e-11
-0.029993,1.2350309433208572e-10
-0.029992,1.6944227947129144e-10
-0.029991,2.2417227427164714e-10
-0.02999,2.882872459789117e-10
-0.029989,3.6237795940703817e-10
-0.029988,4.470241980420219e-10
-0.029987,5.4278664290905e-10
-0.029986,6.50199486149682e-10
-0.029985,7.697595407565435e-10
-0.029984,9.019165279136765e-10
-0.029983,1.0470634864436256e-09
-0.029982,1.2055250712566907e-09
-0.029981,1.3775468659069804e-09
-0.02998,1.5632826255427467e-09
-0.029979,1.7627838419543372e-09
-0.029978,1.9759880668587157e-09
-0.029977,2.2027057699031302e-09
-0.029976,2.442610152065754e-09
-0.029975,2.695225737988949e-09
-0.029974,2.9599181811014816e-09
-0.029973,3.235883787274361e-09
-0.029972,3.5221400939755973e-09
-0.029971,3.817519959476259e-09
-0.02997,4.120661777754625e-09
-0.029969,4.430005649725597e-09
-0.029968,4.743787633876006e-09
-0.029967,5.060039092269208e-09
-0.029966,5.376582228475147e-09
-0.029965,5.691034704860714e-09
-0.029964,6.000808299415642e-09
-0.029963,6.303115996221701e-09
-0.029962,6.5949777327477934e-09
-0.029961,6.87322883763247e-09
-0.02996,7.134530554629035e-09
-0.029959,7.375384194569456e-09
-0.029958,7.59214519833525e-09
-0.029957,7.781041878172094e-09
-0.029956,7.93819359296726e-09
-0.029955,8.059633707420695e-09
-0.029954,8.141333550318249e-09
-0.029953,8.179227955794585e-09
-0.029952,8.169243249059137e-09
-0.029951,8.107327409088612e-09
-0.02995,7.989480763984223e-09
-0.029949,7.811789465033347e-09
-0.029948,7.570459317002033e-09
-0.029947,7.261851479609808e-09
-0.029946,6.882518261878027e-09
-0.029945,6.4292403662370315e-09
-0.029944,5.899064623647267e-09
-0.029943,5.289340426938402e-09
-0.029942,4.597758834974633e-09
-0.029941,3.8223877776828075e-09
-0.02994,2.9617109315262904e-09
-0.029939,2.0146614871919158e-09
-0.029938,9.806560683581564e-10
-0.029937,-1.40369836654928e-10
-0.029936,-1.3479329935378498e-09
-0.029935,-2.6409731018874384e-09
-0.029934,-4.017825933794181e-09
-0.029933,-5.476200025942591e-09
-0.029932,-7.013153822885619e-09
-0.029931,-8.62508110702038e-09
-0.02993,-1.030769479357534e-08
-0.029929,-1.2056016652948328e-08
-0.029928,-1.386437010433939e-08
-0.029927,-1.5726379843221772e-08
-0.029926,-1.7634971116979918e-08
-0.029925,-1.9582378309633997e-08
-0.029924,-2.1560153278211752e-08
-0.029923,-2.3559182940257924e-08
-0.029922,-2.5569709746374023e-08
-0.029921,-2.7581355108155147e-08
-0.02992,-2.9583150632679463e-08
-0.029919,-3.156357329338789e-08
-0.029918,-3.351058406962289e-08
-0.029917,-3.541167402846946e-08
-0.029916,-3.725391049351957e-08
-0.029915,-3.902399487172564e-08
-0.029914,-4.0708316850165524e-08
-0.029913,-4.2293019058803724e-08
-0.029912,-4.376406165046824e-08
-0.029911,-4.5107292967538044e-08
-0.02991,-4.630852291567458e-08
