tau_s,R_x1x2
-0.029999,-0.030983018643522056
-0.029998,-0.06033350146702787
-0.029997,-0.0880687422477038
-0.029996,-0.11420821074297471
-0.029995,-0.13877414111290345
-0.029994,-0.16179121813526384
-0.029993,-0.183286456640554
-0.029992,-0.20328808499680553
-0.029991,-0.22182478574060127
-0.02999,-0.23892620289432373
-0.029989,-0.25462294854828643
-0.029988,-0.2689460575327368
-0.029987,-0.2819267637888452
-0.029986,-0.2935960032978596
-0.029985,-0.30398436716359284
-0.029984,-0.3131233260635407
-0.029983,-0.3210459020235832
-0.029982,-0.3277866302664451
-0.029981,-0.3333810541937746
-0.02998,-0.33786430846928706
-0.029979,-0.3412707857541236
-0.029978,-0.343634872511635
-0.029977,-0.3449909852286628
-0.029976,-0.345373244085809
-0.029975,-0.34481516121509126
-0.029974,-0.3433488981626975
-0.029973,-0.341005777274064
-0.029972,-0.337818442819139
-0.029971,-0.33382154026016764
-0.02997,-0.32905162360706114
-0.029969,-0.323546883421104
-0.029968,-0.3173455521728229
-0.029967,-0.310485473775651
-0.029966,-0.3030048136732474
-0.029965,-0.2949423242014723
-0.029964,-0.28633755987544063
-0.029963,-0.27723041380401753
-0.029962,-0.26766006536887493
-0.029961,-0.25766515027111875
-0.02996,-0.2472851929454507
-0.029959,-0.2365613702166029
-0.029958,-0.22553690992900963
-0.029957,-0.2142559520492669
-0.029956,-0.20276063702967148
-0.029955,-0.1910906886632732
-0.029954,-0.1792841039036801
-0.029953,-0.16737720803647174
-0.029952,-0.1554053467377072
-0.029951,-0.14340229411675212
-0.02995,-0.13139887638659045
-0.029949,-0.11942351864783489
-0.029948,-0.10750376286801314
-0.029947,-0.09566674678218538
-0.029946,-0.0839395677581456
-0.029945,-0.07234881550481516
-0.029944,-0.0609188972924231
-0.029943,-0.04967198977312136
-0.029942,-0.03862859370146191
-0.029941,-0.027807923988386423
-0.02994,-0.017228838024455285
-0.029939,-0.006909445475474553
-0.029938,0.0031337742179798553
-0.029937,0.012885659013580438
-0.029936,0.02233163977815824
-0.029935,0.031457115109754415
-0.029934,0.040246847639898255
-0.029933,0.04868584581678174
-0.029932,0.05676117505921864
-0.029931,0.06446190286633646
-0.02993,0.07177859358699828
-0.029929,0.0787031303494477
-0.029928,0.08522831065947176
-0.029927,0.09134861850787004
-0.029926,0.09706121015575317
-0.029925,0.10236533140172034
-0.029924,0.10726094741068497
-0.029923,0.11174814225058231
-0.029922,0.11582682800186822
-0.029921,0.11949716154347563
-0.02992,0.12276080510412098
-0.029919,0.1256208854191738
-0.029918,0.12808144854750764
-0.029917,0.1301471074835456
-0.029916,0.1318224711699687
-0.029915,0.13311257291483825
-0.029914,0.13402363244297633
-0.029913,0.1345628145419271
-0.029912,0.13473736683453713
-0.029911,0.1345539369641957
-0.02991,0.13401804912382698
-0.029909,0.13313487342000677
-0.029908,0.13191113954628453
-0.029907,0.13035537577640233
-0.029906,0.1284775612584498
-0.029905,0.1262888781504761
-0.029904,0.12380084221038226
-0.029903,0.12102570204251605
-0.029902,0.11797730067626291
-0.029901,0.11467082249872539
-0.0299,0.11112225015609035
-0.029899,0.10734786450683007
-0.029898,0.10336360897223344
-0.029897,0.09918544874608944
-0.029896,0.09483050324774042
-0.029895,0.09031710562225839
-0.029894,0.08566467656390855
-0.029893,0.08089304368244794
-0.029892,0.0760209366370201
-0.029891,0.07106618227112049
-0.02989,0.06604629379101917
-0.029889,0.06097829615856734
-0.029888,0.055878727608967206
-0.029887,0.05076298901296497
-0.029886,0.04564451085446217
-0.029885,0.04053541678079289
-0.029884,0.03544770893205138
-0.029883,0.030393341276136368
-0.029882,0.025384248439042405
-0.029881,0.020431969548979242
-0.02988,0.015546861137033354
-0.029879,0.010738719261867383
-0.029878,0.0060174040064743676
-0.029877,0.001392820250567379
-0.029876,-0.003125095770220292
-0.029875,-0.007526993234197598
-0.029874,-0.01180463000663758
-0.029873,-0.0159504551683959
-0.029872,-0.019956917630614756
-0.029871,-0.023816182860849675
-0.02987,-0.027520002126199386
-0.029869,-0.03106039559501644
-0.029868,-0.0344305999518137
-0.029867,-0.037624644945823106
-0.029866,-0.04063690500430659
-0.029865,-0.04346207396313108
-0.029864,-0.04609533056092048
-0.029863,-0.04853333199893954
-0.029862,-0.0507749225453414
-0.029861,-0.05282048113160683
-0.02986,-0.05467071257492824
-0.029859,-0.05632626597380193
-0.029858,-0.05778771026368845
-0.029857,-0.05905591222790407
-0.029856,-0.06013273074933891
-0.029855,-0.061020569835865346
-0.029854,-0.06172177784146786
-0.029853,-0.0622386218498839
-0.029852,-0.06257339438398311
-0.029851,-0.06272892020041175
-0.02985,-0.06270899797799133
-0.029849,-0.062518085933575
-0.029848,-0.062160565347231474
-0.029847,-0.06164039771221196
-0.029846,-0.06096099911063428
-0.029845,-0.06012574091778757
-0.029844,-0.059138902092388396
-0.029843,-0.05800551507195684
-0.029842,-0.0567310189501526
-0.029841,-0.055321207843358144
-0.02984,-0.05378206365470249
-0.029839,-0.052120285323559695
-0.029838,-0.05034382538664375
-0.029837,-0.04846145751183055
-0.029836,-0.046482136897044876
-0.029835,-0.044414820297876696
-0.029834,-0.04226828995563621
-0.029833,-0.04005141078363843
-0.029832,-0.03777360868922911
-0.029831,-0.03544444782238914
-0.02983,-0.03307327935706293
-0.029829,-0.030669128146666343
-0.029828,-0.028240440340277128
-0.029827,-0.025795412436265257
-0.029826,-0.0233422794369419
-0.029825,-0.020889065289319386
-0.029824,-0.018443317702112074
-0.029823,-0.016011885784976563
-0.029822,-0.013600728920902822
-0.029821,-0.011215284304173513
-0.02982,-0.00886094726261665
-0.029819,-0.006542883098909499
-0.029818,-0.004265900697252677
-0.029817,-0.002034351412650721
-0.029816,0.000147944724712563
-0.029815,0.002277149118591549
-0.029814,0.004349054298364641
-0.029813,0.006359274682649656
-0.029812,0.008303568921229333
-0.029811,0.010178140680596108
-0.02981,0.01197976045903232
-0.029809,0.013705520581577278
-0.029808,0.015352511736011524
-0.029807,0.01691789051169595
-0.029806,0.0183990006892057
-0.029805,0.019793568579471843
-0.029804,0.02109985503813067
-0.029803,0.02231634164197329
-0.029802,0.02344151797120181
-0.029801,0.024473943811564185
-0.0298,0.02541248971675104
-0.029799,0.026256759104394938
-0.029798,0.027007291627051195
-0.029797,0.027665251641057723
-0.029796,0.028231920029017504
-0.029795,0.028708611647169216
-0.029794,0.029096740969420467
-0.029793,0.02939794660339158
-0.029792,0.029614244519712837
-0.029791,0.02974772240115505
-0.02979,0.029800250451030103
-0.029789,0.02977356436049508
-0.029788,0.02966947324339289
-0.029787,0.029490069710364063
-0.029786,0.029237845064561195
-0.029785,0.0289155272999314
-0.029784,0.028525785703279353
-0.029783,0.028071204012698327
-0.029782,0.02755432900315694
-0.029781,0.026977812065504418
-0.02978,0.026344609526111434
-0.029779,0.02565781772637427
-0.029778,0.024920518097991506
-0.029777,0.02413580884545081
-0.029776,0.023306871597830854
-0.029775,0.022437202733601284
-0.029774,0.021530765828243623
-0.029773,0.02059176446185434
-0.029772,0.01962436050854402
-0.029771,0.018632677648548063
-0.02977,0.01762080774869052
-0.029769,0.016592893440796473
-0.029768,0.015553194325895959
-0.029767,0.014505784975914378
-0.029766,0.013454357731544393
-0.029765,0.0124022817526884
-0.029764,0.011352714141655404
-0.029763,0.010308761952895812
-0.029762,0.009273545843650675
-0.029761,0.008250069784804002
-0.02976,0.0072410703568025064
-0.029759,0.00624901772386371
-0.029758,0.0052761514997298085
-0.029757,0.00432457900217729
-0.029756,0.003396339336123651
-0.029755,0.00249326419433325
-0.029754,0.0016169024957629864
-0.029753,0.0007685306713586797
-0.029752,-5.075430593051534e-05
-0.029751,-0.0008398128076861412
-0.02975,-0.001597367378756971
-0.029749,-0.0023221098622260732
-0.029748,-0.0030128689176846767
-0.029747,-0.0036686729872496097
-0.029746,-0.00428873334216494
-0.029745,-0.004872370121418528
-0.029744,-0.005418950922669069
-0.029743,-0.005927986858736993
-0.029742,-0.00639921932938824
-0.029741,-0.006832613420245447
-0.02974,-0.007228286165451779
-0.029739,-0.007586394940058566
-0.029738,-0.007907091956842263
-0.029737,-0.008190561535667964
-0.029736,-0.008437116746189953
-0.029735,-0.008647265506330423
-0.029734,-0.008821704518506697
-0.029733,-0.008961254239826858
-0.029732,-0.009066781017906905
-0.029731,-0.009139209078630025
-0.02973,-0.009179551095865086
-0.029729,-0.009188914752896205
-0.029728,-0.009168477681599308
-0.029727,-0.009119393789136515
-0.029726,-0.009042735222988872
-0.029725,-0.00893953103546831
-0.029724,-0.008810842772791014
-0.029723,-0.008657798166931041
-0.029722,-0.008481589074373977
-0.029721,-0.00828343405164459
-0.02972,-0.008064537870103746
-0.029719,-0.007826123727609926
-0.029718,-0.00756946769670446
-0.029717,-0.0072959036466258
-0.029716,-0.007006800552923989
-0.029715,-0.006703504340307091
-0.029714,-0.006387313082605777
-0.029713,-0.0060594947876416155
-0.029712,-0.005721327597355069
-0.029711,-0.005374142238470107
-0.02971,-0.00501932675138923
-0.029709,-0.004658278004274954
-0.029708,-0.004292363592546229
-0.029707,-0.003922940713046468
-0.029706,-0.0035513679279188365
-0.029705,-0.0031790156193423754
-0.029704,-0.0028072419868255625
-0.029703,-0.0024373046734071794
-0.029702,-0.0020703200795603727
-0.029701,-0.001707288645588772
-0.0297,-0.0013491465560475492
-0.029699,-0.0009968054251589444
-0.029698,-0.0006511517215042124
-0.029697,-0.0003130165179685294
-0.029696,1.685033129075969e-05
-0.029695,0.0003377661696972786
-0.029694,0.0006490928220918956
-0.029693,0.0009502241103757121
-0.029692,0.0012406035033443237
-0.029691,0.0015197647707607801
-0.02969,0.00178734345313913
-0.029689,0.0020430699365826125
-0.029688,0.0022867331215815742
-0.029687,0.0025181286002144664
-0.029686,0.002737049356713086
-0.029685,0.0029433070240784042
-0.029684,0.003136756271244354
-0.029683,0.0033173020715094714
-0.029682,0.0034848897252653973
-0.029681,0.0036394907073828806
-0.02968,0.003781107198389309
