time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.02009,0.200896,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.1,0.049486,0.293968,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.2,0.075292,0.258059,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.3,0.103456,0.281639,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.4,0.132889,0.294329,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.5,0.161973,0.290837,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.6,0.187291,0.25318,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.7,0.218321,0.310306,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.8,0.246087,0.277655,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
0.9,0.281036,0.34949,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.0,0.309988,0.289518,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.1,0.3427,0.327122,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.2,0.374056,0.313561,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.3,0.401845,0.277891,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.4,0.428078,0.262334,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.5,0.452484,0.244056,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.6,0.476416,0.239319,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.7,0.506989,0.30573,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.8,0.537774,0.307854,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
1.9,0.568481,0.307069,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.0,0.599599,0.311177,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.1,0.62411,0.245115,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.2,0.652047,0.279369,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.3,0.679606,0.275585,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.4,0.709345,0.297396,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.5,0.73916,0.298145,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.6,0.76792,0.2876,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.7,0.796361,0.284406,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.8,0.822284,0.259237,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
2.9,0.845092,0.228077,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.0,0.872755,0.276629,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.1,0.899159,0.26404,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.2,0.925986,0.26827,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.3,0.954546,0.285603,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.4,0.982471,0.279249,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.5,1.014106,0.316352,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.6,1.045986,0.318794,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.7,1.07461,0.286238,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.8,1.101945,0.273353,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
3.9,1.131505,0.295598,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.0,1.162493,0.309887,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.1,1.190518,0.280247,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.2,1.217522,0.270036,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.3,1.247173,0.296509,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.4,1.273433,0.26261,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.5,1.301456,0.280225,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.6,1.329775,0.283195,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.7,1.360587,0.308112,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.8,1.386162,0.255756,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
4.9,1.413911,0.277487,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.0,1.444273,0.303617,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.1,1.470491,0.26218,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.2,1.496754,0.262636,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.3,1.528438,0.316839,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.4,1.557056,0.286179,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.5,1.578453,0.213969,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.6,1.611053,0.326001,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.7,1.639183,0.281297,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.8,1.669702,0.305189,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
5.9,1.69797,0.282686,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.0,1.725851,0.278807,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.1,1.751016,0.251644,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.2,1.779409,0.283935,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.3,1.810066,0.306566,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.4,1.847704,0.376384,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.5,1.876649,0.289452,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.6,1.905366,0.287171,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.7,1.934008,0.286419,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.8,1.967646,0.336378,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
6.9,1.995075,0.274285,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.0,2.025092,0.300179,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.1,2.05144,0.263478,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.2,2.076832,0.253922,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.3,2.098971,0.221386,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.4,2.13057,0.315988,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.5,2.157544,0.269743,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.6,2.18625,0.287055,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.7,2.213744,0.274949,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.8,2.235341,0.215963,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
7.9,2.263179,0.278379,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.0,2.290714,0.275356,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.1,2.317606,0.268915,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.2,2.34744,0.298343,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.3,2.376914,0.294738,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.4,2.406013,0.290992,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.5,2.432607,0.265941,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.6,2.462576,0.299692,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.7,2.487139,0.245629,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.8,2.51515,0.28011,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
8.9,2.546237,0.310869,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.0,2.57084,0.246031,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.1,2.596405,0.255648,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.2,2.625342,0.289368,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.3,2.651517,0.261756,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.4,2.680366,0.288487,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.5,2.709268,0.289016,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.6,2.742181,0.329129,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.7,2.769893,0.277127,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.8,2.800287,0.303936,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
9.9,2.831792,0.315048,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.0,2.860825,0.290333,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.1,2.890259,0.294345,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.2,2.912695,0.22436,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.3,2.938462,0.257662,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.4,2.963928,0.254664,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.5,2.990925,0.269973,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.6,3.020137,0.292116,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.7,3.051811,0.316738,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.8,3.081282,0.294711,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
10.9,3.111177,0.298948,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
11.0,3.140573,0.293966,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
11.1,3.166553,0.259795,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
11.2,3.196781,0.302287,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
11.3,3.223102,0.263201,700,0.2,1.0,Al,edge,dl_Al_edge_700K_1.0at_0.20GPa_2c59f335_239
