time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.049718,0.497185,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.1,0.100145,0.504267,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.2,0.147129,0.469835,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.3,0.194232,0.471037,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.4,0.240922,0.466893,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.5,0.293185,0.522631,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.6,0.344598,0.51413,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.7,0.392134,0.475362,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.8,0.441049,0.489154,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
0.9,0.491277,0.502273,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
1.0,0.537114,0.458376,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
1.1,0.5903,0.531862,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
1.2,0.639697,0.493969,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
1.3,0.692616,0.529189,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
1.4,0.740876,0.482596,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
1.5,0.789417,0.485413,700,0.4,1.0,Al,mixed,dl_Al_mixed_700K_1.0at_0.40GPa_2c59f335_312
