time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.010115,0.101146,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.1,0.021918,0.118035,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.2,0.03426,0.123416,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.3,0.043077,0.088173,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.4,0.057793,0.147164,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.5,0.0686,0.108068,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.6,0.081743,0.131427,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.7,0.095258,0.135149,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.8,0.104367,0.091089,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
0.9,0.111913,0.075465,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.0,0.122132,0.10219,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.1,0.136489,0.143565,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.2,0.145878,0.093889,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.3,0.160259,0.143813,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.4,0.167072,0.068129,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.5,0.18246,0.15388,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.6,0.194333,0.118733,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.7,0.204663,0.1033,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.8,0.218619,0.139562,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
1.9,0.23029,0.116706,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
2.0,0.242452,0.121616,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
2.1,0.249273,0.068216,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
2.2,0.258882,0.096087,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
2.3,0.27296,0.140777,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
2.4,0.285353,0.123938,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
2.5,0.300506,0.151525,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
2.6,0.310809,0.103027,700,0.05,0.0,Al,screw,dl_Al_screw_700K_0.0at_0.05GPa_2c59f335_265
