time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.003279,0.03279,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.1,0.014131,0.108523,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.2,0.023172,0.09041,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.3,0.028192,0.0502,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.4,0.037176,0.089834,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.5,0.049651,0.124756,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.6,0.056303,0.066516,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.7,0.065016,0.087127,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.8,0.072724,0.077083,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
0.9,0.081252,0.085278,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.0,0.084902,0.036508,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.1,0.091675,0.067725,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.2,0.100917,0.092416,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.3,0.108265,0.073486,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.4,0.118458,0.101927,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.5,0.125026,0.065682,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.6,0.134607,0.095811,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.7,0.142626,0.080187,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.8,0.145142,0.025157,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
1.9,0.148061,0.029195,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.0,0.160248,0.121871,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.1,0.166362,0.061137,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.2,0.172823,0.064612,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.3,0.185048,0.122248,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.4,0.196108,0.110605,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.5,0.199126,0.030178,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.6,0.209035,0.099092,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.7,0.209489,0.004533,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.8,0.215257,0.057686,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
2.9,0.221801,0.065433,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.0,0.223868,0.020677,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.1,0.235004,0.111358,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.2,0.245065,0.100607,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.3,0.249251,0.041859,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.4,0.254985,0.057347,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.5,0.260612,0.056266,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.6,0.265454,0.048421,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.7,0.270168,0.047146,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.8,0.277662,0.074939,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
3.9,0.286415,0.087528,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
4.0,0.295187,0.087721,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
4.1,0.301779,0.065915,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
4.2,0.307332,0.055536,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
4.3,0.313416,0.060834,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
4.4,0.320256,0.068399,700,0.05,1.0,Cu,edge,dl_Cu_edge_700K_1.0at_0.05GPa_2c59f335_453
