time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.008929,0.08929,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.1,0.020065,0.111359,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.2,0.034397,0.143325,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.3,0.050463,0.160656,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.4,0.065878,0.154155,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.5,0.078185,0.123068,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.6,0.095327,0.171417,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.7,0.110321,0.149939,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.8,0.123765,0.134439,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
0.9,0.133206,0.09441,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.0,0.148814,0.156087,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.1,0.167264,0.184492,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.2,0.183486,0.162227,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.3,0.19641,0.129238,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.4,0.210389,0.139789,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.5,0.223034,0.126445,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.6,0.237463,0.144292,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.7,0.250677,0.132138,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.8,0.264726,0.140498,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
1.9,0.279906,0.151795,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
2.0,0.295675,0.157692,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
2.1,0.310982,0.153064,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
2.2,0.325988,0.150069,700,0.05,0.0,Cu,mixed,dl_Cu_mixed_700K_0.0at_0.05GPa_2c59f335_517
