time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.012108,0.121076,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.1,0.019062,0.069548,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.2,0.029989,0.109269,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.3,0.041356,0.113662,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.4,0.047982,0.066267,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.5,0.05477,0.067878,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.6,0.064074,0.093039,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.7,0.068502,0.044279,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.8,0.076509,0.080073,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
0.9,0.079778,0.032693,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.0,0.08483,0.050513,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.1,0.090703,0.058729,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.2,0.095138,0.04435,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.3,0.10183,0.066926,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.4,0.10709,0.052599,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.5,0.113571,0.064812,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.6,0.119972,0.06401,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
1.7,0.128355,0.083826,700,0.05,0.5,Cu,screw,dl_Cu_screw_700K_0.5at_0.05GPa_2c59f335_485
