time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.072027,0.720272,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.1,0.147061,0.750339,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.2,0.217817,0.707556,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.3,0.292787,0.749706,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.4,0.365056,0.722684,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.5,0.435421,0.703649,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.6,0.509181,0.737603,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.7,0.585374,0.761926,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.8,0.657083,0.717092,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
0.9,0.728983,0.719003,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.0,0.804257,0.752739,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.1,0.875912,0.716548,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.2,0.950691,0.747793,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.3,1.024018,0.733271,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.4,1.096057,0.72039,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.5,1.169373,0.733157,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.6,1.242958,0.735853,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.7,1.314862,0.719033,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.8,1.390501,0.756396,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
1.9,1.463553,0.730521,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.0,1.538889,0.753357,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.1,1.613529,0.746398,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.2,1.686746,0.732172,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.3,1.758633,0.718871,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.4,1.833455,0.748218,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.5,1.903132,0.696776,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.6,1.975402,0.722694,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.7,2.048959,0.735572,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.8,2.119983,0.710243,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
2.9,2.192485,0.725014,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.0,2.262959,0.704744,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.1,2.337964,0.750048,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.2,2.411438,0.734736,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.3,2.48382,0.723827,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.4,2.555099,0.712784,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.5,2.6307,0.756011,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.6,2.702865,0.721648,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.7,2.775969,0.731047,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.8,2.850003,0.740334,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
3.9,2.92077,0.707672,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.0,2.992117,0.713475,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.1,3.062271,0.701532,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.2,3.135381,0.731107,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.3,3.209076,0.736946,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.4,3.279869,0.707926,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.5,3.354603,0.747343,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.6,3.429896,0.752935,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.7,3.503311,0.734142,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.8,3.575353,0.720428,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
4.9,3.649957,0.746032,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.0,3.723485,0.73528,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.1,3.797511,0.740264,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.2,3.870582,0.730712,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.3,3.940428,0.698458,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.4,4.013975,0.735472,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.5,4.085664,0.716885,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.6,4.160312,0.746481,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.7,4.229561,0.692496,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.8,4.303189,0.736276,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
5.9,4.375322,0.721329,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.0,4.449789,0.744676,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.1,4.52309,0.733006,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.2,4.593507,0.704172,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.3,4.668776,0.752688,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.4,4.738616,0.698399,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.5,4.814462,0.758466,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.6,4.884312,0.698493,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.7,4.956955,0.726437,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.8,5.031547,0.745912,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
6.9,5.107824,0.762778,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.0,5.182197,0.743726,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.1,5.254735,0.725378,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.2,5.327645,0.729097,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.3,5.404791,0.771463,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.4,5.476578,0.717869,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.5,5.549765,0.731876,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.6,5.624351,0.745861,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.7,5.697884,0.735329,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.8,5.769698,0.718135,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
7.9,5.841953,0.722553,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
8.0,5.915837,0.738839,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
8.1,5.985131,0.692942,900,0.2,0.0,Fe,edge,dl_Fe_edge_900K_0.0at_0.20GPa_2c59f335_027
