time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.013112,0.131123,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.1,0.026041,0.129289,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.2,0.037871,0.118301,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.3,0.047054,0.091825,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.4,0.059658,0.126042,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.5,0.070306,0.106477,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.6,0.079602,0.092964,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.7,0.091244,0.116423,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.8,0.097426,0.061819,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
0.9,0.108033,0.106067,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.0,0.120139,0.121061,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.1,0.129535,0.093957,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.2,0.138378,0.088429,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.3,0.1466,0.082219,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.4,0.155153,0.085532,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.5,0.162417,0.07264,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.6,0.171677,0.092601,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.7,0.183722,0.120451,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.8,0.195729,0.120072,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
1.9,0.210911,0.151815,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.0,0.227104,0.161936,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.1,0.23938,0.122756,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.2,0.249073,0.096928,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.3,0.261213,0.121406,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.4,0.271881,0.106673,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.5,0.28154,0.09659,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.6,0.288712,0.07172,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.7,0.301094,0.123822,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.8,0.3154,0.143058,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
2.9,0.326956,0.115561,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
3.0,0.340288,0.133324,500,0.1,0.5,Fe,mixed,dl_Fe_mixed_500K_0.5at_0.10GPa_2c59f335_078
