time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.00756,0.075602,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.1,0.009463,0.019032,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.2,0.016946,0.074831,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.3,0.016946,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.4,0.016946,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.5,0.016946,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.6,0.020915,0.039688,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.7,0.024448,0.035323,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.8,0.028498,0.040502,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
0.9,0.028498,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.0,0.030514,0.020159,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.1,0.035565,0.050509,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.2,0.036274,0.00709,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.3,0.04282,0.065463,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.4,0.045558,0.027384,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.5,0.048081,0.025229,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.6,0.051115,0.030335,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.7,0.053233,0.021181,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.8,0.056986,0.037532,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
1.9,0.064645,0.076586,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.0,0.064645,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.1,0.067547,0.029024,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.2,0.067547,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.3,0.067547,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.4,0.067547,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.5,0.067547,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.6,0.067547,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.7,0.072508,0.049609,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.8,0.079353,0.068447,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
2.9,0.080169,0.008168,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.0,0.085767,0.055978,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.1,0.092869,0.071015,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.2,0.099165,0.062959,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.3,0.10242,0.03255,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.4,0.107186,0.047664,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.5,0.110575,0.03389,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.6,0.119369,0.087941,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.7,0.119369,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.8,0.121144,0.017754,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
3.9,0.128444,0.072991,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.0,0.132022,0.035788,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.1,0.133913,0.018906,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.2,0.135091,0.011777,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.3,0.135091,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.4,0.137717,0.026261,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.5,0.137993,0.002761,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.6,0.137993,0.0,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.7,0.13996,0.019675,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.8,0.140449,0.004883,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
4.9,0.140496,0.000475,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
5.0,0.143328,0.028322,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
5.1,0.14498,0.016518,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
5.2,0.147372,0.023921,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
5.3,0.148582,0.012101,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
5.4,0.153016,0.04433,500,0.05,1.0,Fe,screw,dl_Fe_screw_500K_1.0at_0.05GPa_2c59f335_045
