time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.171169,1.711689,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.1,0.339747,1.685782,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.2,0.509269,1.695219,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.3,0.681697,1.724279,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.4,0.854735,1.730382,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.5,1.026232,1.714965,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.6,1.197363,1.71131,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.7,1.369942,1.725797,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.8,1.54232,1.72378,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
0.9,1.712993,1.706722,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.0,1.883255,1.70262,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.1,2.055583,1.723283,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.2,2.225893,1.703098,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.3,2.394435,1.685426,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.4,2.56922,1.747851,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.5,2.740577,1.713563,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.6,2.911246,1.706692,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.7,3.084299,1.730532,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.8,3.25703,1.727304,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
1.9,3.430206,1.731761,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.0,3.603065,1.728592,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.1,3.772991,1.699265,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.2,3.943946,1.709547,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.3,4.114323,1.70377,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.4,4.284803,1.704804,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.5,4.453067,1.68264,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.6,4.627895,1.748275,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.7,4.800473,1.725776,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.8,4.974828,1.743555,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
2.9,5.14851,1.736816,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
3.0,5.320994,1.724843,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
3.1,5.491048,1.700543,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
3.2,5.659543,1.684947,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
3.3,5.829464,1.699207,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
3.4,6.001826,1.723618,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
3.5,6.177285,1.754598,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
3.6,6.350181,1.728955,900,0.4,0.0,Ni,edge,dl_Ni_edge_900K_0.0at_0.40GPa_2c59f335_136
