time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.017396,0.17396,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.1,0.032989,0.155932,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.2,0.051595,0.186064,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.3,0.071316,0.197204,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.4,0.090348,0.190319,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.5,0.109732,0.193844,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.6,0.127847,0.18115,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.7,0.14525,0.174029,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.8,0.162428,0.171773,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
0.9,0.178247,0.158191,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.0,0.194276,0.160295,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.1,0.208976,0.146996,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.2,0.226282,0.17306,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.3,0.242923,0.166411,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.4,0.262799,0.198768,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.5,0.2771,0.143001,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.6,0.289795,0.126957,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.7,0.307219,0.174238,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.8,0.326884,0.196646,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
1.9,0.345684,0.187998,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
2.0,0.363448,0.177648,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
2.1,0.378293,0.148446,700,0.1,0.5,Ni,mixed,dl_Ni_mixed_700K_0.5at_0.10GPa_2c59f335_198
