time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.005392,0.053918,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.1,0.014221,0.088294,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.2,0.019089,0.048674,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.3,0.025741,0.066519,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.4,0.031599,0.058585,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.5,0.039995,0.083955,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.6,0.046555,0.065605,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.7,0.054112,0.075566,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.8,0.058232,0.041206,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
0.9,0.06596,0.077277,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.0,0.074502,0.085419,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.1,0.082669,0.081674,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.2,0.09258,0.099106,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.3,0.104844,0.122641,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.4,0.114117,0.092734,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.5,0.123266,0.091484,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.6,0.129397,0.06131,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.7,0.137372,0.079753,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.8,0.141674,0.043017,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
1.9,0.14751,0.058362,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.0,0.155572,0.080617,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.1,0.163175,0.076034,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.2,0.172693,0.095177,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.3,0.178354,0.056612,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.4,0.187205,0.088507,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.5,0.191819,0.04614,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.6,0.201083,0.09264,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.7,0.210987,0.099047,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
2.8,0.215849,0.048619,900,0.05,0.5,Ni,screw,dl_Ni_screw_900K_0.5at_0.05GPa_2c59f335_173
