time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.063081,0.630806,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.1,0.125375,0.622941,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.2,0.189233,0.638582,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.3,0.24949,0.602574,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.4,0.311442,0.619513,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.5,0.376787,0.653452,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.6,0.438699,0.61912,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.7,0.495486,0.56787,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.8,0.557637,0.62151,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
0.9,0.620457,0.628201,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.0,0.682009,0.615521,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.1,0.744461,0.624518,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.2,0.807701,0.632398,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.3,0.867406,0.597052,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.4,0.931335,0.639293,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.5,0.993221,0.618855,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.6,1.05523,0.620098,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.7,1.116458,0.612276,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.8,1.178182,0.617236,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
1.9,1.240974,0.627927,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
2.0,1.306072,0.650974,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
2.1,1.366799,0.607272,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
2.2,1.425951,0.591521,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
2.3,1.487209,0.612579,900,0.4,1.0,Ti,edge,dl_Ti_edge_900K_1.0at_0.40GPa_2c59f335_360
