time_ps,position_nm,velocity_nm_ps,temperature_K,tau_GPa,solute_at_pct,material,character,run_id
0.0,0.017222,0.172218,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.1,0.032603,0.15381,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.2,0.049398,0.167955,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.3,0.059076,0.09678,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.4,0.074769,0.156931,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.5,0.091001,0.162316,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.6,0.098872,0.078705,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.7,0.109359,0.10487,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.8,0.120089,0.107306,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
0.9,0.133754,0.13665,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.0,0.146005,0.122508,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.1,0.161515,0.155101,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.2,0.173163,0.116474,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.3,0.186182,0.130192,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.4,0.197736,0.115537,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.5,0.210581,0.128455,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.6,0.216309,0.057282,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.7,0.224795,0.084854,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.8,0.238511,0.137166,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
1.9,0.247791,0.092795,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.0,0.263972,0.161818,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.1,0.273994,0.100217,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.2,0.286804,0.128103,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.3,0.298692,0.118871,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.4,0.312586,0.138942,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.5,0.323151,0.105648,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.6,0.338025,0.148744,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.7,0.350683,0.126584,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.8,0.360532,0.098484,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
2.9,0.375713,0.151808,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.0,0.385591,0.098786,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.1,0.399199,0.136074,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.2,0.410842,0.11643,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.3,0.42212,0.112783,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.4,0.439476,0.173558,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.5,0.452358,0.128823,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.6,0.461767,0.09409,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.7,0.472429,0.106617,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.8,0.485405,0.129758,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
3.9,0.496751,0.11346,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.0,0.507314,0.105639,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.1,0.521607,0.142922,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.2,0.537949,0.163423,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.3,0.550465,0.125164,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.4,0.564284,0.138182,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.5,0.575846,0.11562,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.6,0.59025,0.144041,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.7,0.602671,0.124216,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.8,0.612086,0.094143,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
4.9,0.627195,0.151095,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.0,0.641742,0.145467,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.1,0.651483,0.097417,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.2,0.658603,0.071197,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.3,0.675478,0.168749,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.4,0.686933,0.114551,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.5,0.696523,0.095894,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.6,0.709553,0.130305,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.7,0.721613,0.120596,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.8,0.729559,0.079465,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
5.9,0.739308,0.097493,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.0,0.756268,0.1696,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.1,0.768504,0.12236,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.2,0.779166,0.106617,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.3,0.790196,0.110296,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.4,0.799378,0.091821,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.5,0.812098,0.127205,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.6,0.827094,0.14996,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.7,0.839217,0.121227,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.8,0.848377,0.091601,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
6.9,0.859484,0.111073,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.0,0.875932,0.164478,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.1,0.891668,0.157357,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.2,0.9035,0.118316,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.3,0.916167,0.126679,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.4,0.929423,0.132559,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.5,0.941262,0.118389,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.6,0.952454,0.111919,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.7,0.961784,0.093299,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.8,0.96995,0.081663,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
7.9,0.980368,0.104177,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.0,0.992697,0.123289,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.1,1.003197,0.105005,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.2,1.013653,0.104559,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.3,1.026386,0.127329,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.4,1.042208,0.158215,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.5,1.05155,0.093418,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.6,1.06279,0.112406,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.7,1.071244,0.084539,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.8,1.087553,0.163088,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
8.9,1.097006,0.094534,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.0,1.10915,0.121434,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.1,1.1266,0.174507,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.2,1.136794,0.101931,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.3,1.147176,0.103821,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.4,1.156365,0.091891,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.5,1.164711,0.083466,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.6,1.176866,0.121545,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.7,1.189155,0.122887,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.8,1.204006,0.148517,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
9.9,1.214507,0.105011,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
10.0,1.229179,0.146712,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
10.1,1.24727,0.18091,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
10.2,1.258144,0.108739,700,0.1,0.5,Ti,screw,dl_Ti_screw_700K_0.5at_0.10GPa_2c59f335_378
