shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.01033,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.002,0.2074,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.004,0.29772,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.006,0.41129,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.008,0.56732,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.01,0.65221,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.012,0.80923,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.014,0.87889,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.016,0.91067,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.018,0.93927,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.02,1.00855,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.022,1.08797,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.024,1.04674,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.026,1.15528,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.028,1.1683,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.03,1.24198,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.032,1.24221,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.034,1.26952,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.036,1.32962,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.038,1.2861,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.04,1.35261,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.042,1.38136,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.044,1.33645,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.046,1.36667,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.048,1.36877,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.05,1.36389,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.052,1.39582,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.054,1.41074,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.056,1.38845,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.058,1.40151,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.06,1.37576,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.062,1.42301,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.064,1.43317,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.066,1.40708,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.068,1.42056,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.07,1.44007,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.072,1.40893,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.074,1.41342,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
0.076,1.40754,1000,1000000.0,11,(113),Al,gbs_Al_S11_1000K_1000000s-1_059
