shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.0,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.002,0.24298,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.004,0.50272,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.006,0.75122,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.008,0.93217,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.01,1.11672,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.012,1.23248,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.014,1.4029,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.016,1.46973,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.018,1.53111,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.02,1.63569,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.022,1.71599,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.024,1.71251,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.026,1.76986,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.028,1.84521,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.03,1.83764,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.032,1.895,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.034,1.98352,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.036,1.94009,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.038,1.96413,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.04,1.93131,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.042,2.01343,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.044,1.99124,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.046,2.0273,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
0.048,2.05077,800,10000000.0,5,(210),Cu,gbs_Cu_S5_800K_10000000s-1_100
