shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.03642,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.002,0.29678,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.004,0.64429,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.006,0.85372,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.008,1.06063,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.01,1.26007,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.012,1.43631,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.014,1.57275,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.016,1.70586,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.018,1.86366,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.02,1.92944,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.022,2.00811,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.024,2.04799,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.026,2.18182,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.028,2.15733,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.03,2.22244,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.032,2.23658,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.034,2.31833,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.036,2.31824,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.038,2.33347,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.04,2.37042,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.042,2.40674,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.044,2.43555,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.046,2.41732,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.048,2.50087,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.05,2.47494,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.052,2.49372,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.054,2.46385,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.056,2.49595,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.058,2.53692,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.06,2.5401,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
0.062,2.4565,800,10000000.0,17,(410),Fe,gbs_Fe_S17_800K_10000000s-1_022
