shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.0311,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.002,0.2311,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.004,0.50065,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.006,0.7465,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.008,0.9836,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.01,1.09697,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.012,1.19842,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.014,1.38563,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.016,1.34154,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.018,1.42855,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.02,1.51366,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.022,1.57556,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.024,1.55736,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.026,1.61337,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.028,1.71611,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.03,1.75685,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.032,1.7415,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.034,1.74609,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.036,1.742,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.038,1.82512,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.04,1.80057,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.042,1.81047,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.044,1.80201,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.046,1.77587,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.048,1.80488,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.05,1.82769,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.052,1.79524,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.054,1.78236,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.056,1.8153,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.058,1.83176,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.06,1.85439,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.062,1.8087,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.064,1.80506,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.066,1.80103,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.068,1.82991,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.07,1.79964,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.072,1.80328,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.074,1.7689,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.076,1.83467,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.078,1.8458,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.08,1.81199,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.082,1.78835,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.084,1.84012,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.086,1.81817,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.088,1.78086,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.09,1.81772,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.092,1.82122,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.094,1.7858,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.096,1.84348,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.098,1.84223,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.1,1.82809,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.102,1.73703,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.104,1.82499,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.106,1.85308,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.108,1.80515,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.11,1.80616,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.112,1.82263,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.114,1.79609,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.116,1.79195,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.118,1.78076,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.12,1.8371,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.122,1.78331,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.124,1.79135,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.126,1.766,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.128,1.83533,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.13,1.74484,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.132,1.80599,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.134,1.77195,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.136,1.82018,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.138,1.85068,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.14,1.82043,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.142,1.80375,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.144,1.8494,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.146,1.79743,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.148,1.78931,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.15,1.82023,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.152,1.80763,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.154,1.83633,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.156,1.81761,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.158,1.77427,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.16,1.7911,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.162,1.76846,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.164,1.75567,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.166,1.82493,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.168,1.80923,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.17,1.77707,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.172,1.82122,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.174,1.78204,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.176,1.75808,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.178,1.79685,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.18,1.77029,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.182,1.79349,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.184,1.81642,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.186,1.77282,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.188,1.83084,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.19,1.80226,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.192,1.83852,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.194,1.77283,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.196,1.83732,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.198,1.81708,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.2,1.79202,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.202,1.71914,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.204,1.75257,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.206,1.79737,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.208,1.79563,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.21,1.77393,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.212,1.8036,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.214,1.75685,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.216,1.73766,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.218,1.81262,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.22,1.82264,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.222,1.80424,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.224,1.80607,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.226,1.79018,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.228,1.77975,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.23,1.7883,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.232,1.75366,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.234,1.76171,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.236,1.75193,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.238,1.79646,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
0.24,1.78154,600,10000000.0,13,(510),Ni,gbs_Ni_S13_600K_10000000s-1_038
