shear_strain,shear_stress_GPa,temperature_K,strain_rate_s^-1,gb_sigma,gb_plane,material,run_id
0.0,0.0,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.002,0.14888,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.004,0.29915,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.006,0.42429,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.008,0.57046,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.01,0.67903,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.012,0.80652,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.014,0.85831,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.016,0.96641,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.018,0.99538,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.02,1.02841,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.022,1.10658,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.024,1.20539,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.026,1.23114,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.028,1.27318,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.03,1.27625,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.032,1.35014,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.034,1.43138,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.036,1.47791,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.038,1.49197,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.04,1.44719,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.042,1.50211,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.044,1.52494,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.046,1.54531,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.048,1.52925,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
0.05,1.52827,600,10000000.0,17,(410),Ti,gbs_Ti_S17_600K_10000000s-1_092
