rubber_id,temperature_C,mass_percent,dtg_percent_per_C
CR_1_4mm,25,99.985,0.0
CR_1_4mm,30,100.081,0.0191
CR_1_4mm,35,100.03,-0.0103
CR_1_4mm,40,99.994,-0.007
CR_1_4mm,45,100.049,0.0109
CR_1_4mm,50,100.024,-0.005
CR_1_4mm,55,99.953,-0.0141
CR_1_4mm,60,99.975,0.0044
CR_1_4mm,65,100.026,0.0101
CR_1_4mm,70,100.1,0.0149
CR_1_4mm,75,100.092,-0.0015
CR_1_4mm,80,100.1,0.0015
CR_1_4mm,85,100.013,-0.0174
CR_1_4mm,90,99.924,-0.0178
CR_1_4mm,95,100.1,0.0352
CR_1_4mm,100,99.985,-0.023
CR_1_4mm,105,99.993,0.0016
CR_1_4mm,110,99.972,-0.0042
CR_1_4mm,115,99.852,-0.024
CR_1_4mm,120,100.016,0.0327
CR_1_4mm,125,100.1,0.0168
CR_1_4mm,130,100.041,-0.0119
CR_1_4mm,135,99.864,-0.0352
CR_1_4mm,140,99.946,0.0163
CR_1_4mm,145,100.046,0.0199
CR_1_4mm,150,100.1,0.0109
CR_1_4mm,155,99.979,-0.0241
CR_1_4mm,160,100.1,0.0241
CR_1_4mm,165,99.928,-0.0343
CR_1_4mm,170,99.962,0.0067
CR_1_4mm,175,100.1,0.0277
CR_1_4mm,180,100.097,-0.0005
CR_1_4mm,185,99.99,-0.0214
CR_1_4mm,190,100.1,0.0219
CR_1_4mm,195,99.958,-0.0284
CR_1_4mm,200,100.031,0.0147
CR_1_4mm,205,100.1,0.0137
CR_1_4mm,210,99.942,-0.0316
CR_1_4mm,215,99.883,-0.0117
CR_1_4mm,220,99.902,0.0037
CR_1_4mm,225,99.936,0.0068
CR_1_4mm,230,99.994,0.0115
CR_1_4mm,235,99.9,-0.0188
CR_1_4mm,240,100.089,0.0379
CR_1_4mm,245,100.018,-0.0143
CR_1_4mm,250,99.943,-0.0149
CR_1_4mm,255,99.76,-0.0366
CR_1_4mm,260,99.948,0.0376
CR_1_4mm,265,99.67,-0.0555
CR_1_4mm,270,99.73,0.0119
CR_1_4mm,275,99.307,-0.0846
CR_1_4mm,280,99.083,-0.0448
CR_1_4mm,285,98.893,-0.0378
CR_1_4mm,290,98.385,-0.1017
CR_1_4mm,295,97.529,-0.1712
CR_1_4mm,300,96.581,-0.1895
CR_1_4mm,305,95.403,-0.2357
CR_1_4mm,310,93.652,-0.3501
CR_1_4mm,315,91.149,-0.5006
CR_1_4mm,320,88.026,-0.6246
CR_1_4mm,325,84.362,-0.7329
CR_1_4mm,330,80.384,-0.7955
CR_1_4mm,335,75.916,-0.8937
CR_1_4mm,340,71.594,-0.8643
CR_1_4mm,345,67.445,-0.83
CR_1_4mm,350,63.703,-0.7483
CR_1_4mm,355,60.678,-0.6049
CR_1_4mm,360,58.012,-0.5334
CR_1_4mm,365,56.317,-0.339
CR_1_4mm,370,54.753,-0.3126
CR_1_4mm,375,53.56,-0.2386
CR_1_4mm,380,52.91,-0.1301
CR_1_4mm,385,52.232,-0.1355
CR_1_4mm,390,51.617,-0.1231
CR_1_4mm,395,51.323,-0.0587
CR_1_4mm,400,50.902,-0.0843
CR_1_4mm,405,50.43,-0.0943
CR_1_4mm,410,49.984,-0.0893
CR_1_4mm,415,49.452,-0.1064
CR_1_4mm,420,49.021,-0.0862
CR_1_4mm,425,48.346,-0.135
