Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
GHA,Ghana,2010,6.41,10.71,8.86,101.2,13.31,10.17,60.0,47.56,11.21,0.5,,,
GHA,Ghana,2011,3.96,13.53,14.37,103.34,16.99,8.15,61.7,120.11,51.57,14.89,1.7324116139070418,1.5132085117392071,1.9940411229460624
GHA,Ghana,2012,8.41,11.92,12.03,107.51,13.96,19.04,61.54,130.85,58.22,15.22,2.228788908802267,3.208961410383941,1.4147202314709897
GHA,Ghana,2013,0.19,9.54,15.08,110.18,13.16,5.52,64.63,138.63,59.22,18.88,4.114685083130097,3.447303293880584,2.0073448466402914
GHA,Ghana,2014,6.63,5.58,13.46,126.83,9.36,10.09,64.71,150.0,63.0,17.82,4.324550072936297,10.469111710169104,3.202644740418977
GHA,Ghana,2015,5.67,12.21,4.17,125.5,14.41,13.14,65.1,145.37,68.1,18.36,3.474324874466021,9.252871626329489,3.3358507160842805
GHA,Ghana,2016,2.24,8.22,9.16,133.99,10.47,6.42,71.23,150.0,61.61,18.97,2.307906699442881,4.566446466710578,3.3378286355054247
GHA,Ghana,2017,7.29,6.6,14.72,140.74,9.39,12.33,65.7,150.0,69.66,22.31,2.578494392728697,7.63653717335287,2.887230506904498
GHA,Ghana,2018,12.42,5.68,5.27,148.11,8.0,21.94,68.81,150.0,73.47,23.58,5.090052390038174,7.062268285284378,1.2859756348132516
GHA,Ghana,2019,5.36,8.55,8.5,157.37,10.78,13.17,64.87,150.0,73.6,22.54,3.648867404186309,8.332880654371579,1.4654805810154377
GHA,Ghana,2020,1.25,8.61,9.79,165.38,10.32,5.53,75.83,150.0,79.28,25.51,5.649551604626099,8.642536278971194,1.6745845255863738
GHA,Ghana,2021,10.12,5.98,7.94,162.7,7.24,14.19,68.93,150.0,80.0,23.52,4.438967597689055,4.077405220643797,1.5014104479899353
GHA,Ghana,2022,3.96,12.95,5.05,181.82,15.18,2.71,71.3,150.0,80.0,26.94,4.545448272722945,10.352378148683194,3.519786925369204
GHA,Ghana,2023,5.16,13.04,5.69,191.08,14.81,5.03,69.22,150.0,80.0,24.74,3.265659708746969,14.472654674707524,4.050362123728361
GHA,Ghana,2024,7.38,15.02,14.37,192.18,16.05,13.15,79.61,150.0,80.0,30.02,1.73516569813952,5.690448137009963,1.1699999999999902
