Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
MOZ,Mozambique,2010,3.2,7.45,14.33,49.37,11.13,6.99,60.0,49.0,6.51,0.5,,,
MOZ,Mozambique,2011,4.61,6.57,10.41,51.95,8.83,6.42,61.82,127.14,49.29,15.49,0.997020561473032,1.824335495461299,0.6222539674441614
MOZ,Mozambique,2012,4.1,5.2,11.14,51.14,8.39,10.08,61.56,131.35,56.63,20.62,0.7139327699440614,1.3194316958448482,1.1338577218210988
MOZ,Mozambique,2013,5.05,5.09,10.28,52.97,7.16,13.94,63.01,134.89,60.21,16.32,0.4754296302643883,0.9170059977993608,0.8245604889879204
MOZ,Mozambique,2014,2.3,4.77,10.9,54.45,7.63,6.34,64.11,139.48,65.1,19.08,1.3967223537028874,1.6580812203668818,0.2233830790368821
MOZ,Mozambique,2015,4.41,7.12,7.07,55.62,8.33,10.26,64.2,143.71,62.76,21.56,1.4389927032476573,1.3280185741672823,1.274480286234353
MOZ,Mozambique,2016,8.13,9.04,8.63,55.26,10.95,11.09,68.88,150.0,69.15,18.58,2.951818648449348,0.5992495306631062,2.1386054646272017
MOZ,Mozambique,2017,6.5,6.82,11.58,56.54,9.16,14.82,69.24,150.0,70.76,21.87,1.8647341186703617,0.6601010023725714,1.2044915939930816
MOZ,Mozambique,2018,3.44,3.17,5.92,58.07,6.75,9.01,67.51,150.0,73.81,24.78,2.3810571881694345,1.4068522784334063,2.963888212017
MOZ,Mozambique,2019,2.42,7.98,5.55,60.24,10.6,6.75,64.67,150.0,70.06,23.41,2.123299319455456,1.859202337921628,2.510119519066771
MOZ,Mozambique,2020,-5.82,8.34,11.0,61.54,9.48,2.03,78.38,150.0,80.0,23.7,5.077492819624005,1.7530829986055672,2.8865954571663366
MOZ,Mozambique,2021,4.25,4.6,15.06,61.08,8.09,12.74,75.38,150.0,80.0,27.31,5.364255151773947,0.6591914238923442,2.0632337078802614
MOZ,Mozambique,2022,12.06,0.57,8.31,64.11,3.38,16.65,76.93,150.0,80.0,30.5,8.963773386991292,1.632860475770424,3.885901868721512
MOZ,Mozambique,2023,0.96,8.35,9.75,64.65,11.31,3.43,85.04,150.0,80.0,32.58,5.701318560941259,1.9242920776222852,3.89083966944583
MOZ,Mozambique,2024,4.32,5.68,8.34,65.9,6.82,8.03,87.4,150.0,80.0,24.86,5.692205196582426,0.9181684667495555,3.953256041965071
