Country_Code,Country_Name,Year,GDP_Growth,Inflation,Unemployment,Exchange_Rate,Interest_Rate,M2_Growth,Debt_to_GDP,Mobile_Subscriptions_per_100,Internet_Users_Percent,Secure_Servers_per_Million,GDP_Growth_Volatility,Exchange_Rate_Volatility,Inflation_Volatility
SEN,Senegal,2010,8.1,1.42,10.69,50.9,4.23,11.81,60.0,48.58,11.2,2.0,,,
SEN,Senegal,2011,4.06,2.65,13.55,50.7,4.36,6.9,61.73,129.47,58.32,14.34,2.8567113959936523,0.1414213562373039,0.8697413408594533
SEN,Senegal,2012,6.36,0.72,7.74,52.51,4.31,12.29,61.65,136.12,60.58,13.93,2.0264583226243107,0.9923205127376942,0.9770533932868424
SEN,Senegal,2013,6.4,2.96,7.44,54.1,4.37,8.99,63.43,143.2,61.5,20.21,1.3396019309232634,1.7011858609021353,1.2137133104650373
SEN,Senegal,2014,6.45,0.97,10.22,53.22,4.65,10.84,63.15,134.5,59.29,17.83,0.0450924975282304,0.7965132348764485,1.2274770873625298
SEN,Senegal,2015,5.7,0.74,13.05,54.62,3.36,11.7,66.5,149.17,60.77,17.53,0.4193248541803044,0.7076722405181742,1.220751134889226
SEN,Senegal,2016,7.04,3.45,11.25,56.45,7.32,11.88,64.58,145.05,69.03,19.17,0.67159015279658,1.6197633572017125,1.5026310259009028
SEN,Senegal,2017,6.12,3.08,8.02,57.81,6.47,7.84,73.92,150.0,70.22,23.56,0.6853709457901855,1.600760236054538,1.4695010491093
SEN,Senegal,2018,6.11,2.73,11.52,57.71,6.21,10.19,73.38,150.0,70.19,21.59,0.5340724045795042,0.7579797710581627,0.3600462933198073
SEN,Senegal,2019,5.64,1.59,9.12,59.51,3.93,11.81,76.91,150.0,76.47,24.0,0.2742869543622757,1.011599393699602,0.7791234390860878
SEN,Senegal,2020,0.42,1.96,17.31,60.01,5.42,8.18,78.02,150.0,80.0,26.2,3.1582009646843767,1.2096831541083075,0.5815783122962315
SEN,Senegal,2021,5.24,1.26,9.83,61.79,5.19,7.54,76.08,150.0,80.0,30.93,2.905190756789187,1.1983878059015298,0.3501904243884073
SEN,Senegal,2022,5.55,0.85,10.82,63.16,3.0,8.72,66.46,150.0,80.0,27.11,2.8764967118585982,1.5794408293233184,0.5612783029240778
SEN,Senegal,2023,3.3,0.85,8.65,65.04,3.0,7.86,78.58,150.0,80.0,26.62,1.219439762076557,1.631655600915921,0.236713610367745
SEN,Senegal,2024,5.91,0.94,5.6,65.45,3.0,9.74,77.7,150.0,80.0,30.82,1.4144610280951528,1.2211060560001952,0.0519615242270586
