time_s,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,PG11,PG12,PG13,PG14
-12.000000,0.033423,0.028155,0.039400,0.029446,0.034946,0.036480,0.037272,0.037936,0.033473,0.035624,0.028505,0.039756,0.040263,0.041718
-11.999941,0.016326,0.030686,0.013750,0.024872,0.017378,0.017098,0.027570,0.023821,0.007547,0.010133,0.018315,0.010267,0.020358,0.027549
-11.999884,0.027010,0.021940,0.019626,0.012139,0.015644,0.020095,0.007020,0.013026,0.012009,0.012971,0.013798,0.004039,0.014911,0.006118
-11.999825,-0.012867,-0.000097,-0.007389,-0.012261,-0.013524,-0.003092,-0.001257,-0.012796,-0.002669,-0.005030,0.011987,-0.004059,-0.009228,-0.001854
-11.999765,-0.021220,-0.010501,-0.004981,-0.010946,-0.010267,-0.006522,-0.004849,-0.005572,-0.007267,-0.002108,-0.018368,-0.014305,-0.018329,-0.004617
-11.999706,0.033937,0.024844,0.027611,0.029669,0.027509,0.028473,0.029188,0.026022,0.025336,0.035138,0.026491,0.036668,0.015108,0.031689
-11.999649,0.022409,0.020064,0.019824,0.029108,0.025348,0.031895,0.028588,0.029549,0.017505,0.027783,0.019565,0.020997,0.017000,0.019514
-11.999590,0.035904,0.036409,0.034194,0.034460,0.039319,0.029359,0.032987,0.034714,0.035328,0.032335,0.027887,0.034518,0.030020,0.036466
-11.999531,-0.012737,-0.017038,-0.014912,-0.022395,-0.017631,-0.017497,-0.021916,-0.009308,-0.023690,-0.003307,-0.009879,-0.022063,-0.014671,-0.018922
-11.999472,0.012392,0.001687,0.012535,0.005727,0.004673,0.001608,0.013796,0.008265,0.000332,0.008632,0.008969,-0.000806,0.016628,0.000859
-11.999414,-0.011572,-0.012019,-0.003332,-0.004809,0.001001,-0.005797,-0.006697,-0.018891,-0.002026,-0.010430,-0.018539,-0.003790,-0.009900,-0.017377
-11.999355,0.009085,0.013460,0.015740,0.002025,0.016253,0.015665,0.009181,0.013506,0.012319,0.008376,0.005816,0.001616,0.012153,0.008745
-11.999296,-0.038135,-0.015758,-0.035097,-0.035737,-0.034489,-0.025763,-0.039314,-0.026822,-0.038020,-0.029506,-0.035839,-0.023351,-0.042121,-0.031183
-11.999237,0.044833,0.038140,0.034457,0.037895,0.040455,0.033487,0.035750,0.034437,0.035342,0.042221,0.045044,0.041528,0.042282,0.038843
-11.999180,0.086832,0.072617,0.068511,0.072382,0.083775,0.076142,0.069698,0.074706,0.070464,0.064524,0.063409,0.067234,0.075053,0.073895
-11.999121,0.032079,0.019581,0.048248,0.030712,0.040014,0.028437,0.038084,0.042692,0.024296,0.038621,0.027923,0.025860,0.033853,0.037229
-11.999062,0.011516,0.017082,-0.010034,0.000202,0.016356,0.004188,0.007151,-0.000042,-0.001148,0.005780,-0.000089,0.004109,-0.009226,-0.001682
-11.999004,0.035053,0.039634,0.038121,0.032022,0.025252,0.034867,0.041380,0.042620,0.029196,0.040045,0.037310,0.034436,0.035232,0.032757
-11.998945,0.029961,0.035891,0.037172,0.040881,0.033146,0.020404,0.035582,0.037737,0.024214,0.040158,0.026333,0.038646,0.046791,0.039244
-11.998886,0.006136,-0.005070,0.023665,0.019371,0.004353,0.009614,0.016507,0.009180,0.018107,0.001954,0.021642,0.011019,0.004655,0.008331
