time_s,PG1,PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,PG11,PG12,PG13,PG14
5.000000,-0.040444,0.027537,0.011393,-0.042648,-0.001559,0.047856,-0.255899,-0.039432,-0.029222,-0.065480,0.044452,0.049021,0.007878,-0.048558
5.000099,0.044312,0.055441,0.002338,-0.016806,0.082643,-0.107923,-0.040918,-0.103974,-0.109690,0.036537,-0.071547,-0.102651,0.080801,-0.004823
5.000198,-0.007586,0.015322,-0.010122,-0.029482,-0.115596,-0.053771,0.174738,-0.142430,-0.132760,0.077220,-0.032775,-0.045396,-0.091011,-0.027290
5.000301,-0.002339,0.053334,-0.071798,0.076352,0.038153,-0.031519,0.113234,0.010877,0.009724,0.093443,-0.169088,-0.024006,0.038370,0.058652
5.000401,0.008531,0.010355,-0.036579,0.069170,-0.002611,0.139062,-0.045466,0.057762,0.056315,0.097569,-0.035743,0.124277,-0.002655,0.053083
5.000500,0.035358,0.076718,0.074569,0.096967,0.096476,0.092084,0.024489,0.094219,0.077816,0.023040,0.144949,0.078624,0.098145,0.086907
5.000599,0.081542,0.031919,0.083763,0.013556,0.094820,0.070438,0.111894,0.107768,0.091433,0.221883,0.103692,0.060570,0.100070,0.009098
5.000702,0.035780,0.032740,-0.026322,0.024828,-0.098434,0.064995,0.039211,-0.136044,-0.129175,-0.016225,-0.034846,0.048927,-0.097625,0.033800
5.000801,0.007980,0.006027,-0.015592,0.082353,-0.048512,-0.055968,0.087049,-0.118045,-0.104624,-0.101780,0.015885,-0.043165,-0.030884,0.077026
5.000900,0.025026,0.008644,-0.010429,-0.091661,-0.032500,-0.014648,0.033097,-0.121477,-0.139971,-0.109768,0.075876,-0.002945,-0.036692,-0.070136
5.000999,0.004860,-0.083455,0.026034,-0.001861,0.101853,-0.193171,0.162464,-0.085663,-0.071840,-0.030641,0.039967,-0.181070,0.088818,0.000291
5.001099,0.080010,-0.022996,0.066251,0.005303,0.078274,-0.030100,0.002432,0.060414,0.055466,0.050755,0.063846,-0.034530,0.080518,-0.001609
5.001202,-0.033486,0.032254,0.052376,0.063766,-0.003277,0.098256,-0.119755,0.018932,0.016608,0.044713,-0.020511,0.096370,-0.013060,0.047530
5.001301,0.020745,0.039670,-0.034933,0.067056,0.054875,0.069202,-0.104797,0.178201,0.176473,0.055073,0.136774,0.052297,0.039240,0.051568
5.001400,0.016974,0.023292,0.050689,-0.066005,-0.033683,0.007237,0.002903,-0.137699,-0.134995,-0.087507,0.019370,-0.002496,-0.022622,-0.061625
5.001499,-0.010263,-0.020941,0.049849,-0.045508,-0.024425,0.014804,0.043241,-0.111739,-0.104909,-0.096287,-0.064979,0.021643,-0.017394,-0.035097
5.001598,-0.053581,-0.015621,-0.071345,-0.034343,-0.135498,0.068430,0.065206,-0.105030,-0.104855,-0.103925,-0.080113,0.053239,-0.130627,-0.028525
5.001701,-0.019414,0.031373,0.006699,0.101836,-0.043319,0.034601,0.047144,0.026973,0.016949,-0.049570,-0.023799,0.034037,-0.015927,0.078074
5.001801,0.053241,0.057483,-0.011715,0.066153,0.115912,0.067119,-0.104365,0.138980,0.145907,0.039005,0.032733,0.051693,0.098163,0.048375
5.001900,0.049465,0.106219,0.117742,0.058627,0.084571,0.038499,-0.058244,0.173873,0.178897,0.071827,0.086927,0.049472,0.072757,0.055713
5.001999,-0.003460,-0.015007,0.049742,0.045718,-0.032445,0.138415,-0.111590,-0.113919,-0.117216,0.133668,0.046744,0.124255,-0.030306,0.034463
5.002102,0.008867,0.048727,-0.056599,-0.022840,0.031446,0.012919,-0.029119,0.056802,0.045734,-0.105770,-0.057850,0.024767,0.032078,-0.008565
5.002201,-0.029192,0.056665,-0.036575,-0.030676,0.024966,-0.084576,0.027941,-0.074265,-0.078493,-0.098301,-0.092816,-0.060304,0.042912,-0.028957
5.002300,0.032128,-0.061560,-0.044247,-0.133218,0.030966,-0.072087,0.032178,-0.043123,-0.071697,-0.099808,-0.085588,-0.079048,0.045488,-0.106449
5.002399,0.083772,0.047698,0.140786,0.029774,0.100705,0.034007,0.167697,0.035236,0.027669,0.075246,0.008177,0.027469,0.102539,0.025843
5.002499,0.079706,0.003816,0.070301,0.111542,0.021629,0.040397,-0.116907,0.270315,0.264503,0.127165,0.042452,0.028513,0.018671,0.106562
5.002602,-0.036212,0.060297,0.013603,0.036191,0.106116,0.042040,-0.099758,-0.028671,-0.027590,0.117105,0.024785,0.043985,0.091339,0.020699
5.002701,0.058175,0.088375,0.088273,0.009888,0.045038,0.072614,-0.050158,-0.010714,-0.011326,-0.057562,0.164857,0.066847,0.043880,0.019839
5.002800,0.042006,-0.084026,-0.050958,0.010434,-0.068601,-0.088889,0.019623,-0.021726,-0.040781,0.010417,-0.114859,-0.074220,-0.073939,0.003864
5.002899,-0.066459,-0.037033,-0.026074,0.041550,-0.067165,-0.074935,0.107667,-0.166800,-0.175335,-0.056987,-0.068422,-0.062254,-0.068367,0.035663
5.002998,0.025551,-0.038650,-0.113723,0.029701,-0.010897,-0.084550,0.108695,0.223741,0.236170,-0.051292,-0.070620,-0.085633,-0.009585,0.045752
5.003101,0.012147,0.094066,-0.004583,0.069563,0.056141,-0.013937,-0.079680,-0.005432,-0.001793,0.007816,0.040756,-0.012690,0.049292,0.066433
5.003201,0.103405,0.076748,0.126820,0.039065,0.070528,0.059392,0.053269,-0.027380,-0.023926,0.244367,0.121247,0.051084,0.074371,0.042036
5.003300,0.032450,0.009660,0.034750,0.100183,0.034573,0.029072,-0.048854,-0.067755,-0.075877,-0.018508,0.090629,0.021455,0.025499,0.072008
