layer,temperature_C,relative_density,youngs_modulus_GPa,poissons_ratio,measurement_method
electrolyte_8YSZ,25,0.60,120,0.23,nanoindentation
electrolyte_8YSZ,25,0.80,160,0.23,nanoindentation
electrolyte_8YSZ,25,0.92,185,0.23,impulse_excitation
electrolyte_8YSZ,25,0.99,200,0.23,resonant_ultrasound
electrolyte_8YSZ,800,0.60,100,0.23,nanoindentation
electrolyte_8YSZ,800,0.80,140,0.23,nanoindentation
electrolyte_8YSZ,800,0.92,165,0.23,impulse_excitation
electrolyte_8YSZ,800,0.99,170,0.23,resonant_ultrasound
electrolyte_8YSZ,1000,0.60,85,0.23,nanoindentation
electrolyte_8YSZ,1000,0.80,120,0.23,nanoindentation
electrolyte_8YSZ,1000,0.92,145,0.23,impulse_excitation
electrolyte_8YSZ,1000,0.99,155,0.23,resonant_ultrasound
anode_Ni-YSZ,25,0.55,25,0.29,nanoindentation
anode_Ni-YSZ,25,0.70,38,0.29,nanoindentation
anode_Ni-YSZ,25,0.85,48,0.29,impulse_excitation
anode_Ni-YSZ,25,0.95,55,0.29,resonant_ultrasound
anode_Ni-YSZ,800,0.55,12,0.29,nanoindentation
anode_Ni-YSZ,800,0.70,21,0.29,nanoindentation
anode_Ni-YSZ,800,0.85,27,0.29,impulse_excitation
anode_Ni-YSZ,800,0.95,29,0.29,resonant_ultrasound
anode_Ni-YSZ,1000,0.55,9,0.29,nanoindentation
anode_Ni-YSZ,1000,0.70,16,0.29,nanoindentation
anode_Ni-YSZ,1000,0.85,22,0.29,impulse_excitation
anode_Ni-YSZ,1000,0.95,24,0.29,resonant_ultrasound
cathode_LSM-YSZ,25,0.50,30,0.25,nanoindentation
cathode_LSM-YSZ,25,0.70,38,0.25,nanoindentation
cathode_LSM-YSZ,25,0.85,42,0.25,impulse_excitation
cathode_LSM-YSZ,25,0.95,45,0.25,resonant_ultrasound
cathode_LSM-YSZ,800,0.50,22,0.25,nanoindentation
cathode_LSM-YSZ,800,0.70,31,0.25,nanoindentation
cathode_LSM-YSZ,800,0.85,36,0.25,impulse_excitation
cathode_LSM-YSZ,800,0.95,40,0.25,resonant_ultrasound
cathode_LSM-YSZ,1000,0.50,18,0.25,nanoindentation
cathode_LSM-YSZ,1000,0.70,26,0.25,nanoindentation
cathode_LSM-YSZ,1000,0.85,32,0.25,impulse_excitation
cathode_LSM-YSZ,1000,0.95,35,0.25,resonant_ultrasound
interconnect_Crofer22APU,25,0.90,150,0.30,impulse_excitation
interconnect_Crofer22APU,25,0.97,160,0.30,resonant_ultrasound
interconnect_Crofer22APU,800,0.90,138,0.30,impulse_excitation
interconnect_Crofer22APU,800,0.97,140,0.30,resonant_ultrasound
interconnect_Crofer22APU,1000,0.90,128,0.30,impulse_excitation
interconnect_Crofer22APU,1000,0.97,132,0.30,resonant_ultrasound
