x_mm,y_mm,z_mm,method,sigma_xx_MPa,sigma_yy_MPa,sigma_xy_MPa,uncertainty_MPa
0.237,0.204,0.0,XRD,-15.7,-6.17,0.0,2.83
0.237,0.612,0.0,XRD,-13.92,0.13,-0.0,3.7
0.237,1.019,0.0,XRD,1.45,-14.6,0.0,3.74
0.237,1.427,0.0,XRD,-14.61,-6.37,0.0,5.06
0.237,1.835,0.0,XRD,-13.76,-9.94,0.0,5.12
0.237,2.242,0.0,XRD,-20.11,-25.08,-0.0,2.86
0.237,2.65,0.0,XRD,-27.3,-10.43,0.0,5.43
0.237,3.058,0.0,XRD,-29.41,-26.19,0.0,4.93
0.237,3.466,0.0,XRD,-16.97,-39.42,0.0,5.53
0.237,3.873,0.0,XRD,-40.79,-26.63,-0.0,6.2
0.237,4.281,0.0,XRD,-43.61,-27.05,-0.0,4.08
0.237,4.689,0.0,XRD,-40.94,-29.52,0.0,4.36
0.237,5.096,0.0,XRD,-43.54,-26.22,-0.0,6.59
0.237,5.504,0.0,XRD,-55.15,-20.59,-0.0,5.23
0.237,5.912,0.0,XRD,-29.62,-40.53,0.0,4.48
0.237,6.32,0.0,XRD,-48.47,-33.48,0.0,5.43
0.237,6.727,0.0,XRD,-20.04,-24.65,0.0,4.23
0.237,7.135,0.0,XRD,-28.26,-28.95,0.0,4.42
0.237,7.543,0.0,XRD,-25.98,-13.92,-0.0,5.46
0.237,7.951,0.0,XRD,-35.86,-18.55,0.0,5.74
0.237,8.358,0.0,XRD,-14.39,-14.11,-0.0,6.17
0.237,8.766,0.0,XRD,-19.77,-24.26,0.0,7.54
0.237,9.174,0.0,XRD,-2.5,-16.36,0.0,3.64
0.237,9.581,0.0,XRD,-5.17,-15.83,-0.0,4.57
0.237,9.989,0.0,XRD,-11.84,-14.91,0.0,2.02
0.711,0.204,0.0,XRD,0.36,-16.15,-0.0,4.41
0.711,0.612,0.0,XRD,-6.12,-10.69,-0.0,4.53
0.711,1.019,0.0,XRD,-17.99,-9.02,-0.0,4.45
0.711,1.427,0.0,XRD,-18.1,-16.98,0.0,4.27
0.711,1.835,0.0,XRD,-22.11,-26.15,-0.0,3.83
0.711,2.242,0.0,XRD,-33.12,-15.27,-0.0,4.56
0.711,2.65,0.0,XRD,-36.11,-26.36,0.0,4.75
0.711,3.058,0.0,XRD,-26.29,-27.73,-0.0,5.18
0.711,3.466,0.0,XRD,-33.72,-19.72,-0.0,4.94
0.711,3.873,0.0,XRD,-62.21,-26.62,0.0,5.59
0.711,4.281,0.0,XRD,-52.42,-30.12,-0.0,2.59
0.711,4.689,0.0,XRD,-52.96,-42.57,0.0,6.29
0.711,5.096,0.0,XRD,-56.28,-46.96,-0.0,5.8
0.711,5.504,0.0,XRD,-55.7,-36.62,0.0,6.05
0.711,5.912,0.0,XRD,-50.65,-31.09,0.0,4.37
0.711,6.32,0.0,XRD,-34.57,-34.73,-0.0,4.02
0.711,6.727,0.0,XRD,-48.02,-29.19,-0.0,5.58
0.711,7.135,0.0,XRD,-26.63,-30.69,-0.0,4.35
0.711,7.543,0.0,XRD,-28.85,-29.9,0.0,5.64
0.711,7.951,0.0,XRD,-37.29,-22.74,-0.0,5.44
0.711,8.358,0.0,XRD,-15.01,-25.01,-0.0,5.24
0.711,8.766,0.0,XRD,-21.97,-15.46,-0.0,5.54
0.711,9.174,0.0,XRD,-12.8,-16.42,0.0,5.7
0.711,9.581,0.0,XRD,-14.01,-15.5,-0.0,4.31
0.711,9.989,0.0,XRD,-8.07,-14.67,0.0,5.37
1.184,0.204,0.0,XRD,-17.98,-28.67,0.0,5.08
1.184,0.612,0.0,XRD,-16.98,-5.05,-0.0,6.37
1.184,1.019,0.0,XRD,-19.46,-19.95,-0.0,4.43
1.184,1.427,0.0,XRD,-19.0,-21.33,-0.0,5.52
1.184,1.835,0.0,XRD,-24.59,-29.2,0.0,4.48
1.184,2.242,0.0,XRD,-28.3,-33.12,-0.0,3.53
1.184,2.65,0.0,XRD,-39.9,-39.62,-0.0,6.97
1.184,3.058,0.0,XRD,-49.14,-25.01,-0.0,6.94
1.184,3.466,0.0,XRD,-40.07,-35.25,-0.0,5.24
1.184,3.873,0.0,XRD,-65.24,-53.23,-0.0,4.81
1.184,4.281,0.0,XRD,-62.61,-34.77,0.29,5.36
1.184,4.689,0.0,XRD,-70.69,-46.64,-0.01,3.68
1.184,5.096,0.0,XRD,-72.74,-44.08,-0.42,5.85
1.184,5.504,0.0,XRD,-81.74,-42.68,0.41,6.0
1.184,5.912,0.0,XRD,-68.18,-51.92,-0.14,5.46
1.184,6.32,0.0,XRD,-52.44,-34.19,0.0,6.16
1.184,6.727,0.0,XRD,-54.8,-45.19,0.0,3.82
1.184,7.135,0.0,XRD,-52.01,-39.13,0.0,5.49
1.184,7.543,0.0,XRD,-35.9,-36.17,0.0,4.61
1.184,7.951,0.0,XRD,-34.97,-28.63,0.0,5.95
1.184,8.358,0.0,XRD,-30.22,-27.69,0.0,5.83
1.184,8.766,0.0,XRD,-15.36,-15.43,-0.0,2.87
1.184,9.174,0.0,XRD,-3.25,-30.36,0.0,3.78
1.184,9.581,0.0,XRD,-0.22,-9.48,-0.0,5.08
1.184,9.989,0.0,XRD,-13.14,-0.94,-0.0,5.7
1.658,0.204,0.0,XRD,-17.76,-24.98,-0.0,2.55
1.658,0.612,0.0,XRD,-23.7,-15.79,0.0,5.85
1.658,1.019,0.0,XRD,-8.51,-29.17,-0.0,5.04
1.658,1.427,0.0,XRD,-37.23,-26.63,0.0,5.24
1.658,1.835,0.0,XRD,-32.44,-21.43,0.0,4.26
1.658,2.242,0.0,XRD,-44.1,-36.74,0.0,4.02
1.658,2.65,0.0,XRD,-49.83,-48.03,0.0,2.46
1.658,3.058,0.0,XRD,-47.92,-50.12,0.21,5.51
1.658,3.466,0.0,XRD,-79.3,-57.79,0.19,3.79
1.658,3.873,0.0,XRD,-69.13,-64.26,-0.35,4.71
1.658,4.281,0.0,XRD,-66.54,-64.56,2.6,6.77
1.658,4.689,0.0,XRD,-84.61,-58.49,-1.76,4.19
1.658,5.096,0.0,XRD,-92.83,-63.8,3.38,5.09
1.658,5.504,0.0,XRD,-70.58,-56.28,-1.41,5.02
1.658,5.912,0.0,XRD,-76.78,-52.83,0.75,7.27
1.658,6.32,0.0,XRD,-91.34,-66.45,-0.56,5.84
1.658,6.727,0.0,XRD,-79.56,-64.84,-0.98,5.95
1.658,7.135,0.0,XRD,-56.41,-52.25,0.05,4.81
1.658,7.543,0.0,XRD,-51.08,-42.56,0.0,4.99
1.658,7.951,0.0,XRD,-43.66,-38.94,0.0,6.28
1.658,8.358,0.0,XRD,-33.25,-32.85,-0.0,5.93
