time_min,temperature_C
0,25.0
1,29.11
2,33.23
3,37.34
4,41.45
5,45.56
6,49.68
7,53.79
8,57.9
9,62.01
10,66.13
11,70.24
12,74.35
13,78.46
14,82.58
15,86.69
16,90.8
17,94.92
18,99.03
19,103.14
20,107.25
21,111.37
22,115.48
23,119.59
24,123.7
25,127.82
26,131.93
27,136.04
28,140.15
29,144.27
30,148.38
31,152.49
32,156.61
33,160.72
34,164.83
35,168.94
36,173.06
37,177.17
38,181.28
39,185.39
40,189.51
41,193.62
42,197.73
43,201.84
44,205.96
45,210.07
46,214.18
47,218.3
48,222.41
49,226.52
50,230.63
51,234.75
52,238.86
53,242.97
54,247.08
55,251.2
56,255.31
57,259.42
58,263.53
59,267.65
60,271.76
61,275.87
62,279.99
63,284.1
64,288.21
65,292.32
66,296.44
67,300.55
68,304.66
69,308.77
70,312.89
71,317.0
72,321.11
73,325.22
74,329.34
75,333.45
76,337.56
77,341.67
78,345.79
79,349.9
80,354.01
81,358.13
82,362.24
83,366.35
84,370.46
85,374.58
86,378.69
87,382.8
88,386.91
89,391.03
90,395.14
91,399.25
92,403.36
93,407.48
94,411.59
95,415.7
96,419.82
97,423.93
98,428.04
99,432.15
100,436.27
101,440.38
102,444.49
103,448.6
104,452.72
105,456.83
106,460.94
107,465.05
108,469.17
109,473.28
110,477.39
111,481.51
112,485.62
113,489.73
114,493.84
115,497.96
116,502.07
117,506.18
118,510.29
119,514.41
120,518.52
121,522.63
122,526.74
123,530.86
124,534.97
125,539.08
126,543.2
127,547.31
128,551.42
129,555.53
130,559.65
131,563.76
132,567.87
133,571.98
134,576.1
135,580.21
136,584.32
137,588.43
138,592.55
139,596.66
140,600.77
141,604.89
142,609.0
143,613.11
144,617.22
145,621.34
146,625.45
147,629.56
148,633.67
149,637.79
150,641.9
151,646.01
152,650.12
153,654.24
154,658.35
155,662.46
156,666.58
157,670.69
158,674.8
159,678.91
160,683.03
161,687.14
162,691.25
163,695.36
164,699.48
165,703.59
166,707.7
167,711.81
168,715.93
169,720.04
170,724.15
171,728.27
172,732.38
173,736.49
174,740.6
175,744.72
176,748.83
177,752.94
178,757.05
179,761.17
180,765.28
181,769.39
182,773.5
183,777.62
184,781.73
185,785.84
186,789.96
187,794.07
188,798.18
189,802.29
190,806.41
191,810.52
192,814.63
193,818.74
194,822.86
195,826.97
196,831.08
197,835.19
198,839.31
199,843.42
200,847.53
201,851.64
202,855.76
203,859.87
204,863.98
205,868.1
206,872.21
207,876.32
208,880.43
209,884.55
