layer,temperature_C,density_kg_m3,porosity_fraction,binder_content_wt_pct,thermal_conductivity_W_mK,specific_heat_J_kgK,cte_1e-6_perK
anode_Ni-YSZ,25,3300,0.38,4.5,5.8,470,12.6
anode_Ni-YSZ,400,3300,0.38,3.1,5.2,490,12.8
anode_Ni-YSZ,600,3400,0.35,1.2,4.8,505,13.0
anode_Ni-YSZ,800,3600,0.30,0.3,4.5,520,13.1
anode_Ni-YSZ,1000,4000,0.22,0.1,4.2,540,13.2
anode_Ni-YSZ,1200,4200,0.18,0.0,3.9,560,13.3
electrolyte_8YSZ,25,4100,0.30,2.2,2.10,450,10.0
electrolyte_8YSZ,400,4100,0.30,0.9,2.15,500,10.2
electrolyte_8YSZ,600,4300,0.26,0.2,2.20,550,10.4
electrolyte_8YSZ,800,4700,0.18,0.0,2.30,600,10.5
electrolyte_8YSZ,1000,5200,0.10,0.0,2.40,650,10.6
electrolyte_8YSZ,1200,5600,0.05,0.0,2.50,700,10.7
cathode_LSM-YSZ,25,3600,0.45,5.0,3.20,420,11.4
cathode_LSM-YSZ,400,3600,0.45,3.5,3.10,440,11.6
cathode_LSM-YSZ,600,3700,0.40,1.8,3.00,460,11.8
cathode_LSM-YSZ,800,3850,0.35,0.4,2.80,480,12.0
cathode_LSM-YSZ,1000,4050,0.28,0.1,2.60,510,12.1
cathode_LSM-YSZ,1200,4300,0.22,0.0,2.40,540,12.2
interconnect_Crofer22APU,25,7600,0.07,0.5,18.0,460,11.2
interconnect_Crofer22APU,400,7600,0.05,0.2,20.0,480,11.4
interconnect_Crofer22APU,600,7600,0.03,0.0,21.0,500,11.6
interconnect_Crofer22APU,800,7600,0.02,0.0,22.0,520,11.8
interconnect_Crofer22APU,1000,7600,0.015,0.0,23.0,540,12.0
interconnect_Crofer22APU,1200,7600,0.010,0.0,24.0,560,12.2
