temperature_C,mass_pct,d_mass_pct_per_C
25,100.104,0.0
30,100.056,-0.00956
35,100.045,-0.00227
40,100.095,0.01007
45,99.968,-0.02548
50,99.978,0.00201
55,100.057,0.01579
60,99.962,-0.01892
65,99.911,-0.01024
70,100.016,0.02095
75,100.037,0.00419
80,99.963,-0.01467
85,99.888,-0.01496
90,99.867,-0.00436
95,99.789,-0.01543
100,99.64,-0.02988
105,99.656,0.00312
110,99.471,-0.03687
115,99.267,-0.04086
120,99.148,-0.02385
125,99.063,-0.017
130,98.724,-0.06784
135,98.442,-0.05624
140,98.42,-0.00455
145,98.099,-0.0642
150,97.709,-0.07799
155,97.62,-0.01779
160,97.441,-0.03576
165,97.153,-0.05754
170,96.974,-0.03575
175,96.841,-0.02658
180,96.88,0.00761
185,96.947,0.01343
190,96.811,-0.02707
195,96.597,-0.04279
200,96.452,-0.02906
205,96.664,0.0424
210,96.401,-0.05258
215,96.221,-0.036
220,96.216,-0.00094
225,96.013,-0.04079
230,95.84,-0.03449
235,95.539,-0.06027
240,95.316,-0.04461
245,94.816,-0.10003
250,94.179,-0.12725
255,93.124,-0.21114
260,92.206,-0.18346
265,90.773,-0.28672
270,88.78,-0.39855
275,86.627,-0.43069
280,83.98,-0.52934
285,80.797,-0.6366
290,77.17,-0.72537
295,73.249,-0.7843
300,69.04,-0.84174
305,65.113,-0.78537
310,61.046,-0.81334
315,57.457,-0.71789
320,54.478,-0.59576
325,51.629,-0.56971
330,49.36,-0.45383
335,47.772,-0.31772
340,46.295,-0.29542
345,45.203,-0.2184
350,44.146,-0.21142
355,43.676,-0.09386
360,43.279,-0.07949
365,42.866,-0.08249
370,42.483,-0.07657
375,42.387,-0.01939
380,42.23,-0.03125
385,42.023,-0.04154
390,41.919,-0.02062
395,41.958,0.00769
400,41.772,-0.03712
405,41.763,-0.00181
410,41.614,-0.02981
415,41.698,0.01686
420,41.759,0.01205
425,41.459,-0.05987
430,41.379,-0.01598
435,41.491,0.0223
440,41.298,-0.03853
445,41.367,0.01379
450,41.198,-0.03391
455,41.054,-0.02866
460,40.637,-0.08345
465,40.453,-0.03683
470,40.042,-0.08214
475,39.45,-0.11854
480,38.892,-0.11159
485,38.309,-0.11658
490,37.447,-0.17234
495,36.438,-0.20184
500,35.545,-0.17849
505,34.65,-0.17902
510,33.791,-0.17197
515,32.992,-0.1598
520,32.312,-0.13594
525,31.727,-0.11688
530,31.174,-0.11074
535,30.892,-0.05629
540,30.543,-0.06985
545,30.222,-0.06415
550,29.95,-0.05453
555,29.812,-0.02746
560,29.812,-4e-05
565,29.848,0.00712
570,29.816,-0.00635
575,29.515,-0.06022
580,29.549,0.00687
585,29.637,0.01756
590,29.589,-0.00957
595,29.45,-0.02792
600,29.608,0.03167
605,29.644,0.0073
610,29.617,-0.0054
615,29.518,-0.01994
620,29.425,-0.01858
625,29.607,0.0365
630,29.558,-0.00996
635,29.553,-0.00098
640,29.421,-0.02627
645,29.502,0.0162
650,29.423,-0.01591
655,29.561,0.02763
660,29.492,-0.01389
665,29.472,-0.00394
670,29.391,-0.01612
675,29.656,0.05296
680,29.381,-0.05502
685,29.484,0.02069
690,29.389,-0.01899
695,29.384,-0.00106
700,29.507,0.02466
705,29.633,0.02514
710,29.612,-0.00417
715,29.385,-0.04542
720,29.592,0.04146
725,29.493,-0.01992
730,29.552,0.01178
735,29.462,-0.01801
740,29.471,0.00195
745,29.593,0.02422
750,29.496,-0.01937
755,29.428,-0.01348
760,29.467,0.00781
765,29.462,-0.00098
770,29.617,0.0309
775,29.388,-0.04573
780,29.651,0.05258
785,29.566,-0.01707
790,29.65,0.01676
795,29.515,-0.02695
800,29.376,-0.02771
