temperature_c,mass_fraction,dtg
25.00,0.995097,-0.002424
25.44,0.996158,-0.000631
25.88,0.995649,-0.006077
26.31,1.001478,-0.010166
26.75,1.004549,0.005078
27.19,0.997032,0.010283
27.63,0.995547,0.004424
28.06,0.993159,-0.002154
28.50,0.997432,-0.010774
28.94,1.002592,0.001971
29.38,0.995707,0.001403
29.81,1.001363,0.002173
30.25,0.993805,0.003683
30.69,0.998138,-0.006705
31.13,0.999674,-0.004139
31.57,1.001762,0.000358
32.00,0.999361,-0.001209
32.44,1.002820,-0.000905
32.88,1.000153,0.003406
33.32,0.999838,0.001712
33.75,0.998654,0.004126
34.19,0.996225,-0.002444
34.63,1.000794,0.001909
35.07,0.994554,0.008571
35.51,0.993291,-0.007044
35.94,1.000721,-0.008820
36.38,1.001013,0.005255
36.82,0.996120,0.006974
37.26,0.994907,-0.005309
37.69,1.000768,-0.007530
38.13,1.001499,0.000640
38.57,1.000208,0.004118
39.01,0.997895,0.005161
39.44,0.995690,-0.011719
39.88,1.008154,-0.005924
40.32,1.000875,0.015319
40.76,0.994743,0.006946
41.20,0.994795,-0.002762
41.63,0.997160,-0.002387
42.07,0.996884,-0.003870
42.51,1.000549,0.000731
42.95,0.996244,0.006027
43.38,0.995272,-0.001138
43.82,0.997240,-0.003773
44.26,0.998575,-0.002932
44.70,0.999807,-0.002277
45.14,1.000568,0.002556
45.57,0.997569,0.001872
46.01,0.998929,-0.001063
46.45,0.998500,0.000470
46.89,0.998517,-0.004261
47.32,1.002230,0.005814
47.76,0.993428,0.008124
48.20,0.995118,-0.000725
48.64,0.994062,-0.004379
49.07,0.998951,-0.004948
49.51,0.998393,-0.001024
49.95,0.999848,-0.000368
50.39,0.998716,0.001724
50.83,0.998339,0.000007
51.26,0.998710,0.008552
51.70,0.990852,0.002361
52.14,0.996643,-0.002204
52.58,0.992781,0.001362
53.01,0.995451,0.000575
53.45,0.992278,-0.004344
53.89,0.999254,-0.004712
54.33,0.996404,0.003793
54.76,0.995933,0.005893
55.20,0.991245,0.002111
55.64,0.994085,-0.003675
56.08,0.994462,0.001262
56.52,0.992980,-0.002391
56.95,0.996555,-0.003312
57.39,0.995879,0.000601
57.83,0.996029,0.007294
58.27,0.989494,0.003110
58.70,0.993307,-0.006097
59.14,0.994831,0.001045
59.58,0.992392,-0.004412
60.02,0.998694,0.002373
60.46,0.990314,0.011075
60.89,0.988998,-0.004354
61.33,0.994125,-0.014095
61.77,1.001338,0.007645
62.21,0.987433,0.007565
62.64,0.994715,0.002319
63.08,0.985402,-0.001199
63.52,0.995765,-0.012768
63.96,0.996580,0.000820
64.39,0.995047,0.000285
64.83,0.996330,0.000677
65.27,0.994454,0.002117
65.71,0.994477,-0.001241
66.15,0.995540,0.003171
66.58,0.991701,0.003117
67.02,0.992811,0.001550
67.46,0.990344,-0.001264
67.90,0.993917,0.004881
68.33,0.986071,0.000720
68.77,0.993287,-0.008514
69.21,0.993524,0.002071
69.65,0.991474,0.003633
70.09,0.990344,0.004165
70.52,0.987827,0.001473
70.96,0.989054,-0.002235
71.40,0.989784,0.004986
71.84,0.984689,0.001927
72.27,0.988097,-0.005189
72.71,0.989232,-0.001822
73.15,0.989692,-0.005807
73.59,0.994315,-0.004281
74.02,0.993440,0.008156
74.46,0.987175,0.002769
74.90,0.991016,0.000593
75.34,0.986656,0.006389
75.78,0.985423,0.000064
76.21,0.986600,-0.000674
76.65,0.986013,0.002547
77.09,0.984371,0.003669
77.53,0.982801,-0.006758
77.96,0.990286,-0.006742
78.40,0.988703,0.006627
78.84,0.984484,0.001211
79.28,0.987643,-0.002267
79.71,0.986469,0.000420
80.15,0.987275,0.005691
80.59,0.981487,0.006197
81.03,0.981850,0.003594
81.47,0.978341,-0.004074
81.90,0.985416,-0.000198
82.34,0.978514,0.006107
82.78,0.980070,0.000486
83.22,0.978088,-0.001413
83.65,0.981307,0.001759
84.09,0.976548,0.005226
84.53,0.976733,-0.003762
84.97,0.979841,-0.002921
85.41,0.979290,-0.004153
85.84,0.983477,-0.002586
86.28,0.981554,0.004213
86.72,0.979789,0.002787
87.16,0.979114,0.004673
87.59,0.975698,0.006091
88.03,0.973782,0.004551
88.47,0.971714,-0.002414
88.91,0.975895,0.000287
89.34,0.971462,0.003775
89.78,0.972590,-0.009257
90.22,0.979567,-0.003336
90.66,0.975511,-0.000895
91.10,0.980350,-0.003632
91.53,0.978690,0.009318
91.97,0.972193,0.009003
92.41,0.970808,0.001305
92.85,0.971051,-0.009397
93.28,0.979034,-0.001992
93.72,0.972795,0.013047
94.16,0.967612,-0.001723
94.60,0.974303,-0.011522
95.04,0.977699,-0.000807
95.47,0.975010,0.007789
95.91,0.970881,0.001457
96.35,0.973734,-0.003943
96.79,0.974333,0.003045
97.22,0.971068,0.005028
97.66,0.969931,0.004050
98.10,0.967523,0.003624
98.54,0.966758,-0.003463
98.97,0.970555,-0.005613
99.41,0.971672,-0.000191
99.85,0.970722,0.014356
100.29,0.959104,-0.003016
100.73,0.973362,-0.009664
101.16,0.967564,0.008837
101.60,0.965626,0.009844
102.04,0.958946,-0.006733
102.48,0.971520,-0.003917
102.91,0.962376,0.009413
103.35,0.963279,-0.000266
103.79,0.962609,0.002681
104.23,0.960933,-0.005390
104.66,0.967327,-0.005828
105.10,0.966035,0.006152
105.54,0.961942,0.003240
105.98,0.963198,0.002866
106.42,0.959433,-0.004699
106.85,0.967312,0.000395
107.29,0.959088,0.004964
107.73,0.962966,-0.006883
108.17,0.965114,-0.002695
108.60,0.965326,0.000161
109.04,0.964973,0.001526
109.48,0.963990,0.006954
109.92,0.958885,0.005182
110.36,0.959453,-0.002811
110.79,0.961345,-0.005912
111.23,0.964629,0.000740
111.67,0.960697,0.007637
112.11,0.957944,0.003040
112.54,0.958036,0.001866
112.98,0.956310,-0.001396
113.42,0.959258,-0.008754
113.86,0.963974,0.003469
114.29,0.956222,-0.001581
114.73,0.965358,-0.000144
115.17,0.956347,0.009533
115.61,0.957012,-0.005703
116.05,0.961340,-0.000217
116.48,0.957203,-0.003169
116.92,0.964114,-0.006645
117.36,0.963020,0.010527
117.80,0.954898,0.008335
118.23,0.955723,-0.004906
118.67,0.959193,0.001126
119.11,0.954737,0.003452
119.55,0.956171,-0.009489
119.98,0.963044,-0.003162
120.42,0.958939,0.001599
120.86,0.961644,0.003029
121.30,0.956287,-0.000931
121.74,0.962459,0.004290
122.17,0.952531,0.002906
122.61,0.959916,-0.013042
123.05,0.963949,0.008892
123.49,0.952132,0.005158
123.92,0.959433,-0.005642
124.36,0.957071,0.005182
124.80,0.954897,0.001186
125.24,0.956033,0.004671
125.68,0.950808,0.004464
126.11,0.952125,-0.009087
126.55,0.958762,-0.004708
126.99,0.956246,0.001387
127.43,0.957548,-0.000470
127.86,0.956658,0.002680
128.30,0.955202,0.002437
128.74,0.954525,0.003914
129.18,0.951775,0.001795
129.61,0.952954,-0.002617
130.05,0.954066,0.001492
130.49,0.951648,-0.000563
