temperature_c,mass_fraction,dtg
25.00,1.000788,0.000150
25.44,1.000722,-0.004272
25.88,1.004527,0.002467
26.31,0.998562,0.001855
26.75,1.002904,-0.000823
27.19,0.999283,0.004227
27.63,0.999203,-0.004577
28.06,1.003290,-0.005131
28.50,1.003695,0.007641
28.94,0.996600,0.004962
29.38,0.999351,-0.009581
29.81,1.004987,-0.006837
30.25,1.005336,0.007122
30.69,0.998753,0.013244
31.13,0.993742,-0.001359
31.57,0.999943,-0.003236
32.00,0.996575,0.000295
32.44,0.999685,-0.000263
32.88,0.996806,-0.001704
33.32,1.001177,-0.002091
33.75,0.998636,-0.002138
34.19,1.003049,0.001864
34.63,0.997004,0.007146
35.07,0.996793,0.001399
35.51,0.995779,0.003117
35.94,0.994064,0.000731
36.38,0.995139,-0.004709
36.82,0.998187,-0.007383
37.26,1.001603,-0.003849
37.69,1.001556,0.005842
38.13,0.996488,0.007557
38.57,0.994940,-0.002136
39.01,0.998358,-0.001809
39.44,0.996523,0.004064
39.88,0.994800,-0.006072
40.32,1.001839,-0.005479
40.76,0.999597,0.009591
41.20,0.993442,0.008122
41.63,0.992487,-0.007125
42.07,0.999679,-0.005764
42.51,0.997533,0.004688
42.95,0.995575,0.000222
43.38,0.997339,-0.004282
43.82,0.999324,0.004082
44.26,0.993765,0.008216
44.70,0.992131,-0.000233
45.14,0.993969,-0.007524
45.57,0.998717,-0.006569
46.01,0.999720,0.005881
46.45,0.993569,-0.000896
46.89,1.000504,-0.006718
47.32,0.999450,0.001684
47.76,0.999029,0.002412
48.20,0.997339,0.001441
48.64,0.997768,-0.001439
49.07,0.998599,-0.000882
49.51,0.998541,0.007599
49.95,0.991946,0.004660
50.39,0.994461,-0.008793
50.83,0.999644,-0.003664
51.26,0.997669,0.005936
51.70,0.994448,-0.004945
52.14,1.001999,0.000884
52.58,0.993674,0.012418
53.01,0.991128,0.000499
53.45,0.993237,-0.000438
53.89,0.991512,-0.003090
54.33,0.995942,-0.002165
54.76,0.993407,0.002733
55.20,0.993550,0.001116
55.64,0.992430,0.000749
56.08,0.992894,-0.007428
56.52,0.998933,-0.001840
56.95,0.994505,0.001799
57.39,0.997358,-0.004172
57.83,0.998158,0.002462
58.27,0.995203,0.010874
58.70,0.988638,0.001580
59.14,0.993820,-0.002240
59.58,0.990598,0.007511
60.02,0.987244,-0.007464
60.46,0.997133,-0.005790
60.89,0.992313,0.007565
61.33,0.990510,0.001840
61.77,0.990703,-0.001258
62.21,0.991611,-0.000376
62.64,0.991031,0.004510
63.08,0.987663,-0.001014
63.52,0.991919,-0.002835
63.96,0.990145,-0.000799
64.39,0.992619,-0.000118
64.83,0.990248,0.008344
65.27,0.985314,-0.001932
65.71,0.991939,-0.010143
66.15,0.994194,0.004876
66.58,0.987670,0.006313
67.02,0.988667,-0.003024
67.46,0.990318,0.002010
67.90,0.986908,-0.002992
68.33,0.992937,0.001084
68.77,0.985959,0.007004
69.21,0.986806,0.000161
69.65,0.985818,0.004129
70.09,0.983191,-0.002322
70.52,0.987850,-0.003208
70.96,0.985999,-0.004017
71.40,0.991367,-0.001368
71.84,0.987197,0.005679
72.27,0.986395,-0.000915
72.71,0.987999,0.002502
73.15,0.984205,0.005416
73.59,0.983258,0.002211
74.02,0.982270,-0.004435
74.46,0.987140,-0.004792
74.90,0.986465,0.009519
75.34,0.978806,0.000012
75.78,0.986455,0.000318
76.21,0.978528,0.001422
76.65,0.985210,-0.005207
77.09,0.983086,0.002040
77.53,0.983424,0.005007
77.96,0.978703,0.006906
78.40,0.977379,-0.001421
78.84,0.979947,-0.002072
79.28,0.979193,0.001604
79.71,0.978543,0.001120
80.15,0.978212,-0.003043
80.59,0.981207,0.000980
81.03,0.977354,0.009568
81.47,0.972831,-0.000887
81.90,0.978131,0.001032
82.34,0.971927,0.003929
82.78,0.974692,-0.010766
83.22,0.981352,-0.005716
83.65,0.979696,0.007922
84.09,0.974417,0.007413
84.53,0.973207,0.000989
84.97,0.973551,0.002795
85.41,0.970760,-0.000365
85.84,0.973871,-0.003613
86.28,0.973922,-0.002870
86.72,0.976384,0.000750
87.16,0.973265,0.002280
87.59,0.974387,0.002084
88.03,0.971441,0.008950
88.47,0.966552,0.000902
88.91,0.970651,0.000514
89.34,0.966103,0.001726
89.78,0.969141,-0.002175
90.22,0.968006,-0.000317
90.66,0.969418,-0.001154
91.10,0.969016,-0.003319
91.53,0.972324,0.008875
91.97,0.961247,0.007380
92.41,0.965863,-0.005843
92.85,0.966362,-0.009369
93.28,0.974065,-0.000124
93.72,0.966471,0.009477
94.16,0.965769,0.000766
94.60,0.965800,-0.004003
95.04,0.969273,0.000037
95.47,0.965768,0.005356
95.91,0.964584,0.003790
96.35,0.962451,0.004397
96.79,0.960735,0.003419
97.22,0.959458,-0.005558
97.66,0.965601,0.003257
98.10,0.956607,0.000986
98.54,0.964737,-0.009999
98.97,0.965360,0.005555
99.41,0.959874,0.000109
99.85,0.965264,0.000238
100.29,0.959666,0.004712
100.73,0.961139,0.000971
101.16,0.958816,0.001716
101.60,0.959636,-0.001237
102.04,0.959899,-0.004183
102.48,0.963298,0.003941
102.91,0.956449,0.008696
103.35,0.955685,-0.004998
103.79,0.960825,0.001834
104.23,0.954079,0.004295
104.66,0.957065,-0.000321
105.10,0.954360,0.000597
105.54,0.956542,0.000572
105.98,0.953860,0.006473
106.42,0.950876,-0.000253
106.85,0.954081,-0.007363
107.29,0.957322,0.003848
107.73,0.950712,-0.003634
108.17,0.960503,-0.004436
108.60,0.954596,0.013750
109.04,0.948466,0.003020
109.48,0.951952,0.001327
109.92,0.947305,-0.007168
110.36,0.958227,-0.005070
110.79,0.951743,0.008052
111.23,0.951178,0.003399
111.67,0.948768,0.003132
112.11,0.948436,-0.000906
112.54,0.949561,-0.003991
112.98,0.951930,0.006898
113.42,0.943522,0.001629
113.86,0.950504,-0.011777
114.29,0.953832,0.000677
114.73,0.949911,0.009170
115.17,0.945804,0.001289
115.61,0.948783,-0.002212
116.05,0.947740,0.000453
116.48,0.948386,-0.001298
116.92,0.948877,0.003634
117.36,0.945205,-0.000676
117.80,0.949468,-0.003891
118.23,0.948611,0.004444
118.67,0.945578,0.001887
119.11,0.946959,-0.000288
119.55,0.945830,-0.002397
119.98,0.949057,-0.002440
120.42,0.947966,0.006103
