two_theta,intensity
5.0000,0.054366
5.0138,0.080836
5.0275,0.097444
5.0413,0.078407
5.0550,0.076619
5.0688,0.016694
5.0825,0.074463
5.0963,0.042000
5.1100,0.033418
5.1238,0.051005
5.1375,0.080463
5.1513,0.072995
5.1650,0.089228
5.1788,0.048342
5.1925,0.063624
5.2063,0.055708
5.2201,0.045802
5.2338,0.088756
5.2476,0.090200
5.2613,0.056576
5.2751,0.051116
5.2888,0.012821
5.3026,0.014624
5.3163,0.110777
5.3301,0.062881
5.3438,0.068551
5.3576,0.059911
5.3713,0.041163
5.3851,0.083923
5.3988,0.055810
5.4126,0.056422
5.4264,0.063037
5.4401,0.048730
5.4539,0.090562
5.4676,0.075435
5.4814,0.058374
5.4951,0.061847
5.5089,0.064328
5.5226,0.072546
5.5364,0.015589
5.5501,0.050940
5.5639,0.055406
5.5776,0.037422
5.5914,0.092249
5.6052,0.044539
5.6189,0.096562
5.6327,0.064497
5.6464,0.075626
5.6602,0.066461
5.6739,0.104067
5.6877,0.074459
5.7014,0.040348
5.7152,0.088922
5.7289,0.054168
5.7427,0.051929
5.7564,0.090360
5.7702,0.058902
5.7839,0.075368
5.7977,0.036444
5.8115,0.038350
5.8252,0.062213
5.8390,0.067653
5.8527,0.090481
5.8665,0.062065
5.8802,0.044860
5.8940,0.035907
5.9077,0.033778
5.9215,0.055037
5.9352,0.036281
5.9490,0.111910
5.9627,0.085295
5.9765,0.074546
5.9902,0.030525
6.0040,0.081669
6.0178,0.023252
6.0315,0.058079
6.0453,0.082879
6.0590,0.066159
6.0728,0.066592
6.0865,0.021408
6.1003,0.060475
6.1140,0.074328
6.1278,0.062209
6.1415,0.044273
6.1553,0.053610
6.1690,0.108756
6.1828,0.089083
6.1965,0.079639
6.2103,0.045650
6.2241,0.066472
6.2378,0.052890
6.2516,0.067581
6.2653,0.087757
6.2791,0.048344
6.2928,0.063244
6.3066,0.077726
6.3203,0.064448
6.3341,0.070393
6.3478,0.074340
6.3616,0.061890
6.3753,0.075653
6.3891,0.069622
6.4029,0.034037
6.4166,0.078575
6.4304,0.063853
6.4441,0.065459
6.4579,0.064624
6.4716,0.112709
6.4854,0.058007
6.4991,0.054596
6.5129,0.056166
6.5266,0.062408
6.5404,0.070599
6.5541,0.084858
6.5679,0.048259
6.5816,0.055347
6.5954,0.028812
