two_theta,intensity
5.0000,0.061990
5.0138,0.057020
5.0275,0.058590
5.0413,0.070556
5.0550,0.044126
5.0688,0.019707
5.0825,0.060956
5.0963,0.088990
5.1100,0.080991
5.1238,0.079257
5.1375,0.087329
5.1513,0.046044
5.1650,0.065974
5.1788,0.078773
5.1925,0.042723
5.2063,0.088194
5.2201,0.080362
5.2338,0.111582
5.2476,0.109319
5.2613,0.078188
5.2751,0.076246
5.2888,0.062024
5.3026,0.060163
5.3163,0.063402
5.3301,0.067388
5.3438,0.103408
5.3576,0.066184
5.3713,0.104573
5.3851,0.072601
5.3988,0.086642
5.4126,0.072519
5.4264,0.095703
5.4401,0.061426
5.4539,0.040545
5.4676,0.049821
5.4814,0.086808
5.4951,0.049785
5.5089,0.086639
5.5226,0.072598
5.5364,0.060046
5.5501,0.025213
5.5639,0.044366
5.5776,0.046125
5.5914,0.081264
5.6052,0.105085
5.6189,0.074897
5.6327,0.083875
5.6464,0.065278
5.6602,0.045164
5.6739,0.093307
5.6877,0.066657
5.7014,0.062637
5.7152,0.050188
5.7289,0.043275
5.7427,0.057270
5.7564,0.058695
5.7702,0.067249
5.7839,0.054002
5.7977,0.061057
5.8115,0.074001
5.8252,0.041915
5.8390,0.046862
5.8527,0.096401
5.8665,0.023634
5.8802,0.080120
5.8940,0.058203
5.9077,0.102721
5.9215,0.005782
5.9352,0.101708
5.9490,0.038705
5.9627,0.067983
5.9765,0.094855
5.9902,0.077203
6.0040,0.066216
6.0178,0.048624
6.0315,0.082318
6.0453,0.046138
6.0590,0.045623
6.0728,0.013817
6.0865,0.066538
6.1003,0.076047
6.1140,0.040468
6.1278,0.052998
6.1415,0.044976
6.1553,0.042869
6.1690,0.067506
6.1828,0.043285
6.1965,0.088604
6.2103,0.070773
6.2241,0.042821
6.2378,0.037153
6.2516,0.089634
6.2653,0.037145
6.2791,0.060992
6.2928,0.064478
6.3066,0.080042
6.3203,0.051301
6.3341,0.078134
6.3478,0.062683
6.3616,0.101628
6.3753,0.065437
6.3891,0.081679
6.4029,0.060596
6.4166,0.066253
6.4304,0.087366
6.4441,0.072427
6.4579,0.049309
6.4716,0.054855
6.4854,0.070627
6.4991,0.071315
6.5129,0.027811
6.5266,0.101051
6.5404,0.042272
6.5541,0.048312
6.5679,0.037277
6.5816,0.030641
6.5954,0.040369
6.6092,0.078255
6.6229,0.081873
6.6367,0.047125
6.6504,0.086090
6.6642,0.099167
6.6779,0.062940
6.6917,0.041348
6.7054,0.035705
6.7192,0.051802
6.7329,0.078437
6.7467,0.065507
6.7604,0.078183
6.7742,0.040558
6.7879,0.093868
6.8017,0.059890
6.8155,0.036590
6.8292,0.074940
6.8430,0.064208
6.8567,0.035244
6.8705,0.046830
6.8842,0.044831
6.8980,0.061837
6.9117,0.069637
6.9255,0.073638
6.9392,0.055673
6.9530,0.054091
6.9667,0.074040
6.9805,0.057397
6.9942,0.066844
7.0080,0.092525
7.0218,0.098774
7.0355,0.060914
7.0493,0.064579
7.0630,0.066489
7.0768,0.112959
7.0905,0.045870
7.1043,0.054591
7.1180,0.030898
7.1318,0.045627
7.1455,0.080618
7.1593,0.076148
7.1730,0.047364
7.1868,0.086297
7.2006,0.052241
7.2143,0.041433
7.2281,0.065171
7.2418,0.082663
7.2556,0.096587
7.2693,0.079985
7.2831,0.061854
7.2968,0.066910
7.3106,0.083325
7.3243,0.108360
7.3381,0.093794
7.3518,0.041420
7.3656,0.107324
7.3793,0.088945
7.3931,0.055825
7.4069,0.068872
7.4206,0.087876
7.4344,0.057236
7.4481,0.071235
7.4619,0.086064
7.4756,0.069296
7.4894,0.034861
7.5031,0.068028
7.5169,0.086803
7.5306,0.068387
7.5444,0.058421
7.5581,0.042820
7.5719,0.074281
7.5856,0.088634
7.5994,0.091665
7.6132,0.054419
7.6269,0.063166
7.6407,0.085852
7.6544,0.057096
7.6682,0.032547
7.6819,0.081405
7.6957,0.048523
7.7094,0.062204
7.7232,0.069248
7.7369,0.029892
7.7507,0.077614
7.7644,0.051788
7.7782,0.071954
7.7919,0.074810
7.8057,0.103598
7.8195,0.075006
7.8332,0.065022
7.8470,0.097113
7.8607,0.095517
7.8745,0.046577
7.8882,0.065927
7.9020,0.014461
7.9157,0.106647
7.9295,0.055172
7.9432,0.046867
7.9570,0.083348
7.9707,0.066461
7.9845,0.084859
7.9982,0.040071
8.0120,0.046176
8.0258,0.079623
8.0395,0.065036
8.0533,0.069632
8.0670,0.094808
8.0808,0.068939
8.0945,0.062540
8.1083,0.074580
8.1220,0.064630
8.1358,0.077367
8.1495,0.097643
8.1633,0.078768
8.1770,0.042187
8.1908,0.072816
8.2046,0.047881
8.2183,0.092459
8.2321,0.065346
8.2458,0.108642
8.2596,0.073788
8.2733,0.039240
8.2871,0.057632
8.3008,0.067259
8.3146,0.059514
8.3283,0.056092
8.3421,0.084298
8.3558,0.068036
8.3696,0.066380
8.3833,0.078421
8.3971,0.091282
8.4109,0.070878
8.4246,0.076534
8.4384,0.059284
8.4521,0.047768
8.4659,0.079591
8.4796,0.085665
8.4934,0.043067
8.5071,0.095606
8.5209,0.030876
8.5346,0.039991
8.5484,0.064968
8.5621,0.035737
8.5759,0.056777
8.5896,0.077276
8.6034,0.066145
8.6172,0.064423
8.6309,0.087842
8.6447,0.082974
8.6584,0.053616
8.6722,0.078774
8.6859,0.032428
8.6997,0.052396
8.7134,0.084781
8.7272,0.056836
8.7409,0.047162
8.7547,0.064393
8.7684,0.090584
8.7822,0.088235
8.7959,0.045601
8.8097,0.072666
8.8235,0.066365
8.8372,0.071248
8.8510,0.071587
8.8647,0.065270
8.8785,0.093922
8.8922,0.014574
8.9060,0.085303
8.9197,0.052578
8.9335,0.072430
8.9472,0.075459
8.9610,0.083537
8.9747,0.068616
8.9885,0.033768
9.0023,0.050949
9.0160,0.041539
9.0298,0.019469
9.0435,0.068308
9.0573,0.066711
9.0710,0.060728
9.0848,0.064213
9.0985,0.062158
9.1123,0.106494
9.1260,0.065876
9.1398,0.036965
9.1535,0.058275
9.1673,0.026642
9.1810,0.081037
9.1948,0.072611
9.2086,0.073378
9.2223,0.078329
9.2361,0.070089
9.2498,0.014778
9.2636,0.072503
9.2773,0.038752
9.2911,0.065147
9.3048,0.134362
9.3186,0.035389
9.3323,0.071363
9.3461,0.086152
9.3598,0.011818
9.3736,0.037651
9.3873,0.036867
9.4011,0.068462
9.4149,0.060148
9.4286,0.091860
9.4424,0.064243
9.4561,0.075856
9.4699,0.073711
9.4836,0.081405
9.4974,0.106470
9.5111,0.003381
9.5249,0.072649
9.5386,0.107748
9.5524,0.098333
9.5661,0.035684
9.5799,0.095137
9.5936,0.070980
9.6074,0.088313
9.6212,0.083148
9.6349,0.044976
9.6487,0.094813
9.6624,0.091787
9.6762,0.051257
9.6899,0.068461
9.7037,0.051730
9.7174,0.064989
9.7312,0.063800
9.7449,0.040510
9.7587,0.043770
9.7724,0.042110
9.7862,0.108689
9.7999,0.081553
9.8137,0.079686
9.8275,0.078525
9.8412,0.112537
9.8550,0.080495
9.8687,0.073477
9.8825,0.096105
9.8962,0.072682
9.9100,0.079824
9.9237,0.077701
9.9375,0.047398
9.9512,0.096114
9.9650,0.076414
9.9787,0.019049
9.9925,0.074492
10.0063,0.079532
10.0200,0.070287
10.0338,0.040025
10.0475,0.103755
10.0613,0.041077
10.0750,0.102276
10.0888,0.057382
10.1025,0.029612
10.1163,0.110045
10.1300,0.051914
10.1438,0.031694
10.1575,0.092896
10.1713,0.050669
10.1850,0.058831
10.1988,0.056364
10.2126,0.050740
10.2263,0.062116
10.2401,0.102590
10.2538,0.063096
10.2676,0.074522
10.2813,0.084506
10.2951,0.079884
10.3088,0.091786
10.3226,0.099234
10.3363,0.054761
10.3501,0.103326
10.3638,0.082602
10.3776,0.069708
10.3913,0.077626
10.4051,0.087409
10.4189,0.041241
10.4326,0.082696
10.4464,0.034389
10.4601,0.089662
10.4739,0.058199
10.4876,0.053844
10.5014,0.041901
10.5151,0.081503
10.5289,0.072909
10.5426,0.061980
10.5564,0.017210
10.5701,0.096855
10.5839,0.112626
10.5976,0.076322
10.6114,0.068882
10.6252,0.092744
10.6389,0.035015
10.6527,0.027999
10.6664,0.091118
10.6802,0.038555
10.6939,0.044948
10.7077,0.054679
10.7214,0.023438
10.7352,0.059283
10.7489,0.056612
10.7627,0.090418
10.7764,0.056998
10.7902,0.036126
10.8040,0.093085
10.8177,0.096415
10.8315,0.082181
10.8452,0.079133
10.8590,0.076596
10.8727,0.108497
10.8865,0.067628
10.9002,0.075956
10.9140,0.046812
10.9277,0.071792
10.9415,0.065913
10.9552,0.040090
10.9690,0.064893
10.9827,0.078426
10.9965,0.060950
11.0103,0.101669
11.0240,0.072969
11.0378,0.055721
11.0515,0.072039
11.0653,0.066325
11.0790,0.094212
11.0928,0.076663
11.1065,0.055614
11.1203,0.075433
11.1340,0.088974
11.1478,0.092089
11.1615,0.069263
11.1753,0.068985
11.1890,0.070140
11.2028,0.051604
11.2166,0.036232
11.2303,0.033315
11.2441,0.057091
11.2578,0.073055
11.2716,0.056550
11.2853,0.053161
11.2991,0.064324
11.3128,0.068269
11.3266,0.048263
11.3403,0.009436
11.3541,0.082809
11.3678,0.045242
11.3816,0.047096
11.3953,0.082015
11.4091,0.101444
11.4229,0.088440
11.4366,0.050609
11.4504,0.105234
11.4641,0.037716
11.4779,0.067536
11.4916,0.090892
11.5054,0.091457
11.5191,0.067624
11.5329,0.073299
11.5466,0.056115
11.5604,0.099261
11.5741,0.048699
11.5879,0.069895
11.6017,0.077941
11.6154,0.079876
11.6292,0.032279
11.6429,0.074246
11.6567,0.070875
11.6704,0.069778
11.6842,0.075827
11.6979,0.040685
11.7117,0.092314
11.7254,0.083572
11.7392,0.063478
11.7529,0.051265
11.7667,0.059350
11.7804,0.061357
11.7942,0.077875
11.8080,0.069886
11.8217,0.095857
11.8355,0.045994
11.8492,0.065016
11.8630,0.089845
11.8767,0.085021
11.8905,0.049114
11.9042,0.048621
11.9180,0.054445
11.9317,0.042115
11.9455,0.065381
11.9592,0.068058
11.9730,0.113536
11.9867,0.064490
12.0005,0.080415
12.0143,0.099949
12.0280,0.081038
12.0418,0.113890
12.0555,0.056380
12.0693,0.070537
12.0830,0.089243
12.0968,0.051585
12.1105,0.045983
12.1243,0.051988
12.1380,0.109861
12.1518,0.054436
12.1655,0.092622
12.1793,0.083185
12.1930,0.043873
12.2068,0.090670
12.2206,0.077049
12.2343,0.107344
12.2481,0.064551
12.2618,0.065451
12.2756,0.067795
12.2893,0.099411
12.3031,0.085665
12.3168,0.058154
12.3306,0.088446
12.3443,0.067043
12.3581,0.087089
12.3718,0.076614
12.3856,0.115316
12.3993,0.079815
12.4131,0.057269
12.4269,0.072519
12.4406,0.098580
12.4544,0.081633
12.4681,0.072006
12.4819,0.049099
12.4956,0.095496
12.5094,0.073250
12.5231,0.083350
12.5369,0.080117
12.5506,0.067455
12.5644,0.059044
12.5781,0.091201
12.5919,0.016548
12.6057,0.062495
12.6194,0.079995
12.6332,0.084719
12.6469,0.073284
12.6607,0.068456
12.6744,0.071209
12.6882,0.103564
12.7019,0.050339
12.7157,0.082515
12.7294,0.079091
12.7432,0.077930
12.7569,0.069774
12.7707,0.057246
12.7844,0.104178
12.7982,0.093147
12.8120,0.117777
12.8257,0.032918
12.8395,0.078631
12.8532,0.064800
12.8670,0.090649
12.8807,0.123918
12.8945,0.081247
12.9082,0.066559
12.9220,0.086020
12.9357,0.077785
12.9495,0.043296
12.9632,0.073809
12.9770,0.095599
12.9907,0.084409
13.0045,0.059245
