firm_id,size,subsector,ownership,founded_year,employees,assets_musd
FIRM_001,SME,Fruit & vegetable processing,Domestic,1982,36,4.76
FIRM_002,SME,Confectionery,Domestic,2014,153,4.76
FIRM_003,SME,Fruit & vegetable processing,Joint Venture,2018,159,3.86
FIRM_004,SME,Fish processing,Domestic,2018,118,3.99
FIRM_005,SME,Meat processing,Domestic,2002,40,13.19
FIRM_006,SME,Beverages,Joint Venture,1977,91,4.78
FIRM_007,SME,Grain milling,Domestic,1978,108,3.82
FIRM_008,SME,Beverages,Domestic,2018,35,4.6
FIRM_009,SME,Bakery products,Domestic,2014,120,6.2
FIRM_010,SME,Bakery products,Domestic,1992,50,1.69
FIRM_011,Large,Bakery products,Joint Venture,2005,812,19.06
FIRM_012,SME,Bakery products,Domestic,1990,80,1.82
FIRM_013,SME,Confectionery,Domestic,2019,54,3.3
FIRM_014,SME,Grain milling,Foreign,2018,155,4.02
FIRM_015,SME,Meat processing,Domestic,1982,218,7.28
FIRM_016,Large,Dairy processing,Domestic,1981,440,26.63
FIRM_017,SME,Dairy processing,Domestic,1997,89,11.11
FIRM_018,SME,Meat processing,Domestic,2009,144,3.19
FIRM_019,Large,Meat processing,Foreign,2000,842,11.92
FIRM_020,SME,Beverages,Domestic,1987,257,14.0
FIRM_021,SME,Beverages,Domestic,2006,196,4.8
FIRM_022,SME,Meat processing,Domestic,1987,214,6.78
FIRM_023,SME,Meat processing,Domestic,1976,226,7.4
FIRM_024,Large,Fish processing,Domestic,1994,1709,24.41
FIRM_025,SME,Beverages,Joint Venture,2013,192,4.33
FIRM_026,Large,Grain milling,Domestic,1980,1679,5.06
FIRM_027,SME,Bakery products,Domestic,2016,152,3.67
FIRM_028,SME,Confectionery,Foreign,1986,52,4.02
FIRM_029,SME,Grain milling,Domestic,1991,132,5.27
FIRM_030,SME,Confectionery,Joint Venture,1993,130,6.73
FIRM_031,SME,Fish processing,Domestic,1980,196,3.46
FIRM_032,SME,Grain milling,Foreign,1998,88,6.06
FIRM_033,SME,Bakery products,Domestic,1990,92,5.57
FIRM_034,SME,Meat processing,Domestic,2010,199,2.67
FIRM_035,Large,Beverages,Domestic,2006,2514,16.81
FIRM_036,SME,Dairy processing,Foreign,1985,216,3.16
FIRM_037,Large,Bakery products,Domestic,1981,1589,4.37
FIRM_038,Large,Bakery products,Joint Venture,2011,1106,13.08
FIRM_039,SME,Grain milling,Domestic,1993,67,5.84
FIRM_040,SME,Grain milling,Domestic,1985,132,5.83
FIRM_041,SME,Bakery products,Domestic,2009,104,6.53
FIRM_042,SME,Confectionery,Domestic,1976,65,3.57
FIRM_043,SME,Fruit & vegetable processing,Domestic,2007,78,3.49
FIRM_044,Large,Confectionery,Foreign,1977,540,6.18
FIRM_045,SME,Confectionery,Domestic,1996,124,7.57
FIRM_046,Large,Meat processing,Joint Venture,2001,271,4.96
FIRM_047,Large,Bakery products,Domestic,2007,521,12.15
FIRM_048,SME,Confectionery,Domestic,1991,171,2.13
FIRM_049,Large,Fruit & vegetable processing,Domestic,1980,268,17.53
FIRM_050,SME,Fish processing,Joint Venture,1995,196,1.7
FIRM_051,Large,Confectionery,Domestic,1992,1762,6.12
FIRM_052,SME,Dairy processing,Joint Venture,1991,135,12.6
FIRM_053,SME,Meat processing,Foreign,2013,226,7.46
FIRM_054,Large,Fruit & vegetable processing,Domestic,1981,211,16.58
FIRM_055,Large,Grain milling,Domestic,2020,599,12.69
FIRM_056,SME,Beverages,Domestic,1999,106,4.28
FIRM_057,Large,Bakery products,Domestic,1996,403,7.13
FIRM_058,SME,Fruit & vegetable processing,Domestic,2018,21,4.48
FIRM_059,SME,Bakery products,Domestic,2004,52,3.46
FIRM_060,SME,Dairy processing,Domestic,2004,182,7.05
FIRM_061,Large,Beverages,Domestic,2000,1222,35.47
FIRM_062,SME,Dairy processing,Domestic,2008,126,3.65
FIRM_063,SME,Confectionery,Domestic,2019,122,6.44
FIRM_064,SME,Fruit & vegetable processing,Domestic,1977,85,21.05
FIRM_065,SME,Meat processing,Foreign,2003,105,4.63
FIRM_066,Large,Fruit & vegetable processing,Domestic,2000,605,8.48
FIRM_067,SME,Beverages,Domestic,2004,156,14.58
FIRM_068,SME,Dairy processing,Domestic,1984,182,2.32
FIRM_069,SME,Grain milling,Domestic,2019,23,7.7
FIRM_070,Large,Fish processing,Domestic,2001,1156,13.32
FIRM_071,SME,Dairy processing,Domestic,2007,198,7.31
FIRM_072,SME,Grain milling,Joint Venture,1984,62,7.24
FIRM_073,SME,Fruit & vegetable processing,Domestic,2020,134,5.85
FIRM_074,SME,Dairy processing,Domestic,2000,119,4.23
FIRM_075,SME,Meat processing,Domestic,1978,92,9.69
FIRM_076,Large,Fish processing,Domestic,2010,1778,29.12
FIRM_077,SME,Confectionery,Foreign,2009,49,11.78
FIRM_078,SME,Bakery products,Domestic,1986,105,3.84
FIRM_079,SME,Beverages,Foreign,2015,63,5.51
FIRM_080,Large,Bakery products,Domestic,1993,300,21.3
FIRM_081,SME,Fruit & vegetable processing,Joint Venture,1986,25,6.65
FIRM_082,Large,Meat processing,Domestic,1990,1300,11.27
FIRM_083,SME,Fish processing,Domestic,1995,79,7.96
FIRM_084,SME,Dairy processing,Joint Venture,1988,155,7.98
FIRM_085,SME,Beverages,Domestic,1985,214,5.78
FIRM_086,Large,Bakery products,Foreign,2016,1292,12.8
FIRM_087,Large,Dairy processing,Domestic,2003,1526,15.92
FIRM_088,Large,Bakery products,Foreign,1981,332,5.07
FIRM_089,SME,Fish processing,Domestic,2005,41,6.6
FIRM_090,SME,Dairy processing,Domestic,1977,211,13.27
FIRM_091,SME,Fish processing,Domestic,1994,88,7.64
FIRM_092,SME,Fish processing,Joint Venture,1999,82,8.5
FIRM_093,SME,Fruit & vegetable processing,Joint Venture,2018,172,5.71
FIRM_094,Large,Fruit & vegetable processing,Domestic,1993,1579,21.98
FIRM_095,SME,Beverages,Domestic,1988,210,19.92
FIRM_096,SME,Confectionery,Foreign,1985,27,3.45
FIRM_097,Large,Confectionery,Joint Venture,1986,1467,5.1
FIRM_098,SME,Dairy processing,Domestic,2002,132,8.76
FIRM_099,Large,Confectionery,Domestic,1991,1281,21.55
FIRM_100,SME,Fruit & vegetable processing,Domestic,2009,137,3.87
FIRM_101,Large,Confectionery,Domestic,1999,584,5.82
FIRM_102,SME,Bakery products,Foreign,2006,156,6.13
FIRM_103,SME,Dairy processing,Domestic,1996,85,6.46
FIRM_104,SME,Meat processing,Domestic,1995,88,6.47
FIRM_105,Large,Grain milling,Domestic,1979,970,30.26
FIRM_106,Large,Dairy processing,Domestic,1995,1431,14.69
FIRM_107,SME,Grain milling,Joint Venture,1987,23,8.39
FIRM_108,SME,Fish processing,Domestic,2013,190,2.79
FIRM_109,SME,Bakery products,Foreign,1986,58,7.02
FIRM_110,SME,Beverages,Foreign,1995,209,12.25
FIRM_111,Large,Meat processing,Joint Venture,2008,1206,32.02
FIRM_112,SME,Meat processing,Joint Venture,2012,117,11.76
FIRM_113,SME,Beverages,Domestic,1991,197,4.87
FIRM_114,Large,Grain milling,Domestic,1998,268,28.55
FIRM_115,Large,Fruit & vegetable processing,Domestic,2017,217,11.32
FIRM_116,SME,Beverages,Domestic,1985,178,5.23
FIRM_117,SME,Fish processing,Domestic,1999,126,18.78
FIRM_118,SME,Dairy processing,Domestic,1995,26,4.52
FIRM_119,SME,Dairy processing,Domestic,1995,97,5.13
FIRM_120,SME,Dairy processing,Domestic,2000,70,2.94
FIRM_121,SME,Dairy processing,Foreign,1996,82,5.12
FIRM_122,Large,Grain milling,Domestic,1989,502,10.67
FIRM_123,SME,Bakery products,Domestic,2002,77,14.69
FIRM_124,SME,Confectionery,Domestic,1977,117,4.71
FIRM_125,Large,Meat processing,Domestic,2019,1796,30.39
FIRM_126,SME,Grain milling,Foreign,2002,58,1.25
FIRM_127,SME,Beverages,Domestic,2018,57,6.24
FIRM_128,SME,Meat processing,Domestic,1992,156,9.45
FIRM_129,SME,Bakery products,Domestic,1982,149,2.94
FIRM_130,SME,Bakery products,Joint Venture,2008,62,4.88
FIRM_131,Large,Fruit & vegetable processing,Joint Venture,1996,428,9.25
FIRM_132,SME,Meat processing,Domestic,2004,136,3.76
FIRM_133,SME,Grain milling,Domestic,2005,59,6.08
FIRM_134,Large,Beverages,Foreign,2004,913,21.0
FIRM_135,Large,Bakery products,Joint Venture,1989,731,4.47
FIRM_136,Large,Bakery products,Joint Venture,1978,738,16.88
FIRM_137,SME,Grain milling,Domestic,1975,109,4.82
FIRM_138,SME,Beverages,Domestic,2017,28,5.95
FIRM_139,SME,Dairy processing,Domestic,1979,187,2.36
FIRM_140,SME,Fish processing,Domestic,2011,101,6.28
FIRM_141,Large,Meat processing,Domestic,2012,1970,17.22
FIRM_142,Large,Fish processing,Domestic,1985,1496,10.79
FIRM_143,SME,Meat processing,Domestic,2014,99,11.03
FIRM_144,SME,Grain milling,Foreign,2004,54,6.38
FIRM_145,SME,Fruit & vegetable processing,Domestic,1988,155,4.64
FIRM_146,SME,Dairy processing,Foreign,2013,135,7.88
FIRM_147,SME,Meat processing,Domestic,2007,50,18.15
FIRM_148,SME,Beverages,Domestic,1988,93,2.12
FIRM_149,Large,Meat processing,Domestic,1980,2242,25.25
FIRM_150,SME,Fish processing,Foreign,2003,57,3.23
FIRM_151,SME,Beverages,Domestic,2003,74,9.0
FIRM_152,Large,Grain milling,Domestic,1996,1745,22.33
FIRM_153,SME,Dairy processing,Domestic,2012,176,4.66
FIRM_154,Large,Fruit & vegetable processing,Domestic,1978,938,6.77
FIRM_155,Large,Meat processing,Domestic,2010,1818,18.74
FIRM_156,Large,Bakery products,Joint Venture,2012,1085,31.2
FIRM_157,SME,Beverages,Domestic,2017,206,4.66
FIRM_158,Large,Meat processing,Joint Venture,2010,1448,9.36
FIRM_159,SME,Confectionery,Domestic,2016,99,3.75
FIRM_160,SME,Bakery products,Joint Venture,1996,24,4.9
FIRM_161,SME,Bakery products,Domestic,2000,103,7.04
FIRM_162,SME,Bakery products,Domestic,2014,129,4.33
FIRM_163,SME,Grain milling,Foreign,1984,199,7.28
FIRM_164,SME,Fish processing,Domestic,1985,62,12.08
FIRM_165,SME,Dairy processing,Domestic,2001,39,4.2
FIRM_166,Large,Bakery products,Domestic,1981,1122,12.8
FIRM_167,SME,Confectionery,Domestic,2003,73,3.18
FIRM_168,SME,Grain milling,Domestic,1994,124,3.55
FIRM_169,SME,Bakery products,Joint Venture,2014,54,2.9
FIRM_170,SME,Meat processing,Domestic,1993,97,2.8
FIRM_171,SME,Fruit & vegetable processing,Domestic,2003,44,6.57
FIRM_172,SME,Meat processing,Domestic,1976,158,11.02
FIRM_173,SME,Bakery products,Foreign,1978,118,3.89
