building_id,period,year,month,monthly_energy_kwh,retrofit,retrofit_date,retrofit_scopes,savings_fraction_post
B00001,2022-01-31,2022,1,1084009.674857189,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-02-28,2022,2,1053641.272589701,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-03-31,2022,3,1082352.2287444898,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-04-30,2022,4,1012499.7626372043,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-05-31,2022,5,989358.0657831786,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-06-30,2022,6,957565.7393187626,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-07-31,2022,7,938646.2142556661,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-08-31,2022,8,835835.9460791588,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-09-30,2022,9,963713.6402948502,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-10-31,2022,10,1063561.7422669195,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-11-30,2022,11,1044234.8730525224,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2022-12-31,2022,12,1096169.998101739,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-01-31,2023,1,1051721.8860334817,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-02-28,2023,2,1114106.6293764103,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-03-31,2023,3,978955.7188881817,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-04-30,2023,4,1053535.9648461351,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-05-31,2023,5,961618.1714313371,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-06-30,2023,6,1027770.9892449648,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-07-31,2023,7,946048.7652712213,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-08-31,2023,8,1108790.8916937935,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-09-30,2023,9,1092633.454257602,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-10-31,2023,10,1108175.2172660308,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-11-30,2023,11,1073232.0199150182,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2023-12-31,2023,12,1186768.7990358917,True,2023-12-31,"hvac,lighting,controls",0.0
B00001,2024-01-31,2024,1,858106.5746244194,True,2023-12-31,"hvac,lighting,controls",0.23508018714539028
B00001,2024-02-29,2024,2,840819.3228371643,True,2023-12-31,"hvac,lighting,controls",0.23508018714539028
B00001,2024-03-31,2024,3,831092.97239682,True,2023-12-31,"hvac,lighting,controls",0.23508018714539028
