country,year,cyber_incidents
Kenya,2018,16
Kenya,2019,13
Kenya,2020,16
Kenya,2021,19
Kenya,2022,20
Kenya,2023,24
Kenya,2024,17
Nigeria,2018,35
Nigeria,2019,32
Nigeria,2020,35
Nigeria,2021,40
Nigeria,2022,39
Nigeria,2023,40
Nigeria,2024,44
Ghana,2018,35
Ghana,2019,36
Ghana,2020,35
Ghana,2021,34
Ghana,2022,40
Ghana,2023,40
Ghana,2024,40
Tanzania,2018,18
Tanzania,2019,16
Tanzania,2020,18
Tanzania,2021,20
Tanzania,2022,21
Tanzania,2023,24
Tanzania,2024,19
Uganda,2018,8
Uganda,2019,12
Uganda,2020,13
Uganda,2021,11
Uganda,2022,19
Uganda,2023,18
Uganda,2024,19
South Africa,2018,30
South Africa,2019,30
South Africa,2020,33
South Africa,2021,34
South Africa,2022,32
South Africa,2023,33
South Africa,2024,36
Ethiopia,2018,16
Ethiopia,2019,17
Ethiopia,2020,17
Ethiopia,2021,15
Ethiopia,2022,18
Ethiopia,2023,21
Ethiopia,2024,21
Rwanda,2018,15
Rwanda,2019,10
Rwanda,2020,17
Rwanda,2021,15
Rwanda,2022,16
Rwanda,2023,20
Rwanda,2024,20
Cameroon,2018,42
Cameroon,2019,46
Cameroon,2020,45
Cameroon,2021,47
Cameroon,2022,49
Cameroon,2023,48
Cameroon,2024,51
Ivory Coast,2018,9
Ivory Coast,2019,16
Ivory Coast,2020,14
Ivory Coast,2021,15
Ivory Coast,2022,17
Ivory Coast,2023,19
Ivory Coast,2024,28
