id,value
1.000000,2.039491
2.000000,-67.084044
3.000000,-145.126394
4.000000,-216.929027
5.000000,-267.608914
6.000000,-287.106796
7.000000,-273.149369
8.000000,-231.620161
9.000000,-174.288281
10.000000,-114.804997
11.000000,-64.483259
12.000000,-29.399730
13.000000,-9.799959
14.000000,-1.864925
15.000000,-0.969066
16.000000,-4.984437
17.000000,-16.184343
18.000000,-40.872457
19.000000,-86.788264
20.000000,-159.258048
21.000000,-8.246193
22.000000,-58.524399
23.000000,-115.575221
24.000000,-169.266321
25.000000,-209.458946
26.000000,-228.956828
27.000000,-225.486662
28.000000,-202.068988
29.000000,-165.728636
30.000000,-125.090681
31.000000,-87.786938
32.000000,-58.619779
33.000000,-39.092040
34.000000,-28.349045
35.000000,-25.011488
36.000000,-29.026859
37.000000,-42.668462
38.000000,-70.164538
39.000000,-116.008313
40.000000,-182.561727
41.000000,-16.452546
42.000000,-34.722915
43.000000,-56.519610
44.000000,-79.969030
45.000000,-102.700508
46.000000,-122.198390
47.000000,-136.189371
48.000000,-143.013377
49.000000,-141.927152
50.000000,-133.297034
51.000000,-118.650295
52.000000,-100.571478
53.000000,-82.449413
54.000000,-68.099642
55.000000,-61.303736
56.000000,-65.319107
57.000000,-82.419059
58.000000,-113.521911
59.000000,-157.960013
60.000000,-213.425084
61.000000,-101.260218
62.000000,-101.283138
63.000000,-99.530993
64.000000,-101.243122
65.000000,-110.984475
66.000000,-130.482357
67.000000,-157.463463
68.000000,-186.024759
69.000000,-208.487375
70.000000,-218.104706
71.000000,-211.646439
72.000000,-190.895575
73.000000,-162.473895
74.000000,-136.012961
75.000000,-121.287684
76.000000,-125.303056
77.000000,-150.332378
78.000000,-193.546393
79.000000,-248.284109
80.000000,-306.421228
81.000000,-428.041741
82.000000,-466.073526
83.000000,-491.692919
84.000000,-510.431339
85.000000,-528.158479
86.000000,-547.656361
87.000000,-566.651681
88.000000,-578.186686
89.000000,-573.277763
90.000000,-544.886229
91.000000,-491.665920
92.000000,-419.977231
93.000000,-343.264517
94.000000,-278.857796
95.000000,-243.217775
96.000000,-247.233146
97.000000,-293.177214
98.000000,-374.337015
99.000000,-477.365765
100.000000,-586.440709
101.000000,-447.515822
102.000000,-489.045863
103.000000,-517.641049
104.000000,-538.541510
105.000000,-557.405302
106.000000,-576.903183
107.000000,-594.761851
108.000000,-604.134816
109.000000,-596.250100
110.000000,-564.360310
111.000000,-507.461718
112.000000,-432.274774
113.000000,-352.586267
114.000000,-286.017505
115.000000,-249.240832
116.000000,-253.256203
117.000000,-300.336923
118.000000,-383.658765
119.000000,-489.663308
120.000000,-602.236507
121.000000,-159.682462
122.000000,-170.200148
123.000000,-177.375383
124.000000,-185.573634
125.000000,-198.724944
126.000000,-218.222825
127.000000,-241.793975
128.000000,-263.869150
129.000000,-277.404385
130.000000,-276.526950
131.000000,-259.033834
132.000000,-227.788204
133.000000,-190.439144
134.000000,-157.492087
135.000000,-139.356855
136.000000,-143.372226
137.000000,-171.811505
138.000000,-221.511642
139.000000,-285.176738
140.000000,-353.808623
141.000000,-113.822953
142.000000,-149.584597
143.000000,-186.260260
144.000000,-220.519883
145.000000,-248.934622
146.000000,-268.432503
147.000000,-276.740224
148.000000,-272.754027
149.000000,-256.788834
150.000000,-230.667441
151.000000,-197.629286
152.000000,-162.059194
153.000000,-129.058160
154.000000,-103.898186
155.000000,-91.419020
156.000000,-95.434391
157.000000,-118.217604
158.000000,-160.130658
159.000000,-219.447728
160.000000,-292.404075
161.000000,-144.564762
162.000000,-219.330754
163.000000,-297.212132
164.000000,-366.037516
165.000000,-414.186705
166.000000,-433.684587
167.000000,-422.257857
168.000000,-383.705899
169.000000,-326.534991
170.000000,-261.409250
171.000000,-198.357525
172.000000,-144.702580
173.000000,-104.344286
174.000000,-78.467006
175.000000,-67.172886
176.000000,-71.188257
177.000000,-92.786424
178.000000,-135.416784
179.000000,-202.091114
180.000000,-293.132314
181.000000,-173.227241
182.000000,-273.835073
183.000000,-378.659565
184.000000,-469.920563
185.000000,-530.830318
186.000000,-550.328200
187.000000,-526.140905
188.000000,-465.153332
189.000000,-381.039310
190.000000,-290.071729
191.000000,-206.645442
192.000000,-140.077617
193.000000,-93.695704
194.000000,-66.302305
195.000000,-55.176578
196.000000,-59.191949
197.000000,-80.621723
198.000000,-124.768202
199.000000,-197.466151
200.000000,-301.420231
