frequency_hz,psd
0.0,4.5313618e-07
9.765625,4.6602514e-07
19.53125,5.060019e-07
29.296875,5.802392e-07
39.0625,7.013735e-07
48.828125,8.924467e-07
58.59375,1.1936365e-06
68.359375,1.6774774e-06
78.125,2.4764502e-06
87.890625,3.8441153e-06
97.65625,6.2850736e-06
107.421875,1.0856723e-05
117.1875,1.9880636e-05
126.953125,3.87473e-05
136.71875,8.06149e-05
146.48438,0.00017925198
156.25,0.00042504555
166.01562,0.0010674737
175.78125,0.0028058214
185.54688,0.007592262
195.3125,0.020730436
205.07812,0.05587167
214.84375,0.14527583
224.60938,0.3562669
234.375,0.8064736
244.14062,1.6533386
253.90625,3.0265317
263.67188,4.922504
273.4375,7.182366
283.20312,9.640094
292.96875,12.235172
302.73438,14.858494
312.5,17.29222
322.26562,19.45509
332.03125,21.310457
341.79688,22.733332
351.5625,23.743565
361.32812,24.319544
371.09375,24.470013
380.85938,24.24429
390.625,23.665009
400.39062,22.802086
410.15625,21.69793
419.92188,20.421394
429.6875,19.029858
439.45312,17.583952
449.21875,16.14585
458.98438,14.763927
468.75,13.481279
478.51562,12.323508
488.28125,11.305845
498.04688,10.438186
507.8125,9.733287
517.5781,9.199642
527.34375,8.827031
537.1094,8.596537
546.875,8.498726
556.6406,8.527377
566.40625,8.661045
576.1719,8.873038
585.9375,9.152847
595.7031,9.488902
605.46875,9.855076
615.2344,10.236932
625.0,10.624398
634.7656,10.997654
644.53125,11.3515625
654.2969,11.677684
664.0625,11.9637
673.8281,12.209237
683.59375,12.403673
693.3594,12.547367
703.125,12.637067
712.8906,12.6723385
722.65625,12.655655
732.4219,12.586739
742.1875,12.470762
751.9531,12.308303
761.71875,12.105349
771.4844,11.863573
781.25,11.5888
791.0156,11.284037
800.78125,10.954307
810.5469,10.604264
820.3125,10.237748
830.0781,9.860858
839.84375,9.476435
849.6094,9.090418
859.375,8.705587
869.1406,8.325405
878.90625,7.953385
888.6719,7.590816
898.4375,7.241172
908.2031,6.906899
917.96875,6.589824
927.7344,6.2928104
937.5,6.016504
947.2656,5.76074
957.03125,5.5266705
966.7969,5.3150535
976.5625,5.1263123
986.3281,4.9610195
996.09375,4.8184056
1005.8594,4.6970353
1015.625,4.5969944
1025.3906,4.518798
1035.1562,4.461016
1044.9219,4.4214387
1054.6875,4.399569
1064.4531,4.3955197
1074.2188,4.4075227
1083.9844,4.433222
1093.75,4.472052
1103.5156,4.523555
1113.2812,4.585628
1123.0469,4.656761
1132.8125,4.7364316
1142.5781,4.8227816
1152.3438,4.9142866
1162.1094,5.0109353
1171.875,5.1111026
1181.6406,5.2129107
1191.4062,5.3162656
1201.1719,5.419657
1210.9375,5.521874
1220.7031,5.6231894
1230.4688,5.7218843
1240.2344,5.817391
1250.0,5.9095387
1259.7656,5.9965506
1269.5312,6.078909
1279.2969,6.155602
1289.0625,6.2260933
1298.8281,6.2908616
1308.5938,6.3484416
1318.3594,6.3998127
1328.125,6.443757
1337.8906,6.480656
1347.6562,6.5103216
1357.4219,6.532221
1367.1875,6.547198
1376.9531,6.5540757
1386.7188,6.554335
1396.4844,6.546552
1406.25,6.532457
1416.0156,6.510632
1425.7812,6.4828525
1435.5469,6.447776
1445.3125,6.407198
1455.0781,6.359776
1464.8438,6.3074174
1474.6094,6.248637
1484.375,6.1855874
1494.1406,6.1165023
1503.9062,6.0438614
1513.6719,5.965601
1523.4375,5.884415
1533.2031,5.7982116
1542.9688,5.709413
1552.7344,5.6166077
1562.5,5.521019
1572.2656,5.4229565
1582.0312,5.3214703
1591.7969,5.219203
1601.5625,5.1131105
1611.3281,5.0070667
1621.0938,4.898209
1630.8594,4.788388
1640.625,4.6784463
1650.3906,4.5655937
1660.1562,4.4546967
1669.9219,4.3413134
1679.6875,4.228172
1689.4531,4.1166377
1699.2188,4.0019846
1708.9844,3.890866
1718.75,3.7790756
1728.5156,3.665764
1738.2812,3.5577624
1748.0469,3.4467385
1757.8125,3.3366878
1767.5781,3.2327027
1777.3438,3.1236234
1787.1094,3.0178554
1796.875,2.9192243
1806.6406,2.8129873
1816.4062,2.7115014
1826.1719,2.620387
1835.9375,2.5178497
1845.7031,2.418653
1855.4688,2.3383384
1865.2344,2.2424016
1875.0,2.1387177
1884.7656,2.0718575
1894.5312,1.995944
1904.2969,1.8720188
1914.0625,1.8035939
1923.8281,1.803215
1933.5938,1.6573788
1943.3594,1.4235646
1953.125,1.7450446
1962.8906,3.0644622
1972.6562,22.776007
1982.4219,936.1218
1992.1875,1124.007
2001.9531,55.1438
2011.7188,2.9088676
2021.4844,1.443634
2031.25,0.92915124
2041.0156,0.9001632
2050.7812,0.93903893
2060.5469,0.89071214
2070.3125,0.8090584
2080.0781,0.75566137
2089.8438,0.725625
2099.6094,0.6914024
2109.375,0.6467071
2119.1406,0.6027152
2128.9062,0.5666171
2138.6719,0.5352785
2148.4375,0.50337636
2158.2031,0.47016433
2167.9688,0.4382861
2177.7344,0.40954018
2187.5,0.3833283
2197.2656,0.35815692
2207.0312,0.33338866
2216.7969,0.3094698
2226.5625,0.28707838
2236.3281,0.26641068
2246.0938,0.24715969
2255.8594,0.22890683
2265.625,0.21144384
2275.3906,0.19481534
2285.1562,0.17917608
2294.9219,0.1646327
2304.6875,0.15117358
2314.4531,0.1386844
2324.2188,0.12700967
2333.9844,0.11601752
2343.75,0.10564369
2353.5156,0.095898755
2363.2812,0.086841166
2373.0469,0.07852979
2382.8125,0.07097729
2392.5781,0.064128436
2402.3438,0.05786958
2412.1094,0.05206605
2421.875,0.046606336
2431.6406,0.041436374
2441.4062,0.03657014
2451.1719,0.032075554
2460.9375,0.0280434
2470.7031,0.02455305
2480.4688,0.021643512
2490.2344,0.019299848
2500.0,0.01745235
2509.7656,0.015989032
2519.5312,0.014774574
2529.2969,0.013682139
2539.0625,0.0126752015
2548.8281,0.012163984
2558.5938,0.015071829
2568.3594,0.0431409
2578.125,0.3581765
2587.8906,13.051533
2597.6562,646.1307
2607.4219,898.2882
2617.1875,62.961544
2626.9531,0.7837344
2636.7188,0.07713259
2646.4844,0.014480064
2656.25,0.0037681
2666.0156,0.0012308019
2675.7812,0.00050526054
2685.5469,0.00026774456
2695.3125,0.00017740847
2705.0781,0.00013460116
2714.8438,0.00010820781
2724.6094,8.8338886e-05
2734.375,7.192769e-05
2744.1406,5.804213e-05
2753.9062,4.636188e-05
2763.6719,3.6674697e-05
2773.4375,2.8769224e-05
2783.2031,2.2410675e-05
2792.9688,1.7360446e-05
2802.7344,1.3390397e-05
2812.5,1.02967615e-05
2822.2656,7.900743e-06
2832.0312,6.0568955e-06
2841.7969,4.6426103e-06
2851.5625,3.560445e-06
2861.3281,2.73566e-06
2871.0938,2.1059386e-06
2880.8594,1.6270038e-06
2890.625,1.2614873e-06
2900.3906,9.828183e-07
2910.1562,7.6995764e-07
2919.9219,6.0725574e-07
2929.6875,4.824483e-07
2939.4531,3.8681245e-07
2949.2188,3.133493e-07
2958.9844,2.5674586e-07
2968.75,2.1344549e-07
2978.5156,1.8026812e-07
2988.2812,1.5516707e-07
2998.0469,1.3643238e-07
3007.8125,1.2298904e-07
3017.5781,1.1397914e-07
3027.3438,1.0884277e-07
3037.1094,1.07415026e-07
3046.875,1.09846205e-07
3056.6406,1.16202926e-07
3066.4062,1.276087e-07
3076.1719,1.4505466e-07
3085.9375,1.7101797e-07
3095.7031,2.0899843e-07
3105.4688,2.642519e-07
3115.2344,3.4676958e-07
3125.0,4.723951e-07
3134.7656,6.692267e-07
3144.5312,9.894873e-07
3154.2969,1.5323426e-06
3164.0625,2.4993515e-06
3173.8281,4.324665e-06
3183.5938,8.017949e-06
3193.3594,1.6145672e-05
3203.125,3.6013895e-05
3212.8906,9.1663416e-05
3222.6562,0.00027913466
3232.4219,0.001104889
3242.1875,0.0067208004
3251.9531,0.09822963
3261.7188,157.22002
3271.4844,797.6668
3281.25,252.09955
3291.0156,0.19252174
3300.7812,0.010810541
3310.5469,0.0016665217
3320.3125,0.00040782464
3330.0781,0.00013247387
3339.8438,5.4853528e-05
3349.6094,3.1305386e-05
3359.375,2.7562366e-05
3369.1406,3.5300567e-05
3378.9062,5.557032e-05
3388.6719,9.730515e-05
