time_s,pressure_pa
0.0,540.97925
0.0001,271.11337
0.0002,-66.38886
0.0003,135.91562
0.0004,134.61702
0.0005,531.28546
0.0006,215.2611
0.0007,-550.0645
0.0008,-437.78915
0.0009,992.17816
0.001,-187.53416
0.0011,394.9558
0.0012,283.39078
0.0013,284.84857
0.0014,171.40448
0.0015,370.6721
0.0016,-757.06287
0.0017,673.72345
0.0018,253.14108
0.0019,-8.918582
0.002,-953.1129
0.0021,-15.226462
0.0022,-200.088
0.0023,128.75047
0.0024,-85.63165
0.0025,167.29361
0.0026,-159.56773
0.0027,837.5165
0.0028,-427.35785
0.0029,-256.4565
0.003,787.45496
0.0031,368.1474
0.0032,-221.76878
0.0033,-170.83495
0.0034,-644.48096
0.0035,-124.23287
0.0036,185.25851
0.0037,-590.96906
0.0038,-209.31998
0.0039,37.09675
0.004,186.64561
0.0041,-824.9878
0.0042,-4.077162
0.0043,202.69305
0.0044,304.23273
0.0045,-117.04711
0.0046,-182.26442
0.0047,-1161.3584
0.0048,528.6366
0.0049,-460.98645
0.005,-584.948
0.0051,-219.73251
0.0052,255.0888
0.0053,-572.2482
0.0054,124.041794
0.0055,-477.3108
0.0056,621.78485
0.0057,691.35266
0.0058,700.6953
0.0059,-311.75772
0.006,353.7976
0.0061,689.10236
0.0062,235.80005
0.0063,-1.054248
0.0064,667.56134
0.0065,57.621372
0.0066,360.49808
0.0067,164.99121
0.0068,-553.17706
0.0069,857.63184
0.007,935.03265
0.0071,148.82904
0.0072,7.248162
0.0073,406.89545
0.0074,-19.861834
0.0075,368.285
0.0076,-370.4074
0.0077,-17.46619
0.0078,-424.98267
0.0079,96.434364
0.008,-1336.7212
0.0081,-876.00934
0.0082,-179.09491
0.0083,43.078957
0.0084,-931.23553
0.0085,23.106539
0.0086,-996.1185
0.0087,73.35973
0.0088,-60.122253
0.0089,-484.4087
0.009,-360.2509
0.0091,564.2591
0.0092,-552.96234
0.0093,-554.3206
0.0094,-555.2873
0.0095,193.44156
0.0096,179.02026
0.0097,282.12982
0.0098,-20.014395
0.0099,-49.22896
0.01,939.2089
0.0101,590.93774
0.0102,118.73024
0.0103,1038.4933
0.0104,1129.9263
0.0105,109.92405
0.0106,606.7067
0.0107,-323.7416
0.0108,481.28595
0.0109,684.1461
0.011,235.92628
0.0111,-608.3265
0.0112,412.17023
0.0113,-56.17001
0.0114,136.20549
0.0115,-414.9565
0.0116,633.2762
0.0117,-130.30316
0.0118,301.23044
0.0119,-604.58624
0.012,-814.3642
0.0121,-279.72903
0.0122,393.56476
0.0123,-1269.0986
0.0124,-447.1063
0.0125,-653.572
0.0126,-666.25226
0.0127,-439.1897
0.0128,-441.40558
0.0129,-386.0556
0.013,527.32947
0.0131,152.11028
0.0132,-492.283
0.0133,-227.91667
0.0134,505.41113
0.0135,497.11588
0.0136,-177.1235
0.0137,364.15616
0.0138,-304.2783
0.0139,259.94043
0.014,227.22806
0.0141,-199.59853
0.0142,144.58072
0.0143,1468.6447
0.0144,-108.77534
0.0145,366.4689
0.0146,129.14548
0.0147,705.0156
0.0148,545.1562
0.0149,714.3867
0.015,-384.87015
