time_s,pressure_pa
0.0,527.487
0.0001,-1155.8633
0.0002,372.30264
0.0003,-285.06866
0.0004,92.21013
0.0005,345.43716
0.0006,-364.54865
0.0007,149.11377
0.0008,302.36725
0.0009,1103.6558
0.001,694.5168
0.0011,-173.59055
0.0012,428.26743
0.0013,-787.2197
0.0014,682.4491
0.0015,519.29663
0.0016,-297.63458
0.0017,-37.540154
0.0018,-95.98003
0.0019,428.71222
0.002,878.6696
0.0021,795.16864
0.0022,-272.2688
0.0023,-328.27673
0.0024,-294.69385
0.0025,395.32578
0.0026,-378.04767
0.0027,357.68973
0.0028,-1285.7908
0.0029,-265.5133
0.003,437.02502
0.0031,351.8877
0.0032,381.00015
0.0033,-333.0152
0.0034,-656.77185
0.0035,-585.45905
0.0036,344.2876
0.0037,-392.1521
0.0038,-524.03613
0.0039,-896.4575
0.004,-416.62808
0.0041,-82.44887
0.0042,849.97144
0.0043,216.62692
0.0044,-609.7296
0.0045,3.9892273
0.0046,-264.51065
0.0047,6.9865246
0.0048,550.66815
0.0049,-888.30096
0.005,-289.37186
0.0051,-369.0934
0.0052,645.8707
0.0053,535.21265
0.0054,613.8902
0.0055,311.80212
0.0056,-357.97876
0.0057,589.621
0.0058,473.39523
0.0059,-110.54301
0.006,115.33578
0.0061,-233.7118
0.0062,-490.24393
0.0063,1174.0789
0.0064,-27.706547
0.0065,966.9567
0.0066,-160.97186
0.0067,508.24863
0.0068,38.407207
0.0069,24.984257
0.007,533.3736
0.0071,-1035.8713
0.0072,57.639492
0.0073,-304.63965
0.0074,-355.71234
0.0075,527.7575
0.0076,2.7346346
0.0077,-88.00398
0.0078,150.78525
0.0079,-222.2848
0.008,-81.513054
0.0081,-632.0381
0.0082,-112.69322
0.0083,-821.9794
0.0084,-549.374
0.0085,6.2333574
0.0086,-492.02612
0.0087,115.80715
0.0088,523.3934
0.0089,-518.36035
0.009,478.17163
0.0091,-435.14746
0.0092,-83.968475
0.0093,-278.29712
0.0094,-101.96257
0.0095,-200.05748
0.0096,-542.23773
0.0097,608.5686
0.0098,-101.50337
0.0099,813.0677
0.01,519.7438
0.0101,363.84695
0.0102,-216.09297
0.0103,701.3838
0.0104,-301.5588
0.0105,266.40506
0.0106,137.56601
0.0107,-343.2838
0.0108,185.34497
0.0109,426.39664
0.011,697.6259
0.0111,269.24796
0.0112,473.65952
0.0113,-11.245457
0.0114,-187.58125
0.0115,300.04688
0.0116,-141.34473
0.0117,-699.62244
0.0118,30.514687
0.0119,-605.7767
0.012,-7.4279165
0.0121,481.6726
0.0122,-6.966135
0.0123,-50.54786
0.0124,-83.56401
0.0125,-413.67072
0.0126,-101.043564
0.0127,-640.66705
0.0128,101.40718
0.0129,-1344.6754
0.013,84.01316
0.0131,-186.9269
0.0132,-328.8987
0.0133,937.4559
0.0134,-449.52847
0.0135,260.04266
0.0136,-195.96898
0.0137,120.01037
0.0138,-232.79932
0.0139,-12.431708
0.014,-176.70549
0.0141,-222.40395
