frequency_hz,psd
0.0,0.010245855
9.765625,0.011614209
19.53125,0.0088955965
29.296875,0.0059053334
39.0625,0.0070463656
48.828125,0.009296907
58.59375,0.014482063
68.359375,0.02331541
78.125,0.024499299
87.890625,0.018600533
97.65625,0.01574199
107.421875,0.012359946
117.1875,0.020390121
126.953125,0.021196881
136.71875,0.018771922
146.48438,0.01507382
156.25,0.015939988
166.01562,0.02251303
175.78125,0.020446435
185.54688,0.015935246
195.3125,0.049085576
205.07812,0.065815665
214.84375,0.17110226
224.60938,0.3558717
234.375,0.6938743
244.14062,1.6322155
253.90625,2.640665
263.67188,4.381157
273.4375,6.1291113
283.20312,9.403801
292.96875,11.141554
302.73438,13.422413
312.5,14.667237
322.26562,17.31993
332.03125,19.30096
341.79688,20.163069
351.5625,20.80201
361.32812,21.425985
371.09375,21.451038
380.85938,20.507265
390.625,19.929396
400.39062,20.092127
410.15625,19.378664
419.92188,17.37846
429.6875,16.541317
439.45312,15.81934
449.21875,13.873639
458.98438,12.366276
468.75,11.004992
478.51562,10.143821
488.28125,9.570811
498.04688,9.216028
507.8125,8.789469
517.5781,8.354438
527.34375,7.3596454
537.1094,7.5679455
546.875,7.2302556
556.6406,6.7163963
566.40625,6.8344293
576.1719,6.739345
585.9375,7.127654
595.7031,7.519471
605.46875,8.283184
615.2344,8.017124
625.0,8.694868
634.7656,6.7489543
644.53125,165.49
654.2969,1060.7653
664.0625,477.25616
673.8281,6.789497
683.59375,11.545039
693.3594,9.65297
703.125,10.178893
712.8906,9.901443
722.65625,10.089167
732.4219,9.722029
742.1875,9.68526
751.9531,9.669397
761.71875,9.408529
771.4844,9.466392
781.25,9.429483
791.0156,8.687529
800.78125,8.355809
810.5469,7.958965
820.3125,7.358277
830.0781,7.2155895
839.84375,7.1760263
849.6094,6.9500465
859.375,6.9395714
869.1406,6.41153
878.90625,5.9848046
888.6719,5.489134
898.4375,5.4980273
908.2031,5.027285
917.96875,5.1856484
927.7344,5.246496
937.5,4.3259335
947.2656,4.0916953
957.03125,4.048483
966.7969,3.711378
976.5625,3.5488462
986.3281,3.3369067
996.09375,3.465234
1005.8594,3.4816666
1015.625,3.0345807
1025.3906,2.9078426
1035.1562,2.9868116
1044.9219,2.8716307
1054.6875,3.372971
1064.4531,3.25527
1074.2188,3.0276554
1083.9844,3.2443728
1093.75,2.8056498
1103.5156,3.1579742
1113.2812,3.5318944
1123.0469,3.619831
1132.8125,3.3142853
1142.5781,3.7956045
1152.3438,3.8023195
1162.1094,3.2050676
1171.875,5.2810087
1181.6406,29.707039
1191.4062,729.8083
1201.1719,695.61334
1210.9375,30.434523
1220.7031,4.2684226
1230.4688,3.4020522
1240.2344,4.239418
1250.0,4.3474274
1259.7656,4.329721
1269.5312,4.252848
1279.2969,4.1480036
1289.0625,3.9253695
1298.8281,3.7968805
1308.5938,3.8807557
1318.3594,3.9407728
1328.125,5.125821
1337.8906,88.413895
1347.6562,615.33746
1357.4219,233.49225
1367.1875,2.97055
1376.9531,4.3295
1386.7188,3.8566031
1396.4844,4.165944
1406.25,4.259174
1416.0156,4.4301558
1425.7812,4.52787
1435.5469,4.408321
1445.3125,4.224925
1455.0781,4.1392784
1464.8438,4.2417645
1474.6094,4.3759007
1484.375,4.1780305
1494.1406,3.844176
1503.9062,3.7534106
1513.6719,3.636676
1523.4375,3.4953675
1533.2031,3.5442855
1542.9688,3.7238646
