frequency_hz,TL_dB_sensor1,TL_dB_sensor2,TL_dB_sensor3
0.0,-54.800278,-41.535202,-44.4038
9.765625,-53.35202,-50.883255,-43.759956
19.53125,-52.775555,-50.411488,-41.079773
29.296875,-55.75317,-45.6546,-41.34864
39.0625,-56.13029,-40.842415,-37.2666
48.828125,-54.12915,-43.614227,-37.75603
58.59375,-52.213326,-45.81807,-35.045303
68.359375,-49.107468,-41.14804,-33.139553
78.125,-46.31693,-37.58597,-36.02919
87.890625,-43.82179,-40.392727,-36.21059
97.65625,-41.439938,-35.75366,-32.798553
107.421875,-43.206097,-31.463203,-28.064854
117.1875,-42.65355,-31.531013,-26.542007
126.953125,-37.934242,-26.08175,-23.627792
136.71875,-34.7495,-22.100752,-22.257626
146.48438,-30.650944,-24.691055,-19.098616
156.25,-26.989725,-16.418083,-16.2243
166.01562,-24.98002,-11.281822,-11.758576
175.78125,-18.190933,-7.9882317,-0.62458706
185.54688,-13.211924,-4.8239145,-2.9991386
195.3125,-6.0910726,-2.3288867,-3.0097697
205.07812,-9.279439,0.156554,-1.6218752
214.84375,-6.4878106,-0.7909472,-0.17164156
224.60938,1.9410615,-0.46036154,-0.5129748
234.375,-0.3928855,-0.40457803,1.3057175
244.14062,-1.0017253,-0.088306576,-0.34002352
253.90625,0.56965923,0.030063726,-0.067954585
263.67188,-0.6888877,-0.04006703,0.20918502
273.4375,-0.39809614,0.31802014,-0.0036252895
283.20312,-0.109412685,-0.33651978,0.16685067
292.96875,0.02786056,-0.042100362,0.2534232
302.73438,0.08754082,-0.11385697,0.082675286
312.5,-0.1046664,-0.17786512,0.04112745
322.26562,0.20850213,-0.21121217,0.11620578
332.03125,0.109535605,-0.22964911,0.056654096
341.79688,0.20869902,-0.09139062,0.22008625
351.5625,0.46127456,-0.07443199,0.1909373
361.32812,0.020149931,-0.0973294,0.049420353
371.09375,-0.43647036,-0.06009973,0.012083311
380.85938,-0.25242904,0.018969167,0.035227843
390.625,0.21505319,0.12587428,0.010319338
400.39062,0.29296988,0.025993884,0.081355914
410.15625,0.09310786,-0.060074795,0.21949857
419.92188,-0.1564409,0.008037915,0.1833617
429.6875,-0.30037668,0.09383295,0.11903762
439.45312,-0.37975878,-0.05106662,0.13852513
449.21875,-0.32563794,-0.14972623,0.05346678
458.98438,0.26336786,0.009481509,0.10837586
468.75,-0.16818115,0.25781637,0.09294469
478.51562,-0.46904612,0.42787546,-0.052806653
488.28125,-0.851059,0.3323865,-0.058941092
498.04688,0.03437837,0.072340295,0.17420991
507.8125,0.28112173,0.14043781,0.0632702
517.5781,0.51954865,0.8397054,0.21259141
527.34375,-1.1127634,0.07260964,0.062450185
537.1094,-0.5531291,0.077305906,0.14017464
546.875,-0.7264848,0.07629676,0.30973673
556.6406,0.20830029,0.13749099,0.37183356
566.40625,0.06003413,0.08419838,0.3046444
576.1719,-0.87798333,-0.030129926,0.044401728
585.9375,0.14868198,0.4318665,0.13016117
595.7031,0.68581253,0.19540644,0.23133075
605.46875,0.30597535,-0.24865972,0.19319052
615.2344,-0.27336773,-0.091798544,0.15972394
625.0,0.46101716,-0.044806764,0.057460904
634.7656,0.26409185,0.12087279,0.156123
644.53125,0.28321272,0.009437081,0.17496435
654.2969,0.021184579,-0.00511886,0.21716934
664.0625,-0.19098875,0.1736021,0.25721723
673.8281,0.33922318,0.093871444,0.2472507
683.59375,0.7830756,-0.045911666,0.21864402
693.3594,0.81442463,-0.02208528,0.2466359
703.125,0.20800026,-0.029933395,0.2557014
712.8906,-0.010019583,-0.013510949,0.24519809
722.65625,0.20135355,0.026990607,0.27046525
732.4219,0.5352057,-0.078299984,0.32042292
742.1875,0.40658233,0.08624018,0.25857937
751.9531,0.056020394,-0.016757991,0.10729108
761.71875,-0.1451482,-0.21295069,0.051394667
771.4844,-0.31309202,0.02152099,0.15964162
781.25,-0.12312536,0.11925371,0.10017212
791.0156,0.21858102,0.16846853,0.17965463
800.78125,0.058751278,0.13761488,0.20184976
810.5469,0.08334827,0.12545282,0.19543663
820.3125,0.3644106,0.14044333,0.18844001
830.0781,1.0124968,0.06707741,0.25335437
839.84375,0.15613599,-0.20075305,0.11792425
849.6094,0.30244732,-0.021901075,0.29201642
859.375,0.66909546,-0.039974805,0.22012413
869.1406,-0.71379876,-0.11384475,0.24952477
878.90625,0.024194364,0.15257204,0.24440733
888.6719,0.07691936,0.14327092,0.24164186
898.4375,0.019695394,0.15883312,0.25774077
908.2031,-0.14805594,0.12288686,0.25768417
917.96875,0.40935826,0.19981858,0.22911492
927.7344,-0.08711741,0.35623965,0.250103
937.5,-0.36162645,0.4326515,0.15309286
947.2656,0.17806178,0.12096846,0.26848832
957.03125,0.008189841,0.14202045,0.24140778
966.7969,-0.04187767,0.16600862,0.23614249
976.5625,0.25195447,0.7383012,0.2158641
986.3281,0.033126965,-0.13187824,0.13681781
996.09375,0.10472903,0.3804472,0.083079085
1005.8594,0.67381,0.055220477,0.28958094
1015.625,0.23385109,0.23391882,0.14709777
1025.3906,-0.5551456,-0.0079828,0.17785206
1035.1562,-0.31231895,-0.052782282,0.061037876
1044.9219,1.4320033,0.3223768,0.34150034
1054.6875,0.13503252,0.05251141,0.18936443
1064.4531,-0.2521116,-0.31486487,0.09264113
1074.2188,1.16244,-0.2678522,0.04300302
1083.9844,-0.6952283,-0.5225641,0.11157663
1093.75,-0.01889093,-0.5074591,0.44604254
1103.5156,0.63450605,0.025078775,0.2412878
1113.2812,0.24816515,0.61395067,0.4058284
1123.0469,-1.6327232,0.19254622,0.4022914
1132.8125,-0.73755383,0.21337076,0.15220663
1142.5781,0.33759105,0.27782503,0.11382702
1152.3438,-0.61752385,0.47383696,0.16312
1162.1094,-1.0686764,0.236521,0.08893743
1171.875,1.2481074,0.21979046,0.2090809
1181.6406,-0.2526233,0.22626308,0.18108946
1191.4062,-0.38154745,-0.3418032,0.15461144
1201.1719,-0.76542705,0.27127367,0.31539845
1210.9375,-1.00377,-0.0373923,0.51349485
1220.7031,-0.015323797,-0.019941147,0.45911294
1230.4688,-0.291142,-0.14274023,0.16027984
1240.2344,-0.9155966,0.29383802,0.18872651
1250.0,-0.87764776,0.5352469,0.32747573
1259.7656,-0.7315991,0.30340913,0.41906908
1269.5312,-0.49339432,0.102249414,0.37561667
1279.2969,-0.02680672,-0.23916878,0.33470893
1289.0625,0.3355726,-0.09532086,0.3361505
1298.8281,-0.9297042,0.49358433,0.46690083
1308.5938,-1.0183048,0.4355645,0.35593006
1318.3594,-1.44576,0.056123637,0.34467116
1328.125,-1.7105572,-0.08374663,0.33704308
1337.8906,-0.45446378,-0.2551037,0.1709649
1347.6562,0.46464574,-0.08332283,0.2055977
1357.4219,0.5927764,0.056449175,0.36396646
1367.1875,0.16342863,0.07158361,0.36353078
1376.9531,-0.33771402,0.19212969,0.47732872
1386.7188,-0.52222663,0.13073741,0.5554534
1396.4844,-0.42576775,0.09767623,0.43515417
1406.25,-0.15814286,0.16917717,0.41414487
1416.0156,-0.35291797,0.113735735,0.36956844
1425.7812,-0.16975097,0.07925132,0.3540933
1435.5469,0.4807166,0.21297543,0.48390782
1445.3125,-0.21878211,0.4088734,0.48170555
1455.0781,-1.348899,0.25096703,0.42943317
1464.8438,-0.9107891,-0.10982126,0.3008506
1474.6094,0.14230806,0.102195814,0.16216052
1484.375,0.15375002,0.42884266,0.24305932
1494.1406,0.20632794,0.29243076,0.32922354
1503.9062,0.29030785,-0.0006689449,0.39645788
1513.6719,-0.4866072,-0.019825948,0.35961324
1523.4375,-0.34904617,0.3107933,0.35960463
1533.2031,0.73162246,0.5124023,0.42851105
1542.9688,0.9657415,0.45170632,0.43822226
1552.7344,0.6389772,0.048466653,0.704561
1562.5,0.5528719,-0.025465544,0.84719396
1572.2656,0.4028459,0.38687015,0.62404794
1582.0312,-0.08798905,0.39432615,0.38778263
1591.7969,-0.39192188,-0.055763055,0.3666618
1601.5625,-0.31235707,-0.04085689,0.4210374
1611.3281,-0.6188687,0.22726744,0.485772
1621.0938,0.051279034,0.051058512,0.55641866
1630.8594,0.8821347,0.14894614,0.48746228
1640.625,0.3802148,0.5354057,0.21747515
1650.3906,-0.6329655,0.6353993,0.018720707
1660.1562,-0.55992067,0.29392946,0.094887674
1669.9219,-0.77587664,0.17101368,0.14398718
1679.6875,-0.7433047,0.20183098,0.47498572
1689.4531,-0.26630816,0.3330013,0.5626572
1699.2188,-0.051756315,0.31291294,0.6619328
1708.9844,0.26580247,0.7740111,0.6291037
1718.75,0.5211818,0.44306132,0.47692096
1728.5156,0.48487753,0.56958973,0.6469419
1738.2812,-1.0495734,0.6913909,0.46511695
1748.0469,-1.5517682,0.34472948,0.5346697
1757.8125,0.22511786,-0.16308613,0.36977145
1767.5781,0.6298131,0.72179615,0.06187296
1777.3438,-0.46546298,0.424462,0.46672788
1787.1094,-1.231663,-0.21166006,0.24431825
1796.875,0.042185824,0.27132815,0.4609347
1806.6406,0.07772598,0.29249075,0.4572699
1816.4062,-0.0022451526,0.29507697,0.45507604
1826.1719,-1.6992288,0.4428701,0.27497923
